"","new","X","datetimeAK","temp.water","ODO.Psat","ODO.Ploc","DO.obs","DO.sat.EXO","discharge","depth","light","solar.time","DO.sat"
"68",3,33787,2021-06-30 23:45:00,7.54145454545455,93.6636363636364,95.6,11.2145454545455,11.9732116859168,275.975355164264,0.655021984249047,5.673,2021-06-30 21:58:57,11.9732116859168
"69",3,33788,2021-07-01 00:00:00,7.49918181818182,93.3090909090909,95.2363636363636,11.1881818181818,11.9904520654715,275.367022752087,0.65444641234781,7.688,2021-06-30 22:13:57,11.9904520654715
"70",3,33789,2021-07-01 00:15:00,7.45390909090909,93,94.9,11.16,12,275.422934248888,0.654499312844102,10.416,2021-06-30 22:28:57,12
"71",3,33790,2021-07-01 00:30:00,7.41,92.7181818181818,94.6363636363636,11.14,12.0149034219041,275.367022752087,0.65444641234781,14.229,2021-06-30 22:43:57,12.0149034219041
"72",3,33791,2021-07-01 00:45:00,7.367,92.5090909090909,94.4363636363636,11.1263636363636,12.0273191823899,274.346048166509,0.653480420282332,17.453,2021-06-30 22:58:57,12.0273191823899
"73",3,33792,2021-07-01 01:00:00,7.325,92.3,94.2090909090909,11.1136363636364,12.0407761252832,274.650214372605,0.653768206232958,20.646,2021-06-30 23:13:57,12.0407761252832
"74",3,33793,2021-07-01 01:15:00,7.282,92.1545454545455,94.0636363636364,11.1063636363636,12.0518891190687,274.153704954015,0.65329843532429,23.839,2021-06-30 23:28:57,12.0518891190687
"75",3,33794,2021-07-01 01:30:00,7.23427272727273,92.0454545454545,93.9454545454546,11.1063636363636,12.0661728395061,272.996298652729,0.652203358797048,27.001,2021-06-30 23:43:57,12.0661728395061
"76",3,33795,2021-07-01 01:45:00,7.18527272727273,91.9,93.8,11.1063636363636,12.0852705509941,273.713107032221,0.65288156491191,30.194,2021-06-30 23:58:57,12.0852705509941
"77",3,33796,2021-07-01 02:00:00,7.13218181818182,91.8,93.7,11.11,12.1023965141612,272.720088195036,0.651942023094571,36.332,2021-07-01 00:13:57,12.1023965141612
"78",3,33797,2021-07-01 02:15:00,7.076,91.7818181818182,93.6727272727273,11.1154545454545,12.110736925515,270.817917765865,0.650142290204328,42.098,2021-07-01 00:28:57,12.110736925515
"79",3,33798,2021-07-01 02:30:00,7.01863636363636,91.6909090909091,93.5727272727273,11.12,12.1277017648225,271.06617247516,0.650377175658662,48.763,2021-07-01 00:43:57,12.1277017648225
"80",3,33799,2021-07-01 02:45:00,6.95745454545455,91.6,93.5,11.13,12.1506550218341,271.727069357861,0.651002481277241,55.583,2021-07-01 00:58:57,12.1506550218341
"81",3,33800,2021-07-01 03:00:00,6.89527272727273,91.5454545454545,93.4363636363636,11.14,12.1688182720953,270.101109386373,0.649464084089466,61.907,2021-07-01 01:13:57,12.1688182720953
"82",3,33801,2021-07-01 03:15:00,6.833,91.5,93.4,11.15,12.1857923497268,269.632555716166,0.649020763428929,49.507,2021-07-01 01:28:57,12.1857923497268
"83",3,33802,2021-07-01 03:30:00,6.771,91.3909090909091,93.2454545454545,11.1509090909091,12.2013329354422,270.762006269074,0.650089389708046,47.864,2021-07-01 01:43:57,12.2013329354422
"84",3,33803,2021-07-01 03:45:00,6.70790909090909,91.4363636363636,93.3272727272727,11.1781818181818,12.2250944521774,270.485795811386,0.649828054005573,48.453,2021-07-01 01:58:57,12.2250944521774
"85",3,33804,2021-07-01 04:00:00,6.64309090909091,91.4636363636364,93.3545454545455,11.2018181818182,12.2472915217175,267.894772751097,0.647376565248589,49.91,2021-07-01 02:13:57,12.2472915217175
"86",3,33805,2021-07-01 04:15:00,6.57872727272727,91.5636363636364,93.4545454545455,11.2290909090909,12.263701350278,267.150008623221,0.646671908885597,52.824,2021-07-01 02:28:57,12.263701350278
"87",3,33806,2021-07-01 04:30:00,6.50963636363636,91.6,93.5,11.2590909090909,12.2915839618896,266.709410701422,0.646255038473213,109.337,2021-07-01 02:43:57,12.2915839618896
"88",3,33807,2021-07-01 04:45:00,6.44172727272727,91.7,93.6,11.2854545454545,12.3069297115098,268.115071712003,0.647585000454788,70.866,2021-07-01 02:58:57,12.3069297115098
"89",3,33808,2021-07-01 05:00:00,6.37245454545455,91.7545454545455,93.6545454545455,11.3118181818182,12.3283463786783,267.17796437161,0.646698359133732,61.101,2021-07-01 03:13:57,12.3283463786783
