"","new","X","datetimeAK","temp.water","ODO.Psat","ODO.Ploc","DO.obs","discharge","depth","light","air.pressure.mbar","DO.sat.EXO","solar.time"
"3834",7,6060,2019-07-10 14:00:00,12.2356363636364,121.4,122.4,13.01,406.264195130717,0.34456760697409,1721.22941245667,989.15,10.7166392092257,2019-07-10 12:13:57
"3835",7,6061,2019-07-10 14:15:00,12.2742727272727,122,123,13.06,406.264195130717,0.34456760697409,1716.89594066829,989.09,10.7049180327869,2019-07-10 12:28:57
"3836",7,6062,2019-07-10 14:30:00,12.3320909090909,122.7,123.7,13.12,408.112222026553,0.345054955262268,1708.65351733515,988.95,10.6927465362673,2019-07-10 12:43:57
"3837",7,6063,2019-07-10 14:45:00,12.367,122.954545454545,123.909090909091,13.1390909090909,411.808275818224,0.346029651838626,1696.53743018464,988.69,10.6861367837339,2019-07-10 12:58:57
"3838",7,6064,2019-07-10 15:00:00,12.406,123.2,124.2,13.15,413.65630271406,0.346517000126805,1680.59955128497,988.64,10.6737012987013,2019-07-10 13:13:57
"3839",7,6065,2019-07-10 15:15:00,12.4394545454545,123.2,124.2,13.14,409.960248922388,0.345542303550447,1660.90811495084,988.56,10.6655844155844,2019-07-10 13:28:57
"3840",7,6066,2019-07-10 15:30:00,12.489,123.5,124.5,13.16,415.504329609895,0.347004348414984,1637.54742562921,988.14,10.6558704453441,2019-07-10 13:43:57
"3841",7,6067,2019-07-10 15:45:00,12.533,123.7,124.7,13.17,413.65630271406,0.346517000126805,1610.61749696897,988.18,10.6467259498787,2019-07-10 13:58:57
"3842",7,6068,2019-07-10 16:00:00,12.5780909090909,123.9,124.909090909091,13.1790909090909,417.352356505731,0.347491696703162,1580.2336236375,988.07,10.6368772470467,2019-07-10 14:13:57
"3843",7,6069,2019-07-10 16:15:00,12.6248181818182,124.1,125.1,13.18,417.352356505731,0.347491696703162,1546.52588770519,987.78,10.6204673650282,2019-07-10 14:28:57
"3844",7,6070,2019-07-10 16:30:00,12.662,124.1,125.1,13.17,411.808275818224,0.346029651838626,1509.63860175578,987.87,10.6124093473006,2019-07-10 14:43:57
"3845",7,6071,2019-07-10 16:45:00,12.7033636363636,124.009090909091,125.054545454545,13.15,417.352356505731,0.347491696703162,1469.72969102034,987.53,10.6040612858295,2019-07-10 14:58:57
"3846",7,6072,2019-07-10 17:00:00,12.739,124,125,13.1354545454545,413.65630271406,0.346517000126805,1426.97001726382,987.53,10.5931085043988,2019-07-10 15:13:57
"3847",7,6073,2019-07-10 17:15:00,12.7659090909091,123.8,124.818181818182,13.11,415.504329609895,0.347004348414984,1381.54264726525,987.51,10.5896607431341,2019-07-10 15:28:57
"3848",7,6074,2019-07-10 17:30:00,12.789,123.6,124.6,13.08,415.504329609895,0.347004348414984,1333.64206908031,987.33,10.5825242718447,2019-07-10 15:43:57
"3849",7,6075,2019-07-10 17:45:00,12.804,123.1,124.1,13.02,421.048410297402,0.34846639327952,1283.47335937184,986.96,10.5767668562145,2019-07-10 15:58:57
"3850",7,6076,2019-07-10 18:00:00,12.825,122.6,123.6,12.96,417.352356505731,0.347491696703162,1231.25130543146,986.96,10.5709624796085,2019-07-10 16:13:57
"3851",7,6077,2019-07-10 18:15:00,12.851,122.2,123.2,12.9127272727273,417.352356505731,0.347491696703162,1177.19948557181,987,10.5668799285821,2019-07-10 16:28:57
"3852",7,6078,2019-07-10 18:30:00,12.859,121.5,122.5,12.84,415.504329609895,0.347004348414984,1121.54931196165,987,10.5679012345679,2019-07-10 16:43:57
"3853",7,6079,2019-07-10 18:45:00,12.8566363636364,120.6,121.6,12.74,421.048410297402,0.34846639327952,1064.53903986956,986.74,10.5638474295191,2019-07-10 16:58:57
"3854",7,6080,2019-07-10 19:00:00,12.844,119.5,120.481818181818,12.63,422.896437193238,0.348953741567699,1006.41274760593,986.63,10.5690376569038,2019-07-10 17:13:57
"3855",7,6081,2019-07-10 19:15:00,12.8356363636364,118.3,119.281818181818,12.51,426.592490984909,0.349928438144056,947.419291612892,986.61,10.574809805579,2019-07-10 17:28:57
"3856",7,6082,2019-07-10 19:30:00,12.819,117,117.9,12.37,424.744464089073,0.349441089855877,887.811240925915,986.52,10.5726495726496,2019-07-10 17:43:57
"3857",7,6083,2019-07-10 19:45:00,12.8021818181818,115.5,116.5,12.22,424.744464089073,0.349441089855877,827.843795958207,986.53,10.5800865800866,2019-07-10 17:58:57
"3858",7,6084,2019-07-10 20:00:00,12.794,114.2,115.127272727273,12.09,424.744464089073,0.349441089855877,767.773695846762,986.36,10.5866900175131,2019-07-10 18:13:57
"3859",7,6085,2019-07-10 20:15:00,12.7881818181818,113,114,11.96,424.744464089073,0.349441089855877,707.858119273431,986.2,10.5840707964602,2019-07-10 18:28:57
"3860",7,6086,2019-07-10 20:30:00,12.7715454545455,111.672727272727,112.590909090909,11.82,422.896437193238,0.348953741567699,648.353583434825,986.29,10.5845001628134,2019-07-10 18:43:57
"3861",7,6087,2019-07-10 20:45:00,12.748,109.9,110.8,11.64,424.744464089073,0.349441089855877,589.514845811915,986.35,10.5914467697907,2019-07-10 18:58:57
"3862",7,6088,2019-07-10 21:00:00,12.732,108.5,109.4,11.5,422.896437193238,0.348953741567699,531.593813426846,986.39,10.5990783410138,2019-07-10 19:13:57
"3863",7,6089,2019-07-10 21:15:00,12.718,107.3,108.1,11.37,424.744464089073,0.349441089855877,474.838464396749,986.33,10.596458527493,2019-07-10 19:28:57
"3864",7,6090,2019-07-10 21:30:00,12.71,106.2,107.1,11.26,424.744464089073,0.349441089855877,419.491786244459,986.24,10.6026365348399,2019-07-10 19:43:57
"3865",7,6091,2019-07-10 21:45:00,12.696,105,105.9,11.14,426.592490984909,0.349928438144056,365.790735591947,986.14,10.6095238095238,2019-07-10 19:58:57
"3866",7,6092,2019-07-10 22:00:00,12.677,103.6,104.5,10.9918181818182,424.744464089073,0.349441089855877,313.965223672264,986.18,10.6098631098631,2019-07-10 20:13:57
"3867",7,6093,2019-07-10 22:15:00,12.657,102.2,103.081818181818,10.85,426.592490984909,0.349928438144056,264.237132005743,986.28,10.6164383561644,2019-07-10 20:28:57
"3868",7,6094,2019-07-10 22:30:00,12.6425454545455,100.9,101.7,10.71,426.592490984909,0.349928438144056,216.81936245234,986.21,10.6144697720515,2019-07-10 20:43:57
"3869",7,6095,2019-07-10 22:45:00,12.631,99.7,100.5,10.59,426.592490984909,0.349928438144056,171.914925697871,986.18,10.6218655967904,2019-07-10 20:58:57
"3870",7,6096,2019-07-10 23:00:00,12.616,98.5,99.3,10.46,430.28854477658,0.350903134720414,129.71607213361,986.04,10.6192893401015,2019-07-10 21:13:57
"3871",7,6097,2019-07-10 23:15:00,12.601,97.3,98.1,10.34,422.896437193238,0.348953741567699,90.4034687311843,986.34,10.6269270298047,2019-07-10 21:28:57
"3872",7,6098,2019-07-10 23:30:00,12.587,96.2,97,10.23,422.896437193238,0.348953741567699,54.14542555004,986.46,10.6340956340956,2019-07-10 21:43:57
"3873",7,6099,2019-07-10 23:45:00,12.5743636363636,95.1,95.9,10.12,426.592490984909,0.349928438144056,21.0971751653718,986.36,10.6414300736067,2019-07-10 21:58:57
"3874",7,6100,2019-07-11 00:00:00,12.563,94.1,94.9,10.01,424.744464089073,0.349441089855877,0,986.39,10.6376195536663,2019-07-10 22:13:57
"3875",7,6101,2019-07-11 00:15:00,12.549,93.2,93.9,9.91,422.896437193238,0.348953741567699,0,986.42,10.6330472103004,2019-07-10 22:28:57
"3876",7,6102,2019-07-11 00:30:00,12.539,92.3,93.1,9.82,424.744464089073,0.349441089855877,0,986.37,10.6392199349946,2019-07-10 22:43:57
"3877",7,6103,2019-07-11 00:45:00,12.5256363636364,91.5454545454545,92.3,9.74909090909091,419.200383401566,0.347979044991341,0,986.66,10.6494538232373,2019-07-10 22:58:57
"3878",7,6104,2019-07-11 01:00:00,12.516,90.8,91.6,9.67,413.65630271406,0.346517000126805,0,987.04,10.6497797356828,2019-07-10 23:13:57
"3879",7,6105,2019-07-11 01:15:00,12.5078181818182,90.2,90.9,9.6,417.352356505731,0.347491696703162,0,987.08,10.6430155210643,2019-07-10 23:28:57
"3880",7,6106,2019-07-11 01:30:00,12.4998181818182,89.6,90.3,9.54,422.896437193238,0.348953741567699,0,986.86,10.6473214285714,2019-07-10 23:43:57
"3881",7,6107,2019-07-11 01:45:00,12.4895454545455,89.0454545454545,89.8,9.49,408.112222026553,0.345054955262268,0,987.21,10.6574783052578,2019-07-10 23:58:57
"3882",7,6108,2019-07-11 02:00:00,12.479,88.6,89.3,9.44,413.65630271406,0.346517000126805,0,987.43,10.6546275395034,2019-07-11 00:13:57
"3883",7,6109,2019-07-11 02:15:00,12.471,88.1,88.8,9.39,409.960248922388,0.345542303550447,0,987.74,10.6583427922815,2019-07-11 00:28:57
"3884",7,6110,2019-07-11 02:30:00,12.463,87.6,88.3,9.34,411.808275818224,0.346029651838626,0,987.7,10.662100456621,2019-07-11 00:43:57
"3885",7,6111,2019-07-11 02:45:00,12.46,87,87.7,9.28,417.352356505731,0.347491696703162,0,987.34,10.6666666666667,2019-07-11 00:58:57
"3886",7,6112,2019-07-11 03:00:00,12.476,86.5272727272727,87.2272727272727,9.22,430.28854477658,0.350903134720414,0,986.2,10.6555999159487,2019-07-11 01:13:57
"3887",7,6113,2019-07-11 03:15:00,12.4803636363636,86.1,86.8,9.17,421.048410297402,0.34846639327952,0,987.33,10.650406504065,2019-07-11 01:28:57
"3888",7,6114,2019-07-11 03:30:00,12.4707272727273,85.6181818181818,86.3,9.13,421.048410297402,0.34846639327952,0,987.18,10.663622849862,2019-07-11 01:43:57
"3889",7,6115,2019-07-11 03:45:00,12.4572727272727,85.3,86,9.1,421.048410297402,0.34846639327952,0,987.07,10.6682297772567,2019-07-11 01:58:57
"3890",7,6116,2019-07-11 04:00:00,12.4404545454545,85.1,85.8,9.08,411.808275818224,0.346029651838626,22.6828529656753,987.07,10.6698002350176,2019-07-11 02:13:57
"3891",7,6117,2019-07-11 04:15:00,12.42,84.8,85.5,9.05,411.808275818224,0.346029651838626,56.4039783906762,987.18,10.6721698113208,2019-07-11 02:28:57
"3892",7,6118,2019-07-11 04:30:00,12.397,84.6,85.2545454545455,9.03,417.352356505731,0.347491696703162,93.308084614985,987.18,10.6737588652482,2019-07-11 02:43:57
"3893",7,6119,2019-07-11 04:45:00,12.374,84.4,85.1,9.01909090909091,421.048410297402,0.34846639327952,133.237173660475,986.81,10.686126669539,2019-07-11 02:58:57
"3894",7,6120,2019-07-11 05:00:00,12.347,84.2,84.9,9,422.896437193238,0.348953741567699,176.020296585416,986.92,10.6888361045131,2019-07-11 03:13:57
