"","new","solar.time","depth","DO.obs","DO.sat.EXO","temp.water","light","discharge"
"16082",13,2020-08-08 14:28:57,0.472750417472701,11.39,12.247311827957,6.63418181818182,468.39809455955,873.221572232607
"16083",13,2020-08-08 14:43:57,0.476062982382063,11.36,12.2413793103448,6.64081818181818,476.827205857647,880.050736839592
"16084",13,2020-08-08 14:58:57,0.473854605775793,11.3390909090909,12.2584766584766,6.625,485.256317155743,875.497960434877
"16085",13,2020-08-08 15:13:57,0.476062982382063,11.32,12.2510822510823,6.621,506.383782729805,880.050736839592
"16086",13,2020-08-08 15:28:57,0.473854605775793,11.3,12.2559652928416,6.61,453.103266244623,875.497960434877
"16087",13,2020-08-08 15:43:57,0.477167170685211,11.29,12.2451193058568,6.616,412.521104035406,882.327125041978
"16088",13,2020-08-08 15:58:57,0.480479735594601,11.29,12.2318526543879,6.68636363636364,371.93894182619,889.156289649021
"16089",13,2020-08-08 16:13:57,0.481583923897722,11.28,12.2210184182015,6.74327272727273,331.768685236769,891.43267785135
"16090",13,2020-08-08 16:28:57,0.481583923897722,11.2690909090909,12.2091992514528,6.765,289.184803597853,891.43267785135
"16091",13,2020-08-08 16:43:57,0.48268811220087,11.2509090909091,12.2027213567344,6.763,247.012827578732,893.709066053736
"16092",13,2020-08-08 16:58:57,0.48489648880714,11.25,12.2017353579176,6.775,204.840851559611,898.261842458451
"16093",13,2020-08-08 17:13:57,0.483792300503991,11.24,12.2041259500543,6.773,150.862308495822,895.985454256064
"16094",13,2020-08-08 17:28:57,0.481583923897722,11.24,12.2173913043478,6.70609090909091,166.066181495483,891.43267785135
"16095",13,2020-08-08 17:43:57,0.483792300503991,11.25,12.2549019607843,6.62927272727273,169.463487450476,895.985454256064
"16096",13,2020-08-08 17:58:57,0.483792300503991,11.26,12.2791712104689,6.569,172.860793405469,895.985454256064
"16097",13,2020-08-08 18:13:57,0.48489648880714,11.27,12.2900763358779,6.506,183.602639275766,898.261842458451
"16098",13,2020-08-08 18:28:57,0.47827135898836,11.2809090909091,12.301972836324,6.449,151.308011097949,884.603513244365
"16099",13,2020-08-08 18:43:57,0.477167170685211,11.3,12.3227917121047,6.37145454545455,126.357922835436,882.327125041978
