"","new","solar.time","depth","DO.obs","DO.sat.EXO","temp.water","light","discharge"
"14666",1,2021-07-07 15:13:57,0.566312722638429,11.69,11.3882123721383,9.612,875.869372915277,406.658109038971
"14667",1,2021-07-07 15:28:57,0.567619075227375,11.66,11.38671875,9.624,840.331172031354,415.60758443786
"14668",1,2021-07-07 15:43:57,0.568108957448212,11.63,11.3796477495108,9.64033333333333,804.792971147432,418.124249906124
"14669",1,2021-07-07 15:58:57,0.56859883966906,11.58,11.3752455795678,9.638,769.254770263509,421.387037868844
"14670",1,2021-07-07 16:13:57,0.568108957448222,11.55,11.3793103448276,9.6455,733.716569379587,417.378127411609
"14671",1,2021-07-07 16:28:57,0.567945663374606,11.5,11.3748763600396,9.654,677.100275183456,416.539238922162
"14672",1,2021-07-07 16:43:57,0.567619075227346,11.47,11.3676907829534,9.673,620.483980987325,413.742278201564
"14673",1,2021-07-07 16:58:57,0.565986134491197,11.44,11.362733412793,9.687,563.867686791194,404.234209565659
"14674",1,2021-07-07 17:13:57,0.56549625227035,11.4,11.3659022931206,9.693,507.251392595063,400.97142160292
"14675",1,2021-07-07 17:28:57,0.565659546343975,11.36,11.36,9.697,431.35495496998,402.183371339537
"14676",1,2021-07-07 17:43:57,0.565169664123118,11.32,11.3654618473896,9.698,355.458517344897,398.54752212953
"14677",1,2021-07-07 17:58:57,0.564353193755039,11.26,11.3737373737374,9.693,279.562079719813,393.233895940706
"14678",1,2021-07-07 18:13:57,0.565006370049512,11.18,11.3617886178862,9.689,203.66564209473,397.335572392913
"14679",1,2021-07-07 18:28:57,0.564516487828655,11.11,11.3715455475947,9.691,179.65344759006,392.953600688449
"14680",1,2021-07-07 18:43:57,0.563863311534192,11.03,11.3633241758242,9.689,155.64125308539,388.851924236282
"14681",1,2021-07-07 18:58:57,0.561413900429936,10.99,11.367397600331,9.687,131.629058580721,374.030229411379
"14682",1,2021-07-07 19:13:57,0.561250606356339,10.93,11.369625520111,9.678,107.616864076051,372.072157180266
"14683",1,2021-07-07 19:28:57,0.560924018209098,10.87,11.3702928870293,9.6634,98.0953805453636,371.140502695868
"14684",1,2021-07-07 19:43:57,0.560760724135491,10.81,11.3789473684211,9.648,88.5738970146765,369.555491711983
"14685",1,2021-07-07 19:58:57,0.561087312282723,10.74,11.3771186440678,9.632,79.0524134839893,371.979391185295
"14686",1,2021-07-07 20:13:57,0.561740488577167,10.66,11.3888888888889,9.608,69.5309299533022,377.200251379244
"14687",1,2021-07-07 20:28:57,0.560107547841019,10.59,11.3870967741935,9.579,57.9092879419613,365.826876507063
"14688",1,2021-07-07 20:43:57,0.56043413598825,10.54,11.4069264069264,9.5445,46.2876459306204,369.369959722079
"14689",1,2021-07-07 20:58:57,0.562230370798024,10.47,11.4176663031625,9.503,34.6660039192795,380.463039341965
"14690",1,2021-07-07 21:13:57,0.56239366487163,10.42,11.4254385964912,9.46,23.0443619079386,382.794172820364
"14691",1,2021-07-07 21:28:57,0.560760724135482,10.366,11.4415011037528,9.415,19.2839688542362,372.166920442677
