"","date","site","X","DO.obs","DO.sat","temp.water","depth","discharge","fDOM.QSU.int","Turbidity.FNU.mn.adj","nitrateuM.adj.mn","GPP_daily_mean","ER_daily_mean","K600_daily_mean","NEP_mean","NitrateN_mgL","TDP_uM","DOC_mgL","light","ppt_week_mm","ppt_month_mm","TDN_mgL","Ammonium_uM","DOY","month","PF","burn","year","discharge_SD"
"1",2019-06-16,"CARI",1,10.8512222222222,12.4134337073336,5.88510416666667,0.2195,177.052548611111,23.7569067651099,1.66531688797314,25.1364583333333,0.06419111062988,-13.3669686392087,56.637758999609,-13.3027775285788,NA,NA,NA,594.287222222222,4.59845833333333,20.9497083333333,NA,NA,167,6,"Low","Unburned",2019,351.279798854104
"2",2019-06-16,"FRCH",2,11.6666666666667,12.2272055970713,6.72264678030303,0.951392994564076,207.481617149709,76.8111268939394,9.24907196969697,21.0459027777778,6.53324092992888,-13.1359983889425,16.8647149069068,-6.60275745901362,NA,NA,NA,388.05509375,11.8395833333333,76.1875000000001,NA,NA,167,6,"Low","Unburned",2019,447.830790083939
"3",2019-06-16,"MOOS",3,10.0957670454545,11.1235583083716,10.621334280303,0.401041679639325,617.959526104723,130.438361742424,14.4906439393939,24.6171759259259,0.272281449487904,-3.92696176242,10.5408716281033,-3.6546803129321,0.2936,NA,11.82,219.14984375,11.8395833333333,76.1875000000001,NA,NA,167,6,"Low","Burned",2019,649.04799823974
"4",2019-06-16,"POKE",4,11.6725757575758,11.5463892840592,9.09400662878788,0.378824126803964,291.30412400554,27.7318276515152,2.34617424242424,27.7455431547619,1.84511713852444,-1.0597497752653,22.6126579443882,0.78536736325914,0.3564,NA,2.945,631.62640625,4.59845833333333,20.9497083333333,NA,NA,167,6,"Low","Burned",2019,186.638980746445
"5",2019-06-16,"STRT",5,10.7280965909091,11.1049474426879,10.7103399621212,0.544005413780258,782.304086607428,57.2110511363636,6.04461174242424,18.0768154761905,2.88923535947637,-5.42140312473732,15.1311558506155,-2.53216776526095,NA,NA,NA,383.782125,11.8395833333333,76.1875000000001,NA,NA,167,6,"High","Burned",2019,1390.25985441769
"6",2019-06-16,"VAUL",6,10.5687784090909,11.363902502087,9.67480018939394,0.55907143479665,152.354370489305,198.565018939394,9.22586174242424,46.1677727272727,1.43722735274065,-6.57980049426322,13.0379801924941,-5.14257314152257,0.238,NA,23.27,368.938333333333,1.58958333333333,12.2,NA,NA,167,6,"High","Unburned",2019,85.4359035965856
"7",2019-06-17,"CARI",7,10.9433055555556,12.5597742063983,5.42123611111111,0.217798611111111,173.9763125,22.7614913784133,2.36513444194694,25.1915587935929,0.0122626875544993,-17.8210452636204,75.5815355886439,-17.8087825760659,NA,NA,NA,591.392854166667,5.207,20.066,NA,NA,168,6,"Low","Unburned",2019,351.279798854104
"8",2019-06-17,"FRCH",8,11.7826041666667,12.3670719642832,6.26289867424242,0.914018365630343,187.675392915613,73.4741003787879,8.32352272727273,20.8459895833333,4.96017767604573,-10.2923154638208,14.3663744034149,-5.33213778777507,NA,NA,NA,330.2100625,11.21875,75.6416666666668,NA,NA,168,6,"Low","Unburned",2019,447.830790083939
"9",2019-06-17,"MOOS",9,10.1756534090909,11.2710619465175,10.0537102272727,0.390093440364424,576.167167866606,130.258172348485,12.9360321969697,24.2699421296296,0.169576759594696,-3.30308872545595,9.37153285604738,-3.13351196586125,0.2684,NA,11.37,164.552104166667,11.21875,75.6416666666668,NA,NA,168,6,"Low","Burned",2019,649.04799823974
"10",2019-06-17,"POKE",10,11.7600757575758,11.6856125405997,8.58600189393939,0.373182825647128,285.348699323192,27.8133333333333,2.07158143939394,27.7463690476191,1.68068383141826,-1.14383319929528,22.2866816176072,0.53685063212298,0.3463,NA,2.376,538.402083333333,5.207,20.066,NA,NA,168,6,"Low","Burned",2019,186.638980746445
"11",2019-06-17,"STRT",11,10.9000378787879,11.3765786228693,9.66944034090909,0.531411983519266,728.351686644321,55.7579924242424,5.83160037878788,17.3272899496337,1.58213358991635,-3.69179342625673,11.1920677168447,-2.10965983634038,NA,NA,NA,279.409125,11.21875,75.6416666666668,NA,NA,168,6,"High","Burned",2019,1390.25985441769
"12",2019-06-17,"VAUL",12,10.3760132575758,11.3184157005462,9.83326231060606,0.552249750303699,146.238528952584,198.925965909091,8.2915625,42.3993671875,0.288078438599675,-3.46381278133539,8.21870617481748,-3.17573434273572,0.249,NA,21.35,238.771,1.00833333333333,12.2083333333333,NA,NA,168,6,"High","Unburned",2019,85.4359035965856
"13",2019-06-18,"CARI",13,11.0537083333333,12.6023142142232,5.25554513888889,0.218006944444445,173.375972222222,22.3846470543346,1.60669223137973,24.96103537917,0.025451985791983,-11.7560315767698,52.6950088648978,-11.7305795909778,NA,NA,NA,409.739868055556,5.207,20.066,NA,NA,169,6,"Low","Unburned",2019,351.279798854104
"14",2019-06-18,"FRCH",14,11.8503964484393,12.3660712348804,6.26672443181818,0.94085321403823,201.896190285854,72.8393465909091,8.19335227272727,20.5549116161616,7.96218128231981,-14.4377058115733,16.1308216569009,-6.47552452925349,NA,NA,NA,360.123770833333,11.44375,75.9833333333334,NA,NA,169,6,"Low","Unburned",2019,447.830790083939
"15",2019-06-18,"MOOS",15,10.2623579545455,11.2448568968241,10.159134469697,0.380895103912365,541.054656845729,126.083513257576,10.9948011363636,24.5711342592593,0.113727258275124,-3.12441906042314,9.89658284666525,-3.01069180214802,NA,NA,10.73,160.744572916667,11.44375,75.9833333333334,NA,NA,169,6,"Low","Burned",2019,649.04799823974
