"","X","date","GPP_mean","GPP_se_mean","GPP_sd","GPP_2.5pct","GPP_25pct","GPP_50pct","GPP_75pct","GPP_97.5pct","GPP_n_eff","GPP_Rhat","ER_mean","ER_se_mean","ER_sd","ER_2.5pct","ER_25pct","ER_50pct","ER_75pct","ER_97.5pct","ER_n_eff","ER_Rhat","DO_R2_mean","DO_R2_se_mean","DO_R2_sd","DO_R2_2.5pct","DO_R2_25pct","DO_R2_50pct","DO_R2_75pct","DO_R2_97.5pct","DO_R2_n_eff","DO_R2_Rhat","GPP_daily_mean","GPP_daily_se_mean","GPP_daily_sd","GPP_daily_2.5pct","GPP_daily_25pct","GPP_daily_50pct","GPP_daily_75pct","GPP_daily_97.5pct","GPP_daily_n_eff","GPP_daily_Rhat","ER_daily_mean","ER_daily_se_mean","ER_daily_sd","ER_daily_2.5pct","ER_daily_25pct","ER_daily_50pct","ER_daily_75pct","ER_daily_97.5pct","ER_daily_n_eff","ER_daily_Rhat","K600_daily_mean","K600_daily_se_mean","K600_daily_sd","K600_daily_2.5pct","K600_daily_25pct","K600_daily_50pct","K600_daily_75pct","K600_daily_97.5pct","K600_daily_n_eff","K600_daily_Rhat","K600_daily_predlog_mean","K600_daily_predlog_se_mean","K600_daily_predlog_sd","K600_daily_predlog_2.5pct","K600_daily_predlog_25pct","K600_daily_predlog_50pct","K600_daily_predlog_75pct","K600_daily_predlog_97.5pct","K600_daily_predlog_n_eff","K600_daily_predlog_Rhat","valid_day","warnings","errors"
"1",1,"2022-05-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"data don't start when expected"
"2",2,"2022-05-18",0.0122926716270004,0.00033794189556478,0.0120728317627383,0.000386766170193471,0.00379986495646666,0.00872361863247297,0.0169477677856771,0.044871611275001,1276.24550608407,1.00188204064593,-1.43378492075594,0.0066439590756859,0.121250238315463,-1.67679687666348,-1.51409267158374,-1.43124742946041,-1.35424125417894,-1.19377105289348,333.051431273505,1.00614875557127,0.999999240128237,1.97111616123003e-07,4.01684290372577e-07,0.999998379454424,0.99999898728317,0.999999242449281,0.999999578382909,0.999999809763303,4.15284055127499,1.79494436921256,0.0122926716269933,0.000337941895564584,0.0120728317627313,0.000386766170193246,0.00379986495646445,0.0087236186324679,0.0169477677856673,0.0448716112749749,1276.24550608406,1.00188204064593,-1.43378492075594,0.00664395907568589,0.121250238315463,-1.67679687666348,-1.51409267158374,-1.43124742946041,-1.35424125417894,-1.19377105289349,333.051431273506,1.00614875557127,12.6716462915917,0.0292847061096666,0.476361576473058,11.7503882531041,12.3609912520622,12.6574395139625,12.9607942207931,13.6675046592529,264.60113804822,1.01001603238414,2.53318938397764,0.00196671266955382,0.0246828629497828,2.48442552753317,2.51695255625563,2.53341669083466,2.54972929305267,2.58112010318981,157.510399354987,1.02508239605648,TRUE,NA,""
"3",3,"2022-05-19",0.00976728871501288,0.000324368206584595,0.0101369033388498,0.000182276014490957,0.00273785212432142,0.00657415473877826,0.0133310904579067,0.0366607424998436,976.638973827221,1.00106104877465,-0.887944123168975,0.00510692904054446,0.111855550513011,-1.11232625763607,-0.963390794500126,-0.886029030792746,-0.810631943003044,-0.673125348023973,479.728402959785,1.00629400323139,0.999999454441189,1.4146205423835e-07,2.81632528491599e-07,0.99999887287299,0.999999267594663,0.999999451491045,0.999999687749656,0.999999864041807,3.96356247224082,1.885436378904,0.0097672887150072,0.000324368206584406,0.0101369033388439,0.000182276014490851,0.00273785212431983,0.00657415473877444,0.013331090457899,0.0366607424998223,976.638973827221,1.00106104877465,-0.887944123168975,0.00510692904054446,0.111855550513011,-1.11232625763607,-0.963390794500126,-0.886029030792746,-0.810631943003044,-0.673125348023973,479.728402959784,1.00629400323139,20.031146940697,0.0494408382709258,0.622695162735214,18.8458955490165,19.593228593574,20.0265373374708,20.4372264056718,21.2988374895683,158.627811588485,1.02102731644845,2.98931380148506,0.00218672247969072,0.025031366702457,2.93742859315897,2.97324119300183,2.98994428680992,3.00611269864777,3.0374080319077,131.033332399694,1.023335251824,TRUE,NA,""
"4",4,"2022-05-20",0.5040397989628,0.00934158968772531,0.121273398327224,0.263989964815764,0.42470046314516,0.503543307179249,0.587562354663278,0.736549286482231,168.534772662203,1.03075814018292,-2.57048336980518,0.0186929729888857,0.212111272153861,-2.98083877309635,-2.71454748764824,-2.57033828647523,-2.43310166948226,-2.13713968782836,128.756967780966,1.03416278379713,0.999999494515611,1.29035456709275e-07,2.63600473346911e-07,0.99999893293917,0.999999325498482,0.999999494013649,0.999999714139905,0.999999872628997,4.17324849049428,1.83391895123552,0.504039798962507,0.00934158968771992,0.121273398327154,0.263989964815611,0.424700463144913,0.503543307178956,0.587562354662936,0.736549286481802,168.534772662201,1.03075814018292,-2.57048336980518,0.0186929729888857,0.212111272153861,-2.98083877309635,-2.71454748764824,-2.57033828647523,-2.43310166948226,-2.13713968782836,128.756967780966,1.03416278379713,59.9484945995766,0.223561560290769,2.23606268136845,55.5161973951626,58.4563174199272,59.9690479407275,61.4903366174813,64.2996834528887,100.040000003897,1.03902302410906,4.09237573102658,0.00373139089282273,0.0370183856475363,4.01648516708867,4.06840065796356,4.09296661569775,4.11811412912083,4.16235780292198,98.4222879438201,1.03873879802265,TRUE,NA,""
"5",5,"2022-05-21",0.838786639737835,0.0192846673339406,0.169577705862994,0.515407336140753,0.717961983234999,0.840588233916788,0.957716041819524,1.1680222419609,77.323803425135,1.05489142913662,-4.78039993158248,0.0481026299828568,0.381626239852547,-5.51398862934509,-5.04485137596113,-4.78362592235382,-4.51278414774381,-4.05096226589106,62.9417498939173,1.0750129971577,0.999999495357875,1.31566429639893e-07,2.66302323024224e-07,0.999998922922203,0.999999328770527,0.999999496133211,0.999999713795721,0.999999875462586,4.0969412036166,1.82389778940296,0.838786639737347,0.0192846673339294,0.169577705862895,0.515407336140454,0.717961983234581,0.840588233916299,0.957716041818967,1.16802224196022,77.3238034251349,1.05489142913662,-4.78039993158248,0.0481026299828568,0.381626239852547,-5.5139886293451,-5.04485137596112,-4.78362592235381,-4.51278414774381,-4.05096226589106,62.9417498939172,1.0750129971577,80.8609192573258,0.570711626984969,4.35381238250417,72.2633498883784,77.8901471866386,80.8501565165662,83.9175928129106,89.351394579084,58.1977211802729,1.08352750783959,4.39073417312215,0.00713377025675803,0.0540859102871062,4.27942974813656,4.35478173414744,4.39176886468028,4.42923759681013,4.49168430584245,57.4817589815658,1.08547694437749,TRUE,NA,""
"6",6,"2022-05-22",0.0184232392650108,0.000721431555208967,0.0178136151621173,0.000755598560141494,0.00559143856413882,0.0131131992997108,0.0256168902679265,0.0665363637261666,609.696725978642,1.00952878291242,-2.66098621168286,0.0208336774728588,0.180432875418121,-3.00620225631034,-2.78104493210717,-2.6601055432213,-2.54166750108863,-2.30591602417929,75.0065978698971,1.06432920429061,0.999999640544153,9.30898704121734e-08,1.85941482787917e-07,0.99999924942631,0.999999518692679,0.999999638158491,0.999999794540251,0.999999911054529,3.98976878650597,1.83233505224062,0.0184232392650001,0.000721431555208547,0.0178136151621069,0.000755598560141054,0.00559143856413557,0.0131131992997032,0.0256168902679116,0.0665363637261279,609.696725978643,1.00952878291243,-2.66098621168286,0.0208336774728588,0.180432875418121,-3.00620225631034,-2.78104493210717,-2.6601055432213,-2.54166750108863,-2.30591602417928,75.0065978698971,1.06432920429061,77.3368189854634,0.474840424072358,3.67503750913455,70.0116044447799,74.8680642190087,77.3203261057644,79.8662086350725,84.5159036587714,59.9001877666318,1.08012182741836,4.34634059348894,0.00621290652190303,0.0477567380480067,4.24821219853918,4.31513867139358,4.3474827424428,4.37992503012963,4.43564372273976,59.0853308740839,1.08166912069829,TRUE,NA,""
"7",7,"2022-05-23",0.0527554708221479,0.00188801397451237,0.0458276440940971,0.00153607612641405,0.0174299578671776,0.0411673287821899,0.0747096689061626,0.17277472660003,589.175466379803,1.00361176062102,-0.162858258349514,0.00348051977455675,0.0965325281267546,-0.377466301835224,-0.223815464115085,-0.154403306808318,-0.0869879053046381,-0.0144733566446135,769.235200297288,1.00186365416546,0.999999682227867,8.30491897104227e-08,1.66087254886946e-07,0.999999331316381,0.99999957568268,0.999999682943949,0.999999819153065,0.999999921913342,3.99946421337032,1.83458351324705,0.0527554708221172,0.00188801397451127,0.0458276440940705,0.00153607612641316,0.0174299578671675,0.041167328782166,0.0747096689061191,0.172774726599929,589.175466379804,1.00361176062102,-0.162858258349513,0.00348051977455675,0.0965325281267545,-0.377466301835224,-0.223815464115085,-0.154403306808317,-0.086987905304638,-0.0144733566446135,769.235200297288,1.00186365416546,56.4929013174976,0.207784388665191,2.0958321443027,52.3181468327292,55.0841634308553,56.5227085875838,57.9376970188601,60.5411179047018,101.738929619487,1.03883759528658,4.03167147541165,0.00373476705273256,0.0371991346926027,3.95533567111672,4.00748513254822,4.03269627115293,4.05723764475194,4.10192584978816,99.2061595228195,1.03842043699163,TRUE,NA,""
"8",8,"2022-05-24",0.00995220264924158,0.000336597207791936,0.00990715824299903,0.000178563112188181,0.00280615135943795,0.0070000445594702,0.0137287584460141,0.0369230641407547,866.317688038347,1.00563188442748,-0.122136761939557,0.00318113735910135,0.0808328027867832,-0.305483224117986,-0.170876390629162,-0.111977783204592,-0.0575153000235962,-0.00809639084012677,645.669737353895,1.00409707223982,0.999999724487724,7.18028031401451e-08,1.44545973584004e-07,0.999999418231743,0.999999632990827,0.999999723947038,0.999999842657056,0.999999931529137,4.05255762442405,1.79853917102129,0.00995220264923579,0.000336597207791741,0.00990715824299327,0.000178563112188078,0.00280615135943632,0.00700004455946614,0.0137287584460061,0.0369230641407332,866.317688038346,1.00563188442748,-0.122136761939557,0.00318113735910136,0.0808328027867832,-0.305483224117985,-0.170876390629162,-0.111977783204592,-0.0575153000235963,-0.00809639084012677,645.669737353894,1.00409707223982,28.7120198913084,0.0767308591420271,0.897359499804818,26.9871513231385,28.0967882271355,28.6955043510096,29.3167817631822,30.5193415699123,136.77061749196,1.02364747889351,3.34163996052178,0.00258085136848192,0.0277635777543597,3.28307777353145,3.32379893289776,3.34217756976492,3.36067904831862,3.39380743163167,115.724382778514,1.02771683305972,TRUE,NA,""
"9",9,"2022-05-25",0.0131606264780132,0.000508819309080765,0.0131815081250161,0.000170353087713687,0.00346536244695544,0.0090256295883414,0.0187672004192953,0.0483730145563321,671.124410568168,1.00315827027707,-0.0308171231579185,0.000925467087323866,0.0280887930245021,-0.102715501741281,-0.0440414800807244,-0.0225931700305631,-0.00991544815910951,-0.00132292641824344,921.179361138693,1.0013465315937,0.999999539160287,1.17970056923744e-07,2.39827860234358e-07,0.99999902266937,0.999999388063388,0.999999537881671,0.999999737220296,0.999999883524955,4.13290751959356,1.83255235546273,0.0131606264780056,0.000508819309080469,0.0131815081250084,0.000170353087713588,0.00346536244695342,0.00902562958833615,0.0187672004192844,0.048373014556304,671.124410568168,1.00315827027707,-0.0308171231579185,0.000925467087323866,0.0280887930245021,-0.102715501741281,-0.0440414800807244,-0.0225931700305631,-0.00991544815910952,-0.00132292641824344,921.179361138693,1.0013465315937,25.782778504999,0.0651615382918307,0.77726689575796,24.2499230577374,25.2574691979813,25.7880096377666,26.312356240387,27.2823459278385,142.284530739419,1.02233129312754,3.24150958587633,0.00245340247567096,0.0267996223764669,3.18519261218332,3.22429112811259,3.24193172268725,3.2598814083806,3.29235925383225,119.32178753923,1.02617718133805,TRUE,NA,""
"10",10,"2022-05-26",0.0810818797739885,0.00287523253059185,0.0549070677141159,0.0034855793573721,0.0384239017233468,0.0741668244195739,0.114835656380475,0.205052341392294,364.678832040216,1.01072899373105,-0.00818298060891191,0.000273834706450682,0.0079608189977349,-0.0295064085950596,-0.0113524136225097,-0.00582840194160868,-0.00239860879775306,-0.000240260273606447,845.159189004719,1.00415162234448,0.999999691357679,7.99465600061666e-08,1.59805646802411e-07,0.999999344340067,0.999999589469837,0.999999686669356,0.999999821533477,0.99999992403537,3.99562461310158,1.86102389481844,0.0810818797739413,0.00287523253059018,0.054907067714084,0.00348557935737007,0.0384239017233245,0.0741668244195308,0.114835656380408,0.205052341392175,364.678832040216,1.01072899373105,-0.00818298060891191,0.000273834706450682,0.0079608189977349,-0.0295064085950596,-0.0113524136225097,-0.00582840194160867,-0.00239860879775306,-0.000240260273606447,845.159189004719,1.00415162234448,27.2591800435498,0.0764863223237538,0.824178227773122,25.5623359896724,26.7230708840752,27.2719946121025,27.8227524448075,28.8626087678197,116.111361246569,1.03085212713725,3.31733614292395,0.0025489932137437,0.0275173265710003,3.25927295617466,3.29956910750454,3.31784074947305,3.33618775432927,3.36891878763129,116.540027846136,1.02733070341546,TRUE,NA,""
