"","new","solar.time","depth","DO.obs","DO.sat.EXO","temp.water","light","discharge"
"17773",8,2021-08-23 05:13:57,0.878712303541316,10.8581818181818,12.8859639659078,4.655,64.0376192461641,514.608101675631
"17774",8,2021-08-23 05:28:57,0.879166866215966,10.9081818181818,12.8855240549828,4.647,81.0798888842562,515.019428788927
"17775",8,2021-08-23 05:43:57,0.87645651254675,10.8009090909091,12.8875149148498,4.63863636363636,98.1221585223483,512.566869410555
"17776",8,2021-08-23 05:58:57,0.876083667315015,10.9154545454545,12.8885787891798,4.63,115.16442816044,512.229487215693
"17777",8,2021-08-23 06:13:57,0.873698486192066,10.8981818181818,12.8958691910499,4.623,132.206697798532,510.071171716632
"17778",8,2021-08-23 06:28:57,0.876391817482574,10.9445454545455,12.898007285194,4.617,169.122051784523,512.508327793577
"17779",8,2021-08-23 06:43:57,0.873308618581586,10.9572727272727,12.8936670945656,4.61072727272727,206.037405770514,509.718386220309
"17780",8,2021-08-23 06:58:57,0.873000468414059,10.9081818181818,12.9021505376344,4.605,242.952759756504,509.439545642454
"17781",8,2021-08-23 07:13:57,0.872270103103916,10.8745454545455,12.8984257062757,4.60281818181818,279.868113742495,508.778648759743
"17782",8,2021-08-23 07:28:57,0.87272466577856,11.0136363636364,12.90202342918,4.604,296.011408438959,509.189975873034
"17783",8,2021-08-23 07:43:57,0.873032815946136,10.9636363636364,12.8997753770457,4.60590909090909,312.154703135424,509.468816450933
"17784",8,2021-08-23 07:58:57,0.870988132522904,11,12.8984116831894,4.606,328.297997831888,507.618612338309
"17785",8,2021-08-23 08:13:57,0.871199240094153,10.9845454545455,12.9009182148196,4.60736363636364,344.441292528352,507.809640490683
"17786",8,2021-08-23 08:28:57,0.869398011774267,10.9172727272727,12.8976479432929,4.613,328.336252084723,506.179735338931
"17787",8,2021-08-23 08:43:57,0.868878754035432,10.9818181818182,12.8935852278792,4.623,312.231211641094,505.709866608648
"17788",8,2021-08-23 08:58:57,0.870468874784047,11,12.8887942053686,4.635,296.126171197465,507.148743608006
"17789",8,2021-08-23 09:13:57,0.866558267976669,10.9327272727273,12.885460195007,4.647,280.021130753836,503.610092726575
"17790",8,2021-08-23 09:28:57,0.86784023855773,11.0827272727273,12.8800845219229,4.65790909090909,286.63911649433,504.770129148053
"17791",8,2021-08-23 09:43:57,0.869154556670893,11.0781818181818,12.8802452172075,4.67,293.257102234823,505.959436378034
"17792",8,2021-08-23 09:58:57,0.869251599267157,11.0872727272727,12.8744853794996,4.682,299.875087975317,506.047248803501
"17793",8,2021-08-23 10:13:57,0.868667646464135,11.0554545454545,12.8728696940827,4.692,306.493073715811,505.51883845623
"17794",8,2021-08-23 10:28:57,0.866217770277016,11.1190909090909,12.867964229353,4.7,312.805025433623,503.301981340196
"17795",8,2021-08-23 10:43:57,0.866558267976669,11.1518181818182,12.8638842281879,4.70736363636364,319.116977151434,503.610092726575
"17796",8,2021-08-23 10:58:57,0.864968147228054,11.11,12.8601494264969,4.71881818181818,325.428928869246,502.171215727217
"17797",8,2021-08-23 11:13:57,0.867256285754714,11.1509090909091,12.8574423480084,4.731,331.740880587058,504.241718800787
"17798",8,2021-08-23 11:28:57,0.867596783454351,10.9927272727273,12.8569909622542,4.74163636363636,322.521605653769,504.549830187151
"17799",9,2021-08-23 11:43:57,0.866217770277,11.0573358197114,12.8535220781691,4.748,313.30233072048,503.301981340182
"17800",9,2021-08-23 11:58:57,0.866525920444582,11.0561373851362,12.8500531940841,4.756,304.083055787192,503.580821918086
"17801",10,2021-08-23 12:13:57,0.866769375547961,11.0609090909091,12.846584309999,4.765,294.863780853903,503.801120878988
"17802",10,2021-08-23 12:28:57,0.863961979282455,10.9918181818182,12.8409090909091,4.77509090909091,289.125642928619,501.260749075125
"17803",10,2021-08-23 12:43:57,0.864237781917939,11.17,12.837739003239,4.787,283.387505003336,501.510318844531
"17804",10,2021-08-23 12:58:57,0.864935799695945,11.0881818181818,12.8348942439229,4.801,277.649367078052,502.141944918709
"17805",10,2021-08-23 13:13:57,0.863020506401048,11.0663636363636,12.8298903878583,4.814,271.911229152769,500.408824040026
"17806",10,2021-08-23 13:28:57,0.861852600794999,11.0572727272727,12.8220535526038,4.835,259.172562958639,499.352003345479
"17807",10,2021-08-23 13:43:57,0.863475069075697,11.1427272727273,12.8171076022169,4.853,246.43389676451,500.820151153321
"17808",10,2021-08-23 13:58:57,0.863102223843968,11.1172727272727,12.8119434258774,4.87054545454545,233.69523057038,500.482768958464
"17809",11,2021-08-23 14:13:57,0.861609145691637,11.091574540748,12.8083142263924,4.887,220.956564376251,499.131704384592
"17810",12,2021-08-23 14:28:57,0.860602977746038,11.0318181818182,12.8046850269073,4.898,217.666698632422,498.2212377325
"17811",12,2021-08-23 14:43:57,0.860391870174763,11.1254545454545,12.7972393600334,4.913,214.376832888592,498.030209580102
