"","X","datetimeAK","DO.obs","ODO.Psat","localDissolvedOxygenSat","temp.water","discharge","depth","turbidity","fDOM","solar.time","DO.sat.EXO","light"
"1",1245,2019-05-19 15:00:00,12.0316666666667,94.0313333333333,NA,4.89733333333333,318.96,0.282,2.10333333333333,NA,2019-05-19 13:11:40,12.7953802633165,1569.32999529477
"2",1246,2019-05-19 15:15:00,11.9833333333333,94.0286666666667,NA,5.05166666666667,322.116,0.282666666666667,2.11666666666667,NA,2019-05-19 13:26:40,12.7443403784661,1547.97694795033
"3",1247,2019-05-19 15:30:00,11.9413333333333,93.868,NA,5.11783333333333,317.121333333333,0.283333333333333,2.24266666666667,NA,2019-05-19 13:41:40,12.7214102072414,1522.97595870544
"4",1248,2019-05-19 15:45:00,11.9186666666667,93.778,NA,5.152,316.415333333333,0.282,2.27966666666667,NA,2019-05-19 13:56:40,12.7094485558091,1494.43408018422
"5",1249,2019-05-19 16:00:00,11.904,93.805,NA,5.2125,317.922,0.282666666666667,2.25166666666667,NA,2019-05-19 14:11:40,12.6901551090027,1462.47352670689
"6",1250,2019-05-19 16:15:00,11.8846666666667,93.7793333333333,NA,5.2655,320.858666666667,0.283333333333333,2.23766666666667,NA,2019-05-19 14:26:40,12.6730125329675,1427.23115102728
"7",1251,2019-05-19 16:30:00,11.86,93.685,NA,5.3035,319.892666666667,0.284666666666667,2.22733333333333,NA,2019-05-19 14:41:40,12.6594438810909,1388.85785828976
"8",1252,2019-05-19 16:45:00,11.8423333333333,93.5133333333333,NA,5.28866666666667,319.652666666667,0.284,2.20733333333333,NA,2019-05-19 14:56:40,12.6637912597134,1347.51795985245
"9",1253,2019-05-19 17:00:00,11.8356666666667,93.3733333333333,NA,5.251,320.351333333333,0.284,2.14633333333333,NA,2019-05-19 15:11:40,12.6756390118521,1303.38846976903
"10",1254,2019-05-19 17:15:00,11.8463333333333,93.3436666666667,NA,5.20333333333333,316.831333333333,0.282,2.12233333333333,NA,2019-05-19 15:26:40,12.6910949144916,1256.65834679827
"11",1255,2019-05-19 17:30:00,11.865,93.415,NA,5.173,318.854,0.283333333333333,2.18733333333333,NA,2019-05-19 15:41:40,12.7013862869989,1207.52768525557
"12",1256,2019-05-19 17:45:00,11.892,93.3826666666667,NA,5.07083333333333,317.841333333333,0.284,2.14766666666667,NA,2019-05-19 15:56:40,12.734697374245,1156.20685831178
"13",1257,2019-05-19 18:00:00,11.9133333333333,93.2896666666667,NA,4.963,318.979333333333,0.283333333333333,2.239,NA,2019-05-19 16:11:40,12.7702603718168,1102.91561708685
"14",1258,2019-05-19 18:15:00,11.934,93.2013333333333,NA,4.8575,311.350666666667,0.280666666666667,2.14566666666667,NA,2019-05-19 16:26:40,12.8045378463827,1047.88214980208
"15",1259,2019-05-19 18:30:00,11.9606666666667,93.1353333333333,NA,4.7425,315.408666666667,0.282,2.18033333333333,NA,2019-05-19 16:41:40,12.8422439031374,991.342104584556
"16",1260,2019-05-19 18:45:00,11.9896666666667,93.0883333333333,NA,4.63166666666667,319.176666666667,0.283333333333333,2.17133333333333,NA,2019-05-19 16:56:40,12.8798811165022,933.537580542236
"17",1261,2019-05-19 19:00:00,12.014,93.0176666666667,NA,4.52366666666667,311.218666666667,0.28,2.20966666666667,NA,2019-05-19 17:11:40,12.9158260258804,874.716091059889
"18",1262,2019-05-19 19:15:00,12.0316666666667,92.947,NA,4.44333333333333,311.834,0.28,2.24,NA,2019-05-19 17:26:40,12.9446530460011,815.129503983116
"19",1263,2019-05-19 19:30:00,12.047,92.948,NA,4.394,309.772666666667,0.279333333333333,2.31366666666667,NA,2019-05-19 17:41:40,12.9610104574601,755.03296312864
"20",1264,2019-05-19 19:45:00,12.0683333333333,92.969,NA,4.33283333333333,311.425333333333,0.280666666666667,2.304,NA,2019-05-19 17:56:40,12.9810295188002,694.683795830234
"21",1265,2019-05-19 20:00:00,12.1006666666667,92.9676666666667,NA,4.227,307.916666666667,0.279333333333333,2.30266666666667,NA,2019-05-19 18:11:40,13.0159948082308,634.340411041845
