"","X","datetimeAK","DO.obs","ODO.Psat","localDissolvedOxygenSat","temp.water","discharge","depth","turbidity","fDOM","solar.time","DO.sat.EXO","light"
"1",20835,2021-05-07 16:15:00,13.3925,93.83625,NA,0.481333333333333,954.01,0.462,12.795,179.43125,2021-05-07 14:26:40,14.2722029066592,1330.04670910697
"2",20836,2021-05-07 16:30:00,13.3885714285714,93.8271428571429,NA,0.5005,965.909,0.465,12.4928571428571,186.325714285714,2021-05-07 14:41:40,14.2694011784589,1291.02923862453
"3",20837,2021-05-07 16:45:00,13.3846666666667,93.816,NA,0.506,977.808,0.468,12.1333333333333,194.394666666667,2021-05-07 14:56:40,14.2669338563429,1248.99010660159
"4",20838,2021-05-07 17:00:00,13.38,93.746,NA,0.495666666666667,997.986666666667,0.472666666666667,12.3753333333333,196.947333333333,2021-05-07 15:11:40,14.2726089646492,1204.10935004321
"5",20839,2021-05-07 17:15:00,13.3826666666667,93.7286666666667,NA,0.477333333333333,993.683333333333,0.471333333333333,13.3506666666667,196.428666666667,2021-05-07 15:26:40,14.278093503944,1156.57917540149
"6",20840,2021-05-07 17:30:00,13.3946666666667,93.7393333333333,NA,0.446333333333333,1005.70333333333,0.474,12.822,196.178,2021-05-07 15:41:40,14.2892702458591,1106.60313541458
"7",20841,2021-05-07 17:45:00,13.3993333333333,93.756,NA,0.440666666666667,1011.58466666667,0.478,12.9733333333333,196.047333333333,2021-05-07 15:56:40,14.2917075529388,1054.39525740817
"8",20842,2021-05-07 18:00:00,13.4046666666667,93.6646666666667,NA,0.392666666666667,1027.65466666667,0.48,19.64,191.082666666667,2021-05-07 16:11:40,14.3113376086322,1000.1791266758
"9",20843,2021-05-07 18:15:00,13.4006666666667,93.6466666666667,NA,0.397,1041.068,0.484666666666667,16.306,194.556666666667,2021-05-07 16:26:40,14.3098170427849,944.186928890142
"10",20844,2021-05-07 18:30:00,13.4093333333333,93.5686666666667,NA,0.337666666666667,1053.97,0.486,21.958,188.601333333333,2021-05-07 16:41:40,14.3310082435003,886.658455889391
"11",20845,2021-05-07 18:45:00,13.4113333333333,93.5953333333333,NA,0.346,1080.82266666667,0.493333333333333,18.598,191.042666666667,2021-05-07 16:56:40,14.3290619902702,827.840078598371
"12",20846,2021-05-07 19:00:00,13.4086666666667,93.5946666666667,NA,0.362,1074.47133333333,0.491333333333333,16.312,194.030666666667,2021-05-07 17:11:40,14.3263148897373,767.983691978116
"13",20847,2021-05-07 19:15:00,13.4186666666667,93.606,NA,0.329,1087.05866666667,0.494,15.4293333333333,194.487333333333,2021-05-07 17:26:40,14.3352634090407,707.345636294221
"14",20848,2021-05-07 19:30:00,13.422,93.546,NA,0.299333333333333,1079.24266666667,0.492666666666667,14.8173333333333,195.567333333333,2021-05-07 17:41:40,14.3480212943365,646.185599285534
"15",20849,2021-05-07 19:45:00,13.4406666666667,93.5886666666667,NA,0.265,1085.26333333333,0.494666666666667,14.654,195.631333333333,2021-05-07 17:56:40,14.3614255287321,584.765503962465
"16",20850,2021-05-07 20:00:00,13.4573333333333,93.6413333333333,NA,0.239,1080.614,0.492666666666667,15.0866666666667,195.314,2021-05-07 18:11:40,14.3711466446441,523.348387060801
