"","new","X","datetimeAK","temp.water","ODO.Psat","ODO.Ploc","DO.obs","discharge","Site","depth","light","DO.sat.EXO","solar.time","ODO.mgL.Calc"
"11906",5572,42519,2021-07-30 18:25:00,8.45845454545455,96.8692247727859,NA,11.1103325722716,530.02414092407,"POKE",0.393399294429044,16.3083269612311,11.4690644194351,2021-07-30 16:38:57,NA
"11907",5573,42520,2021-07-30 18:30:00,8.453,96.8,97.2,11.1045454545455,528.11772588524,"POKE",0.393359452670887,13.79,11.471637866266,2021-07-30 16:43:57,11.3398050447013
"11908",5574,42521,2021-07-30 18:35:00,8.45984848484849,96.8025663103628,NA,11.1021912029573,533.861002215184,"POKE",0.393228065135498,13.1302186448772,11.4688204357626,2021-07-30 16:48:57,NA
"11909",5574,42522,2021-07-30 18:40:00,8.46669696969697,96.7994500313983,NA,11.0986830910499,529.062923000223,"POKE",0.393128027329476,11.8600507761893,11.4660030052592,2021-07-30 16:53:57,NA
"11910",5575,42523,2021-07-30 18:45:00,8.47354545454546,96.8,97.1545454545455,11.0963636363636,530.02414092407,"POKE",0.392970901373737,10.255,11.4631855747558,2021-07-30 16:58:57,11.3341570400265
"11911",5576,42524,2021-07-30 18:50:00,8.47236363636364,96.730381295896,NA,11.0884851504777,530.02414092407,"POKE",0.392980481132597,9.66962305746452,11.4641953646624,2021-07-30 17:03:57,NA
"11912",5576,42525,2021-07-30 18:55:00,8.47118181818182,96.664377853744,NA,11.0818710729968,528.109715480794,"POKE",0.392932972741741,8.74936320742763,11.4652051545691,2021-07-30 17:08:57,NA
"11913",5577,42526,2021-07-30 19:00:00,8.47,96.6,97,11.0763636363636,530.977348443499,"POKE",0.392841384274695,7.84,11.4662149444758,2021-07-30 17:13:57,11.311711651104
"11914",5578,42527,2021-07-30 19:05:00,8.44984848484849,96.4996440257243,NA,11.0672275280773,529.062923000223,"POKE",0.392878516052347,6.89745796769223,11.4689961865906,2021-07-30 17:18:57,NA
"11915",5578,42528,2021-07-30 19:10:00,8.42969696969697,96.4018560349267,NA,11.0598917883595,527.156507961365,"POKE",0.392871567753809,5.96581257799372,11.4717774287055,2021-07-30 17:23:57,NA
"11916",5579,42529,2021-07-30 19:15:00,8.40954545454546,96.3,96.6,11.05,524.28887499863,"POKE",0.39245607100814,4.865,11.4745586708204,2021-07-30 17:28:57,11.2931319116171
"11917",5580,42530,2021-07-30 19:20:00,8.39069696969697,96.2697582002914,NA,11.0546291350948,529.070933404641,"POKE",0.393233595251338,4.2792789705849,11.4819996128407,2021-07-30 17:33:57,NA
"11918",5580,42531,2021-07-30 19:25:00,8.37184848484849,96.2360595625511,NA,11.0567732048292,530.977348443499,"POKE",0.393602571047406,3.52439075287459,11.4894405548611,2021-07-30 17:38:57,NA
"11919",5581,42532,2021-07-30 19:30:00,8.353,96.2,96.5272727272727,11.06,532.891773886833,"POKE",0.3942585169595,2.52,11.4968814968815,2021-07-30 17:43:57,11.2969069512039
"11920",5582,42533,2021-07-30 19:35:00,8.347,96.2191304447733,NA,11.0627819217583,530.977348443499,"POKE",0.394076468322841,2.27531122306527,11.4981728553697,2021-07-30 17:48:57,NA
"11921",5582,42534,2021-07-30 19:40:00,8.341,96.2353284172151,NA,11.0658900163775,533.844981406262,"POKE",0.394181389802209,1.78111991096627,11.4994642138579,2021-07-30 17:53:57,NA
"11922",5583,42535,2021-07-30 19:45:00,8.335,96.2545454545455,96.6,11.07,535.759406849596,"POKE",0.39438803405855,1.05,11.500755572346,2021-07-30 17:58:57,11.308257673841
"11923",5584,42536,2021-07-30 19:50:00,8.32733333333333,96.2330127616462,NA,11.0690808267527,531.930555962928,"POKE",0.394297632985682,1.0402961042963,11.5029292173229,2021-07-30 18:03:57,NA
"11924",5584,42537,2021-07-30 19:55:00,8.31966666666667,96.213799576647,NA,11.068770656643,530.985358847975,"POKE",0.394308954689789,0.793663609725337,11.5051028622997,2021-07-30 18:08:57,NA
"11925",5585,42538,2021-07-30 20:00:00,8.312,96.2,96.5,11.07,530.02414092407,"POKE",0.394001641448465,0.42,11.5072765072765,2021-07-30 18:13:57,11.3081705303827
"11926",5586,42539,2021-07-30 20:05:00,8.29433333333333,96.0977640685404,NA,11.0626967933839,532.891773886833,"POKE",0.394624788671144,0.433129210335911,11.5123240670686,2021-07-30 18:18:57,NA
"11927",5586,42540,2021-07-30 20:10:00,8.27666666666667,96.0014632654464,NA,11.0573801449592,532.891773886833,"POKE",0.394929300948392,0.319227305517448,11.5173716268607,2021-07-30 18:23:57,NA
"11928",5587,42541,2021-07-30 20:15:00,8.259,95.9,96.2545454545455,11.05,535.751396445121,"POKE",0.395288177690703,0.14,11.5224191866528,2021-07-30 18:28:57,11.2874498480675
"11929",5588,42542,2021-07-30 20:20:00,8.24890909090909,95.8831587394873,NA,11.0512581190754,532.891773886833,"POKE",0.395488302274431,0.159679835676151,11.5249695229048,2021-07-30 18:33:57,NA
"11930",5588,42543,2021-07-30 20:25:00,8.23881818181818,95.8617174447007,NA,11.0508900210221,536.712614369026,"POKE",0.39574279132322,0.114034270653318,11.5275198591568,2021-07-30 18:38:57,NA
"11931",5589,42544,2021-07-30 20:30:00,8.22872727272727,95.8363636363636,96.1727272727273,11.05,532.899784291309,"POKE",0.395806246086887,0.035,11.5300701954088,2021-07-30 18:43:57,11.2882762728715
"11932",5590,42545,2021-07-30 20:35:00,8.23115151515151,95.8836123530509,NA,11.0535812001281,538.627039812302,"POKE",0.39642754879575,0.0576298892913975,11.5280825394166,2021-07-30 18:48:57,NA
"11933",5590,42546,2021-07-30 20:40:00,8.23357575757576,95.9260329027982,NA,11.0562620237882,537.673832292872,"POKE",0.396857817219491,0.046871072952311,11.5260948834243,2021-07-30 18:53:57,NA
"11934",5591,42547,2021-07-30 20:45:00,8.236,95.9727272727273,96.3,11.06,538.627039812302,"POKE",0.397221220084634,0.035,11.524107227432,2021-07-30 18:58:57,11.3023363687432
"11935",5592,42548,2021-07-30 20:50:00,8.23136363636364,95.9458275761469,NA,11.059351134299,539.580247331731,"POKE",0.397779880122821,0.0265156002382537,11.5270203900642,2021-07-30 19:03:57,NA
"11936",5592,42549,2021-07-30 20:55:00,8.22672727272727,95.9222899453624,NA,11.0593848382718,541.494672775065,"POKE",0.398271674602412,0.016918943863283,11.5299335526963,2021-07-30 19:08:57,NA
"11937",5593,42550,2021-07-30 21:00:00,8.22209090909091,95.9,96.2363636363636,11.06,544.362305737741,"POKE",0.399154262478557,0,11.5328467153285,2021-07-30 19:13:57,11.2975975758157
"11938",5594,42551,2021-07-30 21:05:00,8.20372727272727,95.8328563302166,NA,11.0562522015303,546.276731181075,"POKE",0.39889567670033,0.00537644591946176,11.5373976360636,2021-07-30 19:18:57,NA
"11939",5594,42552,2021-07-30 21:10:00,8.18536363636364,95.7671460469993,NA,11.0532466568132,543.409098218341,"POKE",0.399027884318657,0.00343060435061124,11.5419485567988,2021-07-30 19:23:57,NA
"11940",5595,42553,2021-07-30 21:15:00,8.167,95.7,96.0090909090909,11.05,546.268720776628,"POKE",0.399538496401587,0,11.546499477534,2021-07-30 19:28:57,11.2891810343851
