Site Name ,AZ1
Site Number ,123
Logger ,Integrating Light Sensor
Logger Serial Number ,6365


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,27/05/2022 , 14:45:00,69,69
2,27/05/2022 , 15:00:00,33,33
3,27/05/2022 , 15:15:00,6,6
4,27/05/2022 , 15:30:00,60,60
5,27/05/2022 , 15:45:00,1838,1838
6,27/05/2022 , 16:00:00,2312,2312
7,27/05/2022 , 16:15:00,2673,2673
8,27/05/2022 , 16:30:00,2091,2091
9,27/05/2022 , 16:45:00,1791,1791
10,27/05/2022 , 17:00:00,1661,1661
11,27/05/2022 , 17:15:00,1690,1690
12,27/05/2022 , 17:30:00,962,962
13,27/05/2022 , 17:45:00,3142,3142
14,27/05/2022 , 18:00:00,4236,4236
15,27/05/2022 , 18:15:00,1158,1158
16,27/05/2022 , 18:30:00,756,756
17,27/05/2022 , 18:45:00,960,960
18,27/05/2022 , 19:00:00,848,848
19,27/05/2022 , 19:15:00,747,747
20,27/05/2022 , 19:30:00,1077,1077
21,27/05/2022 , 19:45:00,647,647
22,27/05/2022 , 20:00:00,624,624
23,27/05/2022 , 20:15:00,1405,1405
24,27/05/2022 , 20:30:00,952,952
25,27/05/2022 , 20:45:00,571,571
26,27/05/2022 , 21:00:00,595,595
27,27/05/2022 , 21:15:00,405,405
28,27/05/2022 , 21:30:00,347,347
29,27/05/2022 , 21:45:00,301,301
30,27/05/2022 , 22:00:00,267,267
31,27/05/2022 , 22:15:00,238,238
32,27/05/2022 , 22:30:00,210,210
33,27/05/2022 , 22:45:00,158,158
34,27/05/2022 , 23:00:00,119,119
35,27/05/2022 , 23:15:00,88,88
36,27/05/2022 , 23:30:00,62,62
37,27/05/2022 , 23:45:00,41,41
38,27/05/2022 , 24:00:00,26,26
39,28/05/2022 , 00:15:00,17,17
40,28/05/2022 , 00:30:00,11,11
41,28/05/2022 , 00:45:00,8,8
42,28/05/2022 , 01:00:00,5,5
43,28/05/2022 , 01:15:00,4,4
44,28/05/2022 , 01:30:00,4,4
45,28/05/2022 , 01:45:00,3,3
46,28/05/2022 , 02:00:00,4,4
47,28/05/2022 , 02:15:00,4,4
48,28/05/2022 , 02:30:00,5,5
49,28/05/2022 , 02:45:00,6,6
50,28/05/2022 , 03:00:00,10,10
51,28/05/2022 , 03:15:00,14,14
52,28/05/2022 , 03:30:00,22,22
53,28/05/2022 , 03:45:00,33,33
54,28/05/2022 , 04:00:00,53,53
55,28/05/2022 , 04:15:00,83,83
56,28/05/2022 , 04:30:00,112,112
57,28/05/2022 , 04:45:00,161,161
58,28/05/2022 , 05:00:00,247,247
59,28/05/2022 , 05:15:00,349,349
60,28/05/2022 , 05:30:00,506,506
61,28/05/2022 , 05:45:00,626,626
62,28/05/2022 , 06:00:00,716,716
63,28/05/2022 , 06:15:00,920,920
64,28/05/2022 , 06:30:00,977,977
65,28/05/2022 , 06:45:00,1221,1221
66,28/05/2022 , 07:00:00,1381,1381
67,28/05/2022 , 07:15:00,4858,4858
68,28/05/2022 , 07:30:00,4776,4776
69,28/05/2022 , 07:45:00,2366,2366
70,28/05/2022 , 08:00:00,4618,4618
71,28/05/2022 , 08:15:00,5732,5732
72,28/05/2022 , 08:30:00,8660,8660
73,28/05/2022 , 08:45:00,5901,5901
74,28/05/2022 , 09:00:00,11963,11963
75,28/05/2022 , 09:15:00,7349,7349
76,28/05/2022 , 09:30:00,10169,10169
77,28/05/2022 , 09:45:00,9060,9060
78,28/05/2022 , 10:00:00,13598,13598
79,28/05/2022 , 10:15:00,3143,3143
80,28/05/2022 , 10:30:00,11032,11032
81,28/05/2022 , 10:45:00,9726,9726
82,28/05/2022 , 11:00:00,12638,12638
83,28/05/2022 , 11:15:00,4979,4979
84,28/05/2022 , 11:30:00,3449,3449
85,28/05/2022 , 11:45:00,3544,3544
86,28/05/2022 , 12:00:00,2451,2451
87,28/05/2022 , 12:15:00,4023,4023
88,28/05/2022 , 12:30:00,2649,2649
89,28/05/2022 , 12:45:00,1695,1695
90,28/05/2022 , 13:00:00,2176,2176
91,28/05/2022 , 13:15:00,2955,2955
92,28/05/2022 , 13:30:00,8291,8291
93,28/05/2022 , 13:45:00,5113,5113
94,28/05/2022 , 14:00:00,1787,1787
95,28/05/2022 , 14:15:00,2374,2374
96,28/05/2022 , 14:30:00,1771,1771
97,28/05/2022 , 14:45:00,4749,4749
98,28/05/2022 , 15:00:00,20553,20553
99,28/05/2022 , 15:15:00,25731,25731
100,28/05/2022 , 15:30:00,20661,20661
101,28/05/2022 , 15:45:00,2733,2733
102,28/05/2022 , 16:00:00,2158,2158
103,28/05/2022 , 16:15:00,2601,2601
104,28/05/2022 , 16:30:00,2178,2178
105,28/05/2022 , 16:45:00,2036,2036
106,28/05/2022 , 17:00:00,1638,1638
107,28/05/2022 , 17:15:00,1609,1609
