Site Name ,AZ3
Site Number ,123
Logger ,Integrating Light Sensor
Logger Serial Number ,6366


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,27/05/2022 , 16:45:00,22,22
2,27/05/2022 , 17:00:00,18,18
3,27/05/2022 , 17:15:00,7,7
4,27/05/2022 , 17:30:00,121,121
5,27/05/2022 , 17:45:00,4800,4800
6,27/05/2022 , 18:00:00,8201,8201
7,27/05/2022 , 18:15:00,3217,3217
8,27/05/2022 , 18:30:00,1718,1718
9,27/05/2022 , 18:45:00,2326,2326
10,27/05/2022 , 19:00:00,3302,3302
11,27/05/2022 , 19:15:00,1980,1980
12,27/05/2022 , 19:30:00,2670,2670
13,27/05/2022 , 19:45:00,1508,1508
14,27/05/2022 , 20:00:00,1500,1500
15,27/05/2022 , 20:15:00,2539,2539
16,27/05/2022 , 20:30:00,2122,2122
17,27/05/2022 , 20:45:00,2189,2189
18,27/05/2022 , 21:00:00,1485,1485
19,27/05/2022 , 21:15:00,754,754
20,27/05/2022 , 21:30:00,633,633
21,27/05/2022 , 21:45:00,531,531
22,27/05/2022 , 22:00:00,467,467
23,27/05/2022 , 22:15:00,402,402
24,27/05/2022 , 22:30:00,330,330
25,27/05/2022 , 22:45:00,237,237
26,27/05/2022 , 23:00:00,174,174
27,27/05/2022 , 23:15:00,127,127
28,27/05/2022 , 23:30:00,89,89
29,27/05/2022 , 23:45:00,58,58
30,27/05/2022 , 24:00:00,38,38
31,28/05/2022 , 00:15:00,25,25
32,28/05/2022 , 00:30:00,16,16
33,28/05/2022 , 00:45:00,10,10
34,28/05/2022 , 01:00:00,8,8
35,28/05/2022 , 01:15:00,6,6
36,28/05/2022 , 01:30:00,5,5
37,28/05/2022 , 01:45:00,4,4
38,28/05/2022 , 02:00:00,5,5
39,28/05/2022 , 02:15:00,5,5
40,28/05/2022 , 02:30:00,6,6
41,28/05/2022 , 02:45:00,8,8
42,28/05/2022 , 03:00:00,13,13
43,28/05/2022 , 03:15:00,18,18
44,28/05/2022 , 03:30:00,27,27
45,28/05/2022 , 03:45:00,40,40
46,28/05/2022 , 04:00:00,66,66
47,28/05/2022 , 04:15:00,100,100
48,28/05/2022 , 04:30:00,127,127
49,28/05/2022 , 04:45:00,188,188
50,28/05/2022 , 05:00:00,294,294
51,28/05/2022 , 05:15:00,447,447
52,28/05/2022 , 05:30:00,604,604
53,28/05/2022 , 05:45:00,675,675
54,28/05/2022 , 06:00:00,698,698
55,28/05/2022 , 06:15:00,784,784
56,28/05/2022 , 06:30:00,815,815
57,28/05/2022 , 06:45:00,897,897
58,28/05/2022 , 07:00:00,948,948
59,28/05/2022 , 07:15:00,1104,1104
60,28/05/2022 , 07:30:00,1120,1120
61,28/05/2022 , 07:45:00,2197,2197
62,28/05/2022 , 08:00:00,1383,1383
63,28/05/2022 , 08:15:00,1523,1523
64,28/05/2022 , 08:30:00,1425,1425
65,28/05/2022 , 08:45:00,2046,2046
66,28/05/2022 , 09:00:00,1939,1939
67,28/05/2022 , 09:15:00,3118,3118
68,28/05/2022 , 09:30:00,4454,4454
69,28/05/2022 , 09:45:00,2439,2439
70,28/05/2022 , 10:00:00,1845,1845
71,28/05/2022 , 10:15:00,3807,3807
72,28/05/2022 , 10:30:00,12621,12621
73,28/05/2022 , 10:45:00,5665,5665
74,28/05/2022 , 11:00:00,5284,5284
75,28/05/2022 , 11:15:00,4167,4167
76,28/05/2022 , 11:30:00,13165,13165
77,28/05/2022 , 11:45:00,13799,13799
78,28/05/2022 , 12:00:00,7196,7196
79,28/05/2022 , 12:15:00,12786,12786
80,28/05/2022 , 12:30:00,8827,8827
81,28/05/2022 , 12:45:00,8804,8804
82,28/05/2022 , 13:00:00,8901,8901
83,28/05/2022 , 13:15:00,7518,7518
84,28/05/2022 , 13:30:00,2747,2747
85,28/05/2022 , 13:45:00,14480,14480
86,28/05/2022 , 14:00:00,12183,12183
87,28/05/2022 , 14:15:00,8846,8846
88,28/05/2022 , 14:30:00,10149,10149
89,28/05/2022 , 14:45:00,8784,8784
90,28/05/2022 , 15:00:00,6925,6925
91,28/05/2022 , 15:15:00,6872,6872
92,28/05/2022 , 15:30:00,8007,8007
93,28/05/2022 , 15:45:00,10271,10271
94,28/05/2022 , 16:00:00,11336,11336
95,28/05/2022 , 16:15:00,19069,19069
96,28/05/2022 , 16:30:00,14294,14294
97,28/05/2022 , 16:45:00,14279,14279
98,28/05/2022 , 17:00:00,10799,10799
99,28/05/2022 , 17:15:00,7736,7736
100,28/05/2022 , 17:30:00,4991,4991
101,28/05/2022 , 17:45:00,6003,6003
102,28/05/2022 , 18:00:00,2965,2965
103,28/05/2022 , 18:15:00,2060,2060
104,28/05/2022 , 18:30:00,2060,2060
105,28/05/2022 , 18:45:00,2952,2952
106,28/05/2022 , 19:00:00,2553,2553
