Site Name ,FRCH,,,
Site Number ,3,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,11615,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
3050,13/07/2020 , 07:30:00,2170,2170
3051,13/07/2020 , 07:45:00,2421,2421
3052,13/07/2020 , 08:00:00,3236,3236
3053,13/07/2020 , 08:15:00,3616,3616
3054,13/07/2020 , 08:30:00,4796,4796
3055,13/07/2020 , 08:45:00,3909,3909
3056,13/07/2020 , 09:00:00,3826,3826
3057,13/07/2020 , 09:15:00,6082,6082
3058,13/07/2020 , 09:30:00,8673,8673
3059,13/07/2020 , 09:45:00,7778,7778
3060,13/07/2020 , 10:00:00,6748,6748
3061,13/07/2020 , 10:15:00,6732,6732
3062,13/07/2020 , 10:30:00,8845,8845
3063,13/07/2020 , 10:45:00,4851,4851
3064,13/07/2020 , 11:00:00,8659,8659
3065,13/07/2020 , 11:15:00,10483,10483
3066,13/07/2020 , 11:30:00,11695,11695
3067,13/07/2020 , 11:45:00,10682,10682
3068,13/07/2020 , 12:00:00,10596,10596
3069,13/07/2020 , 12:15:00,7522,7522
3070,13/07/2020 , 12:30:00,9040,9040
3071,13/07/2020 , 12:45:00,7466,7466
3072,13/07/2020 , 13:00:00,9540,9540
3073,13/07/2020 , 13:15:00,11817,11817
3074,13/07/2020 , 13:30:00,11574,11574
3075,13/07/2020 , 13:45:00,14095,14095
3076,13/07/2020 , 14:00:00,17792,17792
3077,13/07/2020 , 14:15:00,20160,20160
3078,13/07/2020 , 14:30:00,23319,23319
3079,13/07/2020 , 14:45:00,19869,19869
3080,13/07/2020 , 15:00:00,15518,15518
3081,13/07/2020 , 15:15:00,35176,35176
3082,13/07/2020 , 15:30:00,38800,38800
3083,13/07/2020 , 15:45:00,38534,38534
3084,13/07/2020 , 16:00:00,46705,46705
3085,13/07/2020 , 16:15:00,28153,28153
3086,13/07/2020 , 16:30:00,23522,23522
3087,13/07/2020 , 16:45:00,34716,34716
3088,13/07/2020 , 17:00:00,35982,35982
3089,13/07/2020 , 17:15:00,19841,19841
3090,13/07/2020 , 17:30:00,28691,28691
3091,13/07/2020 , 17:45:00,23197,23197
3092,13/07/2020 , 18:00:00,20297,20297
3093,13/07/2020 , 18:15:00,37961,37961
3094,13/07/2020 , 18:30:00,21259,21259
3095,13/07/2020 , 18:45:00,22507,22507
3096,13/07/2020 , 19:00:00,15215,15215
3097,13/07/2020 , 19:15:00,12095,12095
3098,13/07/2020 , 19:30:00,13032,13032
3099,13/07/2020 , 19:45:00,18487,18487
3100,13/07/2020 , 20:00:00,7536,7536
3101,13/07/2020 , 20:15:00,3557,3557
3102,13/07/2020 , 20:30:00,5733,5733
3103,13/07/2020 , 20:45:00,7420,7420
3104,13/07/2020 , 21:00:00,1866,1866
3105,13/07/2020 , 21:15:00,610,610
3106,13/07/2020 , 21:30:00,407,407
3107,13/07/2020 , 21:45:00,403,403
3108,13/07/2020 , 22:00:00,540,540
3109,13/07/2020 , 22:15:00,2395,2395
3110,13/07/2020 , 22:30:00,2504,2504
3111,13/07/2020 , 22:45:00,1496,1496
3112,13/07/2020 , 23:00:00,834,834
3113,13/07/2020 , 23:15:00,443,443
3114,13/07/2020 , 23:30:00,332,332
3115,13/07/2020 , 23:45:00,233,233
3116,13/07/2020 , 24:00:00,156,156
3117,14/07/2020 , 00:15:00,101,101
3118,14/07/2020 , 00:30:00,60,60
3119,14/07/2020 , 00:45:00,37,37
3120,14/07/2020 , 01:00:00,26,26
3121,14/07/2020 , 01:15:00,16,16
3122,14/07/2020 , 01:30:00,14,14
3123,14/07/2020 , 01:45:00,10,10
3124,14/07/2020 , 02:00:00,9,9
3125,14/07/2020 , 02:15:00,11,11
3126,14/07/2020 , 02:30:00,13,13
3127,14/07/2020 , 02:45:00,16,16
3128,14/07/2020 , 03:00:00,23,23
3129,14/07/2020 , 03:15:00,36,36
3130,14/07/2020 , 03:30:00,43,43
3131,14/07/2020 , 03:45:00,57,57
3132,14/07/2020 , 04:00:00,79,79
3133,14/07/2020 , 04:15:00,179,179
3134,14/07/2020 , 04:30:00,337,337
3135,14/07/2020 , 04:45:00,618,618
3136,14/07/2020 , 05:00:00,683,683
3137,14/07/2020 , 05:15:00,1033,1033
3138,14/07/2020 , 05:30:00,1154,1154
3139,14/07/2020 , 05:45:00,1498,1498
3140,14/07/2020 , 06:00:00,1383,1383
3141,14/07/2020 , 06:15:00,1736,1736
3142,14/07/2020 , 06:30:00,2013,2013
3143,14/07/2020 , 06:45:00,2773,2773
3144,14/07/2020 , 07:00:00,4676,4676
3145,14/07/2020 , 07:15:00,4966,4966
3146,14/07/2020 , 07:30:00,5337,5337
3147,14/07/2020 , 07:45:00,5233,5233
3148,14/07/2020 , 08:00:00,3932,3932
3149,14/07/2020 , 08:15:00,4369,4369
3150,14/07/2020 , 08:30:00,10512,10512
3151,14/07/2020 , 08:45:00,9858,9858
3152,14/07/2020 , 09:00:00,5164,5164
3153,14/07/2020 , 09:15:00,6684,6684
3154,14/07/2020 , 09:30:00,8828,8828
3155,14/07/2020 , 09:45:00,10717,10717
3156,14/07/2020 , 10:00:00,12029,12029
3157,14/07/2020 , 10:15:00,8665,8665
3158,14/07/2020 , 10:30:00,10371,10371
3159,14/07/2020 , 10:45:00,10264,10264
3160,14/07/2020 , 11:00:00,24036,24036
3161,14/07/2020 , 11:15:00,17427,17427
3162,14/07/2020 , 11:30:00,16102,16102
3163,14/07/2020 , 11:45:00,14455,14455
3164,14/07/2020 , 12:00:00,11617,11617
3165,14/07/2020 , 12:15:00,16163,16163
3166,14/07/2020 , 12:30:00,7772,7772
3167,14/07/2020 , 12:45:00,6376,6376
3168,14/07/2020 , 13:00:00,18076,18076
3169,14/07/2020 , 13:15:00,38535,38535
3170,14/07/2020 , 13:30:00,23132,23132
3171,14/07/2020 , 13:45:00,29421,29421
3172,14/07/2020 , 14:00:00,22425,22425
3173,14/07/2020 , 14:15:00,12782,12782
3174,14/07/2020 , 14:30:00,9127,9127
3175,14/07/2020 , 14:45:00,21702,21702
3176,14/07/2020 , 15:00:00,21386,21386
3177,14/07/2020 , 15:15:00,12135,12135
3178,14/07/2020 , 15:30:00,26599,26599
3179,14/07/2020 , 15:45:00,49147,49147
3180,14/07/2020 , 16:00:00,45054,45054
3181,14/07/2020 , 16:15:00,26875,26875
3182,14/07/2020 , 16:30:00,5016,5016
3183,14/07/2020 , 16:45:00,5876,5876
3184,14/07/2020 , 17:00:00,11799,11799
3185,14/07/2020 , 17:15:00,17305,17305
3186,14/07/2020 , 17:30:00,19481,19481
3187,14/07/2020 , 17:45:00,27878,27878
3188,14/07/2020 , 18:00:00,27377,27377
3189,14/07/2020 , 18:15:00,18551,18551
3190,14/07/2020 , 18:30:00,14980,14980
3191,14/07/2020 , 18:45:00,26562,26562
3192,14/07/2020 , 19:00:00,17187,17187
3193,14/07/2020 , 19:15:00,24780,24780
3194,14/07/2020 , 19:30:00,25199,25199
3195,14/07/2020 , 19:45:00,14983,14983
3196,14/07/2020 , 20:00:00,7878,7878
3197,14/07/2020 , 20:15:00,6826,6826
3198,14/07/2020 , 20:30:00,10712,10712
3199,14/07/2020 , 20:45:00,6326,6326
3200,14/07/2020 , 21:00:00,3200,3200
3201,14/07/2020 , 21:15:00,2968,2968
3202,14/07/2020 , 21:30:00,2774,2774
3203,14/07/2020 , 21:45:00,2380,2380
3204,14/07/2020 , 22:00:00,1947,1947
3205,14/07/2020 , 22:15:00,1415,1415
3206,14/07/2020 , 22:30:00,1160,1160
3207,14/07/2020 , 22:45:00,974,974
3208,14/07/2020 , 23:00:00,907,907
3209,14/07/2020 , 23:15:00,745,745
3210,14/07/2020 , 23:30:00,513,513
3211,14/07/2020 , 23:45:00,315,315
3212,14/07/2020 , 24:00:00,211,211
3213,15/07/2020 , 00:15:00,134,134
3214,15/07/2020 , 00:30:00,82,82
3215,15/07/2020 , 00:45:00,51,51
3216,15/07/2020 , 01:00:00,32,32
3217,15/07/2020 , 01:15:00,23,23
3218,15/07/2020 , 01:30:00,18,18
3219,15/07/2020 , 01:45:00,15,15
3220,15/07/2020 , 02:00:00,14,14
3221,15/07/2020 , 02:15:00,15,15
3222,15/07/2020 , 02:30:00,18,18
3223,15/07/2020 , 02:45:00,24,24
3224,15/07/2020 , 03:00:00,36,36
3225,15/07/2020 , 03:15:00,55,55
3226,15/07/2020 , 03:30:00,87,87
3227,15/07/2020 , 03:45:00,139,139
3228,15/07/2020 , 04:00:00,213,213
3229,15/07/2020 , 04:15:00,326,326
3230,15/07/2020 , 04:30:00,473,473
3231,15/07/2020 , 04:45:00,654,654
3232,15/07/2020 , 05:00:00,864,864
3233,15/07/2020 , 05:15:00,1074,1074
3234,15/07/2020 , 05:30:00,1289,1289
3235,15/07/2020 , 05:45:00,1461,1461
3236,15/07/2020 , 06:00:00,1755,1755
3237,15/07/2020 , 06:15:00,2479,2479
3238,15/07/2020 , 06:30:00,3196,3196
3239,15/07/2020 , 06:45:00,3773,3773
3240,15/07/2020 , 07:00:00,2710,2710
3241,15/07/2020 , 07:15:00,2642,2642
3242,15/07/2020 , 07:30:00,2736,2736
3243,15/07/2020 , 07:45:00,2839,2839
3244,15/07/2020 , 08:00:00,3086,3086
3245,15/07/2020 , 08:15:00,3415,3415
3246,15/07/2020 , 08:30:00,4996,4996
3247,15/07/2020 , 08:45:00,5800,5800
3248,15/07/2020 , 09:00:00,6909,6909
3249,15/07/2020 , 09:15:00,8957,8957
3250,15/07/2020 , 09:30:00,13548,13548
3251,15/07/2020 , 09:45:00,16108,16108
3252,15/07/2020 , 10:00:00,16651,16651
3253,15/07/2020 , 10:15:00,16728,16728
3254,15/07/2020 , 10:30:00,12674,12674
3255,15/07/2020 , 10:45:00,9772,9772
3256,15/07/2020 , 11:00:00,32198,32198
3257,15/07/2020 , 11:15:00,14366,14366
3258,15/07/2020 , 11:30:00,17595,17595
3259,15/07/2020 , 11:45:00,39332,39332
3260,15/07/2020 , 12:00:00,31914,31914
3261,15/07/2020 , 12:15:00,18832,18832
3262,15/07/2020 , 12:30:00,8399,8399
3263,15/07/2020 , 12:45:00,8257,8257
3264,15/07/2020 , 13:00:00,18740,18740
3265,15/07/2020 , 13:15:00,40883,40883
3266,15/07/2020 , 13:30:00,37395,37395
3267,15/07/2020 , 13:45:00,32933,32933
3268,15/07/2020 , 14:00:00,21572,21572
3269,15/07/2020 , 14:15:00,22495,22495
3270,15/07/2020 , 14:30:00,30827,30827
3271,15/07/2020 , 14:45:00,17025,17025
3272,15/07/2020 , 15:00:00,15465,15465
3273,15/07/2020 , 15:15:00,32382,32382
3274,15/07/2020 , 15:30:00,33221,33221
3275,15/07/2020 , 15:45:00,40856,40856
3276,15/07/2020 , 16:00:00,26159,26159
3277,15/07/2020 , 16:15:00,21167,21167
3278,15/07/2020 , 16:30:00,27625,27625
3279,15/07/2020 , 16:45:00,9507,9507
3280,15/07/2020 , 17:00:00,14724,14724
3281,15/07/2020 , 17:15:00,19209,19209
3282,15/07/2020 , 17:30:00,10090,10090
3283,15/07/2020 , 17:45:00,8757,8757
3284,15/07/2020 , 18:00:00,3879,3879
3285,15/07/2020 , 18:15:00,2465,2465
3286,15/07/2020 , 18:30:00,1811,1811
3287,15/07/2020 , 18:45:00,3052,3052
3288,15/07/2020 , 19:00:00,3998,3998
3289,15/07/2020 , 19:15:00,5114,5114
3290,15/07/2020 , 19:30:00,5196,5196
3291,15/07/2020 , 19:45:00,3711,3711
3292,15/07/2020 , 20:00:00,3775,3775
3293,15/07/2020 , 20:15:00,4264,4264
3294,15/07/2020 , 20:30:00,3565,3565
3295,15/07/2020 , 20:45:00,3465,3465
3296,15/07/2020 , 21:00:00,3385,3385
3297,15/07/2020 , 21:15:00,3325,3325
3298,15/07/2020 , 21:30:00,2789,2789
3299,15/07/2020 , 21:45:00,1851,1851
3300,15/07/2020 , 22:00:00,1242,1242
3301,15/07/2020 , 22:15:00,885,885
3302,15/07/2020 , 22:30:00,454,454
3303,15/07/2020 , 22:45:00,408,408
3304,15/07/2020 , 23:00:00,350,350
3305,15/07/2020 , 23:15:00,226,226
3306,15/07/2020 , 23:30:00,142,142
3307,15/07/2020 , 23:45:00,101,101
3308,15/07/2020 , 24:00:00,59,59
3309,16/07/2020 , 00:15:00,24,24
3310,16/07/2020 , 00:30:00,19,19
3311,16/07/2020 , 00:45:00,15,15
3312,16/07/2020 , 01:00:00,15,15
3313,16/07/2020 , 01:15:00,11,11
3314,16/07/2020 , 01:30:00,7,7
3315,16/07/2020 , 01:45:00,8,8
3316,16/07/2020 , 02:00:00,7,7
3317,16/07/2020 , 02:15:00,6,6
3318,16/07/2020 , 02:30:00,8,8
3319,16/07/2020 , 02:45:00,11,11
3320,16/07/2020 , 03:00:00,14,14
3321,16/07/2020 , 03:15:00,18,18
3322,16/07/2020 , 03:30:00,26,26
3323,16/07/2020 , 03:45:00,38,38
3324,16/07/2020 , 04:00:00,60,60
3325,16/07/2020 , 04:15:00,93,93
3326,16/07/2020 , 04:30:00,192,192
3327,16/07/2020 , 04:45:00,413,413
3328,16/07/2020 , 05:00:00,596,596
3329,16/07/2020 , 05:15:00,399,399
3330,16/07/2020 , 05:30:00,400,400
3331,16/07/2020 , 05:45:00,841,841
3332,16/07/2020 , 06:00:00,1206,1206
3333,16/07/2020 , 06:15:00,1396,1396
3334,16/07/2020 , 06:30:00,1769,1769
3335,16/07/2020 , 06:45:00,2335,2335
3336,16/07/2020 , 07:00:00,3011,3011
3337,16/07/2020 , 07:15:00,2245,2245
3338,16/07/2020 , 07:30:00,2276,2276
3339,16/07/2020 , 07:45:00,2715,2715
3340,16/07/2020 , 08:00:00,3980,3980
3341,16/07/2020 , 08:15:00,4040,4040
3342,16/07/2020 , 08:30:00,2864,2864
3343,16/07/2020 , 08:45:00,1649,1649
3344,16/07/2020 , 09:00:00,2037,2037
3345,16/07/2020 , 09:15:00,2184,2184
3346,16/07/2020 , 09:30:00,3502,3502
3347,16/07/2020 , 09:45:00,3864,3864
3348,16/07/2020 , 10:00:00,3664,3664
3349,16/07/2020 , 10:15:00,4789,4789
3350,16/07/2020 , 10:30:00,5683,5683
3351,16/07/2020 , 10:45:00,10802,10802
3352,16/07/2020 , 11:00:00,11506,11506
3353,16/07/2020 , 11:15:00,10294,10294
3354,16/07/2020 , 11:30:00,9835,9835
3355,16/07/2020 , 11:45:00,13200,13200
3356,16/07/2020 , 12:00:00,18190,18190
3357,16/07/2020 , 12:15:00,18153,18153
3358,16/07/2020 , 12:30:00,12894,12894
3359,16/07/2020 , 12:45:00,18029,18029
3360,16/07/2020 , 13:00:00,16270,16270
3361,16/07/2020 , 13:15:00,15985,15985
3362,16/07/2020 , 13:30:00,29109,29109
3363,16/07/2020 , 13:45:00,20016,20016
3364,16/07/2020 , 14:00:00,8231,8231
3365,16/07/2020 , 14:15:00,14516,14516
3366,16/07/2020 , 14:30:00,40173,40173
3367,16/07/2020 , 14:45:00,16797,16797
3368,16/07/2020 , 15:00:00,37130,37130
3369,16/07/2020 , 15:15:00,8031,8031
3370,16/07/2020 , 15:30:00,43045,43045
3371,16/07/2020 , 15:45:00,11967,11967
3372,16/07/2020 , 16:00:00,29136,29136
3373,16/07/2020 , 16:15:00,16568,16568
3374,16/07/2020 , 16:30:00,14777,14777
3375,16/07/2020 , 16:45:00,10495,10495
3376,16/07/2020 , 17:00:00,23488,23488
3377,16/07/2020 , 17:15:00,34360,34360
3378,16/07/2020 , 17:30:00,35868,35868
3379,16/07/2020 , 17:45:00,28013,28013
3380,16/07/2020 , 18:00:00,40954,40954
3381,16/07/2020 , 18:15:00,39865,39865
3382,16/07/2020 , 18:30:00,16941,16941
3383,16/07/2020 , 18:45:00,17306,17306
3384,16/07/2020 , 19:00:00,8896,8896
3385,16/07/2020 , 19:15:00,11816,11816
3386,16/07/2020 , 19:30:00,11141,11141
3387,16/07/2020 , 19:45:00,5085,5085
3388,16/07/2020 , 20:00:00,3535,3535
3389,16/07/2020 , 20:15:00,6526,6526
3390,16/07/2020 , 20:30:00,7509,7509
3391,16/07/2020 , 20:45:00,7235,7235
3392,16/07/2020 , 21:00:00,4838,4838
3393,16/07/2020 , 21:15:00,4194,4194
3394,16/07/2020 , 21:30:00,3818,3818
3395,16/07/2020 , 21:45:00,3167,3167
3396,16/07/2020 , 22:00:00,2297,2297
3397,16/07/2020 , 22:15:00,1622,1622
3398,16/07/2020 , 22:30:00,1239,1239
3399,16/07/2020 , 22:45:00,1087,1087
3400,16/07/2020 , 23:00:00,865,865
3401,16/07/2020 , 23:15:00,570,570
3402,16/07/2020 , 23:30:00,356,356
3403,16/07/2020 , 23:45:00,201,201
3404,16/07/2020 , 24:00:00,107,107
3405,17/07/2020 , 00:15:00,65,65
3406,17/07/2020 , 00:30:00,42,42
3407,17/07/2020 , 00:45:00,26,26
3408,17/07/2020 , 01:00:00,16,16
3409,17/07/2020 , 01:15:00,9,9
3410,17/07/2020 , 01:30:00,6,6
3411,17/07/2020 , 01:45:00,2,2
3412,17/07/2020 , 02:00:00,2,2
3413,17/07/2020 , 02:15:00,2,2
3414,17/07/2020 , 02:30:00,2,2
3415,17/07/2020 , 02:45:00,1,1
3416,17/07/2020 , 03:00:00,6,6
3417,17/07/2020 , 03:15:00,7,7
3418,17/07/2020 , 03:30:00,13,13
3419,17/07/2020 , 03:45:00,22,22
3420,17/07/2020 , 04:00:00,21,21
3421,17/07/2020 , 04:15:00,17,17
3422,17/07/2020 , 04:30:00,50,50
3423,17/07/2020 , 04:45:00,199,199
3424,17/07/2020 , 05:00:00,391,391
3425,17/07/2020 , 05:15:00,588,588
3426,17/07/2020 , 05:30:00,848,848
3427,17/07/2020 , 05:45:00,953,953
3428,17/07/2020 , 06:00:00,531,531
3429,17/07/2020 , 06:15:00,546,546
3430,17/07/2020 , 06:30:00,868,868
3431,17/07/2020 , 06:45:00,1119,1119
3432,17/07/2020 , 07:00:00,1744,1744
3433,17/07/2020 , 07:15:00,2735,2735
3434,17/07/2020 , 07:30:00,4833,4833
3435,17/07/2020 , 07:45:00,7391,7391
3436,17/07/2020 , 08:00:00,4356,4356
3437,17/07/2020 , 08:15:00,3447,3447
3438,17/07/2020 , 08:30:00,4610,4610
3439,17/07/2020 , 08:45:00,6601,6601
3440,17/07/2020 , 09:00:00,4170,4170
3441,17/07/2020 , 09:15:00,3959,3959
3442,17/07/2020 , 09:30:00,4164,4164
3443,17/07/2020 , 09:45:00,7740,7740
3444,17/07/2020 , 10:00:00,12634,12634
3445,17/07/2020 , 10:15:00,12805,12805
3446,17/07/2020 , 10:30:00,9867,9867
3447,17/07/2020 , 10:45:00,10813,10813
3448,17/07/2020 , 11:00:00,12312,12312
3449,17/07/2020 , 11:15:00,14842,14842
3450,17/07/2020 , 11:30:00,15457,15457
3451,17/07/2020 , 11:45:00,14770,14770
3452,17/07/2020 , 12:00:00,14839,14839
3453,17/07/2020 , 12:15:00,25898,25898
3454,17/07/2020 , 12:30:00,10797,10797
3455,17/07/2020 , 12:45:00,10759,10759
3456,17/07/2020 , 13:00:00,8299,8299
3457,17/07/2020 , 13:15:00,5512,5512
3458,17/07/2020 , 13:30:00,5230,5230
3459,17/07/2020 , 13:45:00,15930,15930
3460,17/07/2020 , 14:00:00,27701,27701
3461,17/07/2020 , 14:15:00,12963,12963
3462,17/07/2020 , 14:30:00,37335,37335
3463,17/07/2020 , 14:45:00,16133,16133
3464,17/07/2020 , 15:00:00,52323,52323
3465,17/07/2020 , 15:15:00,41154,41154
3466,17/07/2020 , 15:30:00,23186,23186
3467,17/07/2020 , 15:45:00,20758,20758
3468,17/07/2020 , 16:00:00,23413,23413
3469,17/07/2020 , 16:15:00,13438,13438
3470,17/07/2020 , 16:30:00,16659,16659
3471,17/07/2020 , 16:45:00,29109,29109
3472,17/07/2020 , 17:00:00,19616,19616
3473,17/07/2020 , 17:15:00,23789,23789
3474,17/07/2020 , 17:30:00,21944,21944
3475,17/07/2020 , 17:45:00,6854,6854
3476,17/07/2020 , 18:00:00,2405,2405
3477,17/07/2020 , 18:15:00,5175,5175
3478,17/07/2020 , 18:30:00,11118,11118
3479,17/07/2020 , 18:45:00,8647,8647
3480,17/07/2020 , 19:00:00,9118,9118
3481,17/07/2020 , 19:15:00,11024,11024
3482,17/07/2020 , 19:30:00,8137,8137
3483,17/07/2020 , 19:45:00,5293,5293
3484,17/07/2020 , 20:00:00,5822,5822
3485,17/07/2020 , 20:15:00,5652,5652
3486,17/07/2020 , 20:30:00,5413,5413
3487,17/07/2020 , 20:45:00,4510,4510
3488,17/07/2020 , 21:00:00,2984,2984
3489,17/07/2020 , 21:15:00,2344,2344
3490,17/07/2020 , 21:30:00,1809,1809
3491,17/07/2020 , 21:45:00,1225,1225
3492,17/07/2020 , 22:00:00,846,846
3493,17/07/2020 , 22:15:00,730,730
3494,17/07/2020 , 22:30:00,666,666
3495,17/07/2020 , 22:45:00,538,538
3496,17/07/2020 , 23:00:00,452,452
3497,17/07/2020 , 23:15:00,301,301
3498,17/07/2020 , 23:30:00,192,192
3499,17/07/2020 , 23:45:00,111,111
3500,17/07/2020 , 24:00:00,72,72
3501,18/07/2020 , 00:15:00,48,48
3502,18/07/2020 , 00:30:00,29,29
3503,18/07/2020 , 00:45:00,20,20
3504,18/07/2020 , 01:00:00,12,12
3505,18/07/2020 , 01:15:00,7,7
3506,18/07/2020 , 01:30:00,4,4
3507,18/07/2020 , 01:45:00,2,2
3508,18/07/2020 , 02:00:00,2,2
3509,18/07/2020 , 02:15:00,2,2
3510,18/07/2020 , 02:30:00,4,4
3511,18/07/2020 , 02:45:00,5,5
3512,18/07/2020 , 03:00:00,8,8
3513,18/07/2020 , 03:15:00,11,11
3514,18/07/2020 , 03:30:00,27,27
3515,18/07/2020 , 03:45:00,44,44
3516,18/07/2020 , 04:00:00,75,75
3517,18/07/2020 , 04:15:00,116,116
3518,18/07/2020 , 04:30:00,115,115
3519,18/07/2020 , 04:45:00,212,212
3520,18/07/2020 , 05:00:00,461,461
3521,18/07/2020 , 05:15:00,477,477
3522,18/07/2020 , 05:30:00,318,318
3523,18/07/2020 , 05:45:00,363,363
3524,18/07/2020 , 06:00:00,667,667
3525,18/07/2020 , 06:15:00,1329,1329
3526,18/07/2020 , 06:30:00,988,988
3527,18/07/2020 , 06:45:00,1345,1345
3528,18/07/2020 , 07:00:00,2006,2006
3529,18/07/2020 , 07:15:00,2282,2282
3530,18/07/2020 , 07:30:00,1745,1745
3531,18/07/2020 , 07:45:00,2004,2004
3532,18/07/2020 , 08:00:00,2357,2357
3533,18/07/2020 , 08:15:00,3166,3166
3534,18/07/2020 , 08:30:00,4659,4659
3535,18/07/2020 , 08:45:00,7287,7287
3536,18/07/2020 , 09:00:00,9410,9410
3537,18/07/2020 , 09:15:00,9887,9887
3538,18/07/2020 , 09:30:00,7004,7004
3539,18/07/2020 , 09:45:00,5948,5948
3540,18/07/2020 , 10:00:00,5150,5150
3541,18/07/2020 , 10:15:00,6762,6762
3542,18/07/2020 , 10:30:00,9520,9520
3543,18/07/2020 , 10:45:00,9635,9635
3544,18/07/2020 , 11:00:00,11359,11359
3545,18/07/2020 , 11:15:00,15126,15126
3546,18/07/2020 , 11:30:00,11133,11133
3547,18/07/2020 , 11:45:00,13759,13759
3548,18/07/2020 , 12:00:00,19344,19344
3549,18/07/2020 , 12:15:00,24921,24921
3550,18/07/2020 , 12:30:00,10728,10728
3551,18/07/2020 , 12:45:00,12348,12348
3552,18/07/2020 , 13:00:00,25259,25259
3553,18/07/2020 , 13:15:00,13904,13904
3554,18/07/2020 , 13:30:00,12367,12367
3555,18/07/2020 , 13:45:00,31296,31296
3556,18/07/2020 , 14:00:00,35023,35023
3557,18/07/2020 , 14:15:00,17680,17680
3558,18/07/2020 , 14:30:00,46420,46420
3559,18/07/2020 , 14:45:00,24916,24916
3560,18/07/2020 , 15:00:00,47181,47181
3561,18/07/2020 , 15:15:00,17864,17864
3562,18/07/2020 , 15:30:00,4953,4953
3563,18/07/2020 , 15:45:00,14419,14419
3564,18/07/2020 , 16:00:00,34684,34684
3565,18/07/2020 , 16:15:00,21784,21784
3566,18/07/2020 , 16:30:00,15360,15360
3567,18/07/2020 , 16:45:00,19528,19528
3568,18/07/2020 , 17:00:00,23293,23293
3569,18/07/2020 , 17:15:00,31314,31314
3570,18/07/2020 , 17:30:00,22662,22662
3571,18/07/2020 , 17:45:00,31077,31077
3572,18/07/2020 , 18:00:00,26934,26934
3573,18/07/2020 , 18:15:00,12351,12351
3574,18/07/2020 , 18:30:00,7741,7741
3575,18/07/2020 , 18:45:00,9738,9738
3576,18/07/2020 , 19:00:00,11570,11570
3577,18/07/2020 , 19:15:00,7348,7348
3578,18/07/2020 , 19:30:00,6947,6947
3579,18/07/2020 , 19:45:00,7910,7910
3580,18/07/2020 , 20:00:00,5235,5235
3581,18/07/2020 , 20:15:00,7764,7764
3582,18/07/2020 , 20:30:00,9254,9254
3583,18/07/2020 , 20:45:00,5563,5563
3584,18/07/2020 , 21:00:00,4218,4218
3585,18/07/2020 , 21:15:00,3124,3124
3586,18/07/2020 , 21:30:00,3100,3100
3587,18/07/2020 , 21:45:00,1742,1742
3588,18/07/2020 , 22:00:00,465,465
3589,18/07/2020 , 22:15:00,830,830
3590,18/07/2020 , 22:30:00,2392,2392
3591,18/07/2020 , 22:45:00,1490,1490
3592,18/07/2020 , 23:00:00,639,639
3593,18/07/2020 , 23:15:00,462,462
3594,18/07/2020 , 23:30:00,258,258
3595,18/07/2020 , 23:45:00,156,156
3596,18/07/2020 , 24:00:00,99,99
3597,19/07/2020 , 00:15:00,51,51
3598,19/07/2020 , 00:30:00,21,21
3599,19/07/2020 , 00:45:00,5,5
3600,19/07/2020 , 01:00:00,7,7
3601,19/07/2020 , 01:15:00,5,5
3602,19/07/2020 , 01:30:00,4,4
3603,19/07/2020 , 01:45:00,3,3
3604,19/07/2020 , 02:00:00,3,3
3605,19/07/2020 , 02:15:00,3,3
3606,19/07/2020 , 02:30:00,4,4
3607,19/07/2020 , 02:45:00,5,5
3608,19/07/2020 , 03:00:00,8,8
3609,19/07/2020 , 03:15:00,15,15
3610,19/07/2020 , 03:30:00,27,27
3611,19/07/2020 , 03:45:00,44,44
3612,19/07/2020 , 04:00:00,47,47
3613,19/07/2020 , 04:15:00,95,95
3614,19/07/2020 , 04:30:00,164,164
3615,19/07/2020 , 04:45:00,252,252
3616,19/07/2020 , 05:00:00,332,332
3617,19/07/2020 , 05:15:00,270,270
3618,19/07/2020 , 05:30:00,425,425
3619,19/07/2020 , 05:45:00,870,870
3620,19/07/2020 , 06:00:00,992,992
3621,19/07/2020 , 06:15:00,1235,1235
3622,19/07/2020 , 06:30:00,1432,1432
3623,19/07/2020 , 06:45:00,1400,1400
3624,19/07/2020 , 07:00:00,2424,2424
3625,19/07/2020 , 07:15:00,3573,3573
3626,19/07/2020 , 07:30:00,4028,4028
3627,19/07/2020 , 07:45:00,5523,5523
3628,19/07/2020 , 08:00:00,4761,4761
3629,19/07/2020 , 08:15:00,4743,4743
3630,19/07/2020 , 08:30:00,3895,3895
3631,19/07/2020 , 08:45:00,6176,6176
3632,19/07/2020 , 09:00:00,9472,9472
3633,19/07/2020 , 09:15:00,9125,9125
3634,19/07/2020 , 09:30:00,8130,8130
3635,19/07/2020 , 09:45:00,9432,9432
3636,19/07/2020 , 10:00:00,16348,16348
3637,19/07/2020 , 10:15:00,16262,16262
3638,19/07/2020 , 10:30:00,12685,12685
3639,19/07/2020 , 10:45:00,9159,9159
3640,19/07/2020 , 11:00:00,21980,21980
3641,19/07/2020 , 11:15:00,15332,15332
3642,19/07/2020 , 11:30:00,16644,16644
