Site Name ,FRCH,,,
Site Number ,3,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,11615,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
143,13/06/2020 , 00:45:00,293,293
144,13/06/2020 , 01:00:00,245,245
145,13/06/2020 , 01:15:00,173,173
146,13/06/2020 , 01:30:00,117,117
147,13/06/2020 , 01:45:00,81,81
148,13/06/2020 , 02:00:00,78,78
149,13/06/2020 , 02:15:00,90,90
150,13/06/2020 , 02:30:00,99,99
151,13/06/2020 , 02:45:00,122,122
152,13/06/2020 , 03:00:00,161,161
153,13/06/2020 , 03:15:00,221,221
154,13/06/2020 , 03:30:00,316,316
155,13/06/2020 , 03:45:00,470,470
156,13/06/2020 , 04:00:00,698,698
157,13/06/2020 , 04:15:00,898,898
158,13/06/2020 , 04:30:00,1202,1202
159,13/06/2020 , 04:45:00,1434,1434
160,13/06/2020 , 05:00:00,1563,1563
161,13/06/2020 , 05:15:00,2040,2040
162,13/06/2020 , 05:30:00,3194,3194
163,13/06/2020 , 05:45:00,4433,4433
164,13/06/2020 , 06:00:00,4742,4742
165,13/06/2020 , 06:15:00,6243,6243
166,13/06/2020 , 06:30:00,7576,7576
167,13/06/2020 , 06:45:00,6037,6037
168,13/06/2020 , 07:00:00,4407,4407
169,13/06/2020 , 07:15:00,3484,3484
170,13/06/2020 , 07:30:00,3054,3054
171,13/06/2020 , 07:45:00,3198,3198
172,13/06/2020 , 08:00:00,3391,3391
173,13/06/2020 , 08:15:00,3654,3654
174,13/06/2020 , 08:30:00,5565,5565
175,13/06/2020 , 08:45:00,10413,10413
176,13/06/2020 , 09:00:00,11233,11233
177,13/06/2020 , 09:15:00,11957,11957
178,13/06/2020 , 09:30:00,15451,15451
179,13/06/2020 , 09:45:00,13151,13151
180,13/06/2020 , 10:00:00,14608,14608
181,13/06/2020 , 10:15:00,15256,15256
182,13/06/2020 , 10:30:00,12511,12511
183,13/06/2020 , 10:45:00,15547,15547
184,13/06/2020 , 11:00:00,30266,30266
185,13/06/2020 , 11:15:00,16143,16143
186,13/06/2020 , 11:30:00,15447,15447
187,13/06/2020 , 11:45:00,13974,13974
188,13/06/2020 , 12:00:00,16282,16282
189,13/06/2020 , 12:15:00,17650,17650
190,13/06/2020 , 12:30:00,15653,15653
191,13/06/2020 , 12:45:00,15910,15910
192,13/06/2020 , 13:00:00,43570,43570
193,13/06/2020 , 13:15:00,47486,47486
194,13/06/2020 , 13:30:00,40460,40460
195,13/06/2020 , 13:45:00,49684,49684
196,13/06/2020 , 14:00:00,25430,25430
197,13/06/2020 , 14:15:00,41236,41236
198,13/06/2020 , 14:30:00,46920,46920
199,13/06/2020 , 14:45:00,41266,41266
200,13/06/2020 , 15:00:00,47078,47078
201,13/06/2020 , 15:15:00,46426,46426
202,13/06/2020 , 15:30:00,46936,46936
203,13/06/2020 , 15:45:00,49677,49677
204,13/06/2020 , 16:00:00,52301,52301
205,13/06/2020 , 16:15:00,22259,22259
206,13/06/2020 , 16:30:00,1902,1902
207,13/06/2020 , 16:45:00,388,388
208,13/06/2020 , 17:00:00,373,373
209,13/06/2020 , 17:15:00,862,862
210,13/06/2020 , 17:30:00,2181,2181
211,13/06/2020 , 17:45:00,4068,4068
212,13/06/2020 , 18:00:00,6191,6191
213,13/06/2020 , 18:15:00,12612,12612
214,13/06/2020 , 18:30:00,18572,18572
215,13/06/2020 , 18:45:00,20730,20730
216,13/06/2020 , 19:00:00,21352,21352
217,13/06/2020 , 19:15:00,12852,12852
218,13/06/2020 , 19:30:00,15947,15947
219,13/06/2020 , 19:45:00,12451,12451
220,13/06/2020 , 20:00:00,8865,8865
221,13/06/2020 , 20:15:00,14787,14787
222,13/06/2020 , 20:30:00,11409,11409
223,13/06/2020 , 20:45:00,8945,8945
224,13/06/2020 , 21:00:00,6436,6436
225,13/06/2020 , 21:15:00,4048,4048
226,13/06/2020 , 21:30:00,3268,3268
227,13/06/2020 , 21:45:00,2505,2505
228,13/06/2020 , 22:00:00,1880,1880
229,13/06/2020 , 22:15:00,2004,2004
230,13/06/2020 , 22:30:00,1758,1758
231,13/06/2020 , 22:45:00,1468,1468
232,13/06/2020 , 23:00:00,1236,1236
233,13/06/2020 , 23:15:00,983,983
234,13/06/2020 , 23:30:00,790,790
235,13/06/2020 , 23:45:00,584,584
236,13/06/2020 , 24:00:00,396,396
237,14/06/2020 , 00:15:00,262,262
238,14/06/2020 , 00:30:00,167,167
239,14/06/2020 , 00:45:00,121,121
240,14/06/2020 , 01:00:00,98,98
241,14/06/2020 , 01:15:00,76,76
242,14/06/2020 , 01:30:00,56,56
243,14/06/2020 , 01:45:00,59,59
244,14/06/2020 , 02:00:00,65,65
245,14/06/2020 , 02:15:00,71,71
246,14/06/2020 , 02:30:00,87,87
247,14/06/2020 , 02:45:00,111,111
248,14/06/2020 , 03:00:00,142,142
249,14/06/2020 , 03:15:00,187,187
250,14/06/2020 , 03:30:00,209,209
251,14/06/2020 , 03:45:00,275,275
252,14/06/2020 , 04:00:00,462,462
253,14/06/2020 , 04:15:00,675,675
254,14/06/2020 , 04:30:00,946,946
255,14/06/2020 , 04:45:00,1383,1383
256,14/06/2020 , 05:00:00,1899,1899
257,14/06/2020 , 05:15:00,2239,2239
258,14/06/2020 , 05:30:00,2320,2320
259,14/06/2020 , 05:45:00,2317,2317
260,14/06/2020 , 06:00:00,3141,3141
261,14/06/2020 , 06:15:00,5336,5336
262,14/06/2020 , 06:30:00,3831,3831
263,14/06/2020 , 06:45:00,3553,3553
264,14/06/2020 , 07:00:00,3716,3716
265,14/06/2020 , 07:15:00,4983,4983
266,14/06/2020 , 07:30:00,7092,7092
267,14/06/2020 , 07:45:00,7416,7416
268,14/06/2020 , 08:00:00,8105,8105
269,14/06/2020 , 08:15:00,13250,13250
270,14/06/2020 , 08:30:00,14149,14149
271,14/06/2020 , 08:45:00,9817,9817
272,14/06/2020 , 09:00:00,7252,7252
273,14/06/2020 , 09:15:00,4424,4424
274,14/06/2020 , 09:30:00,2042,2042
275,14/06/2020 , 09:45:00,1513,1513
276,14/06/2020 , 10:00:00,1384,1384
277,14/06/2020 , 10:15:00,847,847
278,14/06/2020 , 10:30:00,702,702
279,14/06/2020 , 10:45:00,967,967
280,14/06/2020 , 11:00:00,1151,1151
281,14/06/2020 , 11:15:00,1394,1394
282,14/06/2020 , 11:30:00,1975,1975
283,14/06/2020 , 11:45:00,2347,2347
284,14/06/2020 , 12:00:00,2394,2394
285,14/06/2020 , 12:15:00,2982,2982
286,14/06/2020 , 12:30:00,4673,4673
287,14/06/2020 , 12:45:00,7135,7135
288,14/06/2020 , 13:00:00,10578,10578
289,14/06/2020 , 13:15:00,16877,16877
290,14/06/2020 , 13:30:00,15204,15204
291,14/06/2020 , 13:45:00,16182,16182
292,14/06/2020 , 14:00:00,16051,16051
293,14/06/2020 , 14:15:00,20443,20443
294,14/06/2020 , 14:30:00,30070,30070
295,14/06/2020 , 14:45:00,36145,36145
296,14/06/2020 , 15:00:00,39466,39466
297,14/06/2020 , 15:15:00,41833,41833
298,14/06/2020 , 15:30:00,42673,42673
299,14/06/2020 , 15:45:00,38447,38447
300,14/06/2020 , 16:00:00,41354,41354
301,14/06/2020 , 16:15:00,43218,43218
302,14/06/2020 , 16:30:00,43164,43164
303,14/06/2020 , 16:45:00,42000,42000
304,14/06/2020 , 17:00:00,41321,41321
305,14/06/2020 , 17:15:00,39922,39922
306,14/06/2020 , 17:30:00,38437,38437
307,14/06/2020 , 17:45:00,37014,37014
308,14/06/2020 , 18:00:00,35526,35526
309,14/06/2020 , 18:15:00,33909,33909
310,14/06/2020 , 18:30:00,32156,32156
311,14/06/2020 , 18:45:00,30410,30410
312,14/06/2020 , 19:00:00,28747,28747
313,14/06/2020 , 19:15:00,26919,26919
314,14/06/2020 , 19:30:00,22243,22243
315,14/06/2020 , 19:45:00,19403,19403
316,14/06/2020 , 20:00:00,4179,4179
317,14/06/2020 , 20:15:00,16190,16190
318,14/06/2020 , 20:30:00,11849,11849
