"","date","GPP_mean","GPP_se_mean","GPP_sd","GPP_2.5pct","GPP_25pct","GPP_50pct","GPP_75pct","GPP_97.5pct","GPP_n_eff","GPP_Rhat","ER_mean","ER_se_mean","ER_sd","ER_2.5pct","ER_25pct","ER_50pct","ER_75pct","ER_97.5pct","ER_n_eff","ER_Rhat","DO_R2_mean","DO_R2_se_mean","DO_R2_sd","DO_R2_2.5pct","DO_R2_25pct","DO_R2_50pct","DO_R2_75pct","DO_R2_97.5pct","DO_R2_n_eff","DO_R2_Rhat","GPP_daily_mean","GPP_daily_se_mean","GPP_daily_sd","GPP_daily_2.5pct","GPP_daily_25pct","GPP_daily_50pct","GPP_daily_75pct","GPP_daily_97.5pct","GPP_daily_n_eff","GPP_daily_Rhat","ER_daily_mean","ER_daily_se_mean","ER_daily_sd","ER_daily_2.5pct","ER_daily_25pct","ER_daily_50pct","ER_daily_75pct","ER_daily_97.5pct","ER_daily_n_eff","ER_daily_Rhat","K600_daily_mean","K600_daily_se_mean","K600_daily_sd","K600_daily_2.5pct","K600_daily_25pct","K600_daily_50pct","K600_daily_75pct","K600_daily_97.5pct","K600_daily_n_eff","K600_daily_Rhat","K600_daily_predlog_mean","K600_daily_predlog_se_mean","K600_daily_predlog_sd","K600_daily_predlog_2.5pct","K600_daily_predlog_25pct","K600_daily_predlog_50pct","K600_daily_predlog_75pct","K600_daily_predlog_97.5pct","K600_daily_predlog_n_eff","K600_daily_predlog_Rhat","valid_day","warnings","errors"
"1",2021-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","data don't start when expected"
"2",2021-05-19,-0.618348755053703,0.0131302824766856,0.293555242224793,-1.19769459144992,-0.81856017180258,-0.62120053941103,-0.414271404211449,-0.0518598290987285,499.840614658304,1.00496511358977,-7.04513496379433,0.0609902474691505,1.07214991335473,-9.16561167199503,-7.77658820171818,-7.01879994980944,-6.33128264313583,-4.94606938051279,309.022597449462,1.00374129746846,0.999998098697491,4.12546675595131e-07,1.53849882402231e-06,0.999995295190787,0.999997414792684,0.99999847803543,0.999999148317895,0.999999572212155,13.907470699166,1.36006432685955,-0.618348755053593,0.0131302824766832,0.293555242224741,-1.19769459144971,-0.818560171802435,-0.62120053941092,-0.414271404211375,-0.0518598290987193,499.840614658305,1.00496511358977,-7.04513496379433,0.0609902474691505,1.07214991335473,-9.16561167199504,-7.77658820171818,-7.01879994980945,-6.33128264313584,-4.94606938051279,309.022597449462,1.00374129746846,5.08976302908699,0.0366480779162216,0.657237207123831,3.80333073344433,4.64387986572751,5.07812501219988,5.53166729752492,6.39079516472856,321.619134398549,1.00389116714691,1.8086971938321,0.0012366920489831,0.0253661420236924,1.75664429614613,1.79201628801233,1.80897736452191,1.82589849506747,1.85729941313107,420.712777513697,1.00795195047499,TRUE,"",""
"3",2021-05-20,-0.0943432089690649,0.0170073140847784,0.296827682349017,-0.665306614567296,-0.302916771187889,-0.0937052707965705,0.106263775464341,0.479198333361001,304.605217399729,1.00558816624093,-8.70282987831838,0.0660441121436459,1.11738038596237,-10.9519182739074,-9.46520105669908,-8.6929686785661,-7.92499539108789,-6.55398217322137,286.242340952543,1.00157459075429,0.999998491331375,3.31951662518378e-07,1.25200925544544e-06,0.999996236179946,0.999997961731334,0.999998792666958,0.999999325799034,0.999999661704329,14.2254293358258,1.34465376643412,-0.0943432089690482,0.0170073140847754,0.296827682348964,-0.665306614567178,-0.302916771187835,-0.0937052707965539,0.106263775464323,0.479198333360916,304.60521739973,1.00558816624093,-8.70282987831838,0.0660441121436459,1.11738038596237,-10.9519182739074,-9.4652010566991,-8.6929686785661,-7.9249953910879,-6.55398217322137,286.242340952542,1.00157459075429,5.53520614440002,0.0362302428849722,0.658511064061668,4.28767582244514,5.0718950930579,5.54077154921489,5.98266705763236,6.81732637477744,330.357112420792,1.0028953779751,1.8086971938321,0.0012366920489831,0.0253661420236924,1.75664429614613,1.79201628801233,1.80897736452191,1.82589849506747,1.85729941313107,420.712777513697,1.00795195047499,TRUE,"",""
"4",2021-05-21,-0.984557448903513,0.0115485492170874,0.269572071287249,-1.50608988440158,-1.17157346701096,-0.985386890477527,-0.80843380525761,-0.448264235270637,544.872553599985,1.00535561533319,-8.14281800820005,0.0736338137601124,1.35966110068345,-10.7806277608633,-9.07525119320116,-8.14563776391257,-7.22288486602273,-5.48047819345178,340.96260938259,1.01456383928206,0.999983629313526,3.53041662123106e-06,1.31255184357198e-05,0.999957123682608,0.999977981374722,0.999986804965828,0.999992623939135,0.999996362836823,13.8223222701745,1.36369784866542,-0.984557448903338,0.0115485492170853,0.269572071287201,-1.50608988440132,-1.17157346701075,-0.985386890477352,-0.808433805257467,-0.448264235270558,544.872553599986,1.00535561533319,-8.14281800820005,0.0736338137601125,1.35966110068345,-10.7806277608633,-9.07525119320115,-8.14563776391257,-7.22288486602273,-5.48047819345178,340.96260938259,1.01456383928206,5.72005697222028,0.0410078928617106,0.786156182845621,4.18184813939515,5.18941918753204,5.71393676125352,6.26096530802066,7.24703546456695,367.521508401316,1.01368690314332,1.8086971938321,0.0012366920489831,0.0253661420236924,1.75664429614613,1.79201628801233,1.80897736452191,1.82589849506747,1.85729941313107,420.712777513697,1.00795195047499,TRUE,"",""
"5",2021-05-22,-0.516193597935418,0.0125493097166167,0.274313605350702,-1.03414670355203,-0.7061821804855,-0.523703490515734,-0.335803878654082,0.0494219678461382,477.809764535572,1.00586872454705,-5.73628033249519,0.0578081096829936,1.08011248466317,-7.81947566780787,-6.45772619122821,-5.72469698134637,-5.02223905135455,-3.55074137952406,349.108509998976,1.00754105607609,0.999997326193061,5.73759113142532e-07,2.13562225825752e-06,0.999993182029095,0.999996412551866,0.99999782518504,0.999998802580326,0.999999407053092,13.8544625798816,1.36586537420876,-0.516193597935326,0.0125493097166144,0.274313605350653,-1.03414670355185,-0.706182180485375,-0.523703490515641,-0.335803878654023,0.0494219678461294,477.809764535572,1.00586872454705,-5.73628033249519,0.0578081096829936,1.08011248466317,-7.81947566780787,-6.4577261912282,-5.72469698134637,-5.02223905135454,-3.55074137952406,349.108509998977,1.00754105607609,5.58544026982529,0.0378602976585205,0.736924637196473,4.12266419103687,5.10107996509219,5.59637753745952,6.08483494740523,7.01334915946059,378.859432542009,1.00534857511086,1.8086971938321,0.0012366920489831,0.0253661420236924,1.75664429614613,1.79201628801233,1.80897736452191,1.82589849506747,1.85729941313107,420.712777513697,1.00795195047499,TRUE,"",""
"6",2021-05-23,-0.288570392940671,0.0129837719433573,0.282937889143786,-0.847161190391972,-0.47807654414547,-0.288562387202318,-0.0950195634140219,0.259591031533867,474.876262399759,1.00272696048649,-4.93327515288619,0.045124501879677,0.79647686134603,-6.47190154972266,-5.48279705928191,-4.94824422273727,-4.37698064565971,-3.40720170048645,311.545501939244,1.00185338110009,0.999997777098503,4.80453642550625e-07,1.79635620459398e-06,0.999994310677649,0.999997004341592,0.999998222742902,0.999998998379599,0.999999495910976,13.9791876944335,1.35666575305062,-0.28857039294062,0.012983771943355,0.282937889143736,-0.847161190391822,-0.478076544145385,-0.288562387202267,-0.0950195634140051,0.259591031533821,474.876262399759,1.00272696048649,-4.93327515288619,0.045124501879677,0.79647686134603,-6.47190154972264,-5.48279705928191,-4.94824422273727,-4.37698064565971,-3.40720170048644,311.545501939244,1.00185338110009,4.65677260152554,0.0336828150387557,0.640160977366985,3.39832243816267,4.21963548861702,4.66352884985182,5.10107667572438,5.87744546498775,361.211553743558,1.00183397201207,1.8086971938321,0.0012366920489831,0.0253661420236924,1.75664429614613,1.79201628801233,1.80897736452191,1.82589849506747,1.85729941313107,420.712777513697,1.00795195047499,TRUE,"",""
"7",2021-05-24,-2.09855432844504,0.0180308724565515,0.353219226021732,-2.83140593813608,-2.33005519683135,-2.09458321552976,-1.85558282363228,-1.41417406207085,383.756006811637,1.01188511329879,-5.13940822986521,0.0979746248215652,1.44131270304692,-7.85293655525081,-6.10151135386059,-5.18875749143574,-4.23035400252804,-2.1512537023485,216.415922612886,1.02993221975576,0.999999759569947,5.17833457117161e-08,1.94873329005288e-07,0.999999391062372,0.999999678380451,0.999999806776622,0.999999891382892,0.999999946810753,14.1620001646583,1.34842488909858,-2.09855432844467,0.0180308724565484,0.353219226021669,-2.83140593813558,-2.33005519683094,-2.09458321552939,-1.85558282363195,-1.41417406207059,383.756006811636,1.01188511329879,-5.13940822986521,0.0979746248215652,1.44131270304692,-7.8529365552508,-6.10151135386059,-5.18875749143573,-4.23035400252805,-2.1512537023485,216.415922612886,1.02993221975576,3.00488117386935,0.0514044695069871,0.75798424345693,1.4278979614604,2.51044256842795,3.0356832554048,3.52551100420941,4.43999417985503,217.429562764855,1.03125609969319,1.8086971938321,0.0012366920489831,0.0253661420236924,1.75664429614613,1.79201628801233,1.80897736452191,1.82589849506747,1.85729941313107,420.712777513697,1.00795195047499,TRUE,"",""
"8",2021-05-25,0.598065971202684,0.0185666511472846,0.328909326676558,-0.0353576915970883,0.372226729271954,0.596852858780744,0.814103714966286,1.26578924078299,313.823327147473,1.02005840410988,-13.3893530940016,0.0989912346509488,1.47582930199096,-16.2253775559951,-14.3696272197391,-13.4272509268245,-12.3779823128709,-10.4420863579524,222.268938677112,1.02109569512327,0.999998729288646,2.75787063422831e-07,1.03555631886551e-06,0.999996843838784,0.99999828667686,0.999998976622333,0.999999436783301,0.999999716900151,14.0993686200813,1.35109172747672,0.598065971202578,0.0185666511472813,0.3289093266765,-0.035357691597082,0.372226729271888,0.596852858780638,0.814103714966142,1.26578924078276,313.823327147473,1.02005840410988,-13.3893530940016,0.0989912346509488,1.47582930199096,-16.2253775559951,-14.3696272197391,-13.4272509268245,-12.3779823128709,-10.4420863579524,222.268938677112,1.02109569512327,6.51956426654021,0.042424088109194,0.666984166026311,5.15979643914982,6.07194629898888,6.54729934965922,6.9687325935019,7.79105130664033,247.175838392894,1.01816942198049,1.8086971938321,0.0012366920489831,0.0253661420236924,1.75664429614613,1.79201628801233,1.80897736452191,1.82589849506747,1.85729941313107,420.712777513697,1.00795195047499,TRUE,"",""
"9",2021-05-26,1.07002014025811,0.0246762859725693,0.332497517759043,0.421245432020548,0.846743657989041,1.06574612210816,1.29154314109097,1.71992604919413,181.558767396925,1.02774736430921,-14.2614599867739,0.118598642886451,1.46518902253202,-17.2713471983892,-15.2374151784935,-14.2334321716069,-13.2215278489617,-11.4723021441567,152.625771921898,1.03340168786745,0.999997681476062,5.00367571025567e-07,1.8801031311014e-06,0.99999408126415,0.999996899011904,0.999998131751339,0.999998961293677,0.999999484326157,14.1183854665548,1.35392557257141,1.07002014025792,0.0246762859725658,0.332497517758985,0.421245432020474,0.846743657988891,1.06574612210797,1.29154314109074,1.71992604919383,181.558767396912,1.02774736430921,-14.2614599867739,0.118598642886451,1.46518902253202,-17.2713471983892,-15.2374151784935,-14.2334321716069,-13.2215278489617,-11.4723021441566,152.625771921898,1.03340168786745,6.80489140596853,0.0500311904744535,0.652397308170556,5.5762710581997,6.34843094663696,6.78766985717017,7.23611392913404,8.12201988596706,170.03669191168,1.02823143794175,1.8086971938321,0.0012366920489831,0.0253661420236924,1.75664429614613,1.79201628801233,1.80897736452191,1.82589849506747,1.85729941313107,420.712777513697,1.00795195047499,TRUE,"",""
"10",2021-05-27,0.053134154037596,0.0149382989299709,0.301890367878323,-0.54014721853612,-0.151978588030022,0.0501997987903351,0.253877122531237,0.663279953473155,408.409862928681,1.00794036404383,-14.2800845551108,0.110815723293968,1.8876412048534,-18.0683897394627,-15.5646107017383,-14.2719091527472,-12.9382568297952,-10.7439240431387,290.159054152736,1.01154697966996,0.999988709544364,2.45011023056994e-06,9.2691044415367e-06,0.999971776768071,0.999984817766037,0.999990973162316,0.999994954297019,0.999997486192291,14.3121310397068,1.33877604549643,0.0531341540375866,0.0149382989299682,0.30189036787827,-0.540147218536025,-0.151978588029995,0.0501997987903262,0.253877122531192,0.663279953473037,408.409862928681,1.00794036404383,-14.2800845551108,0.110815723293968,1.8876412048534,-18.0683897394627,-15.5646107017383,-14.2719091527472,-12.9382568297952,-10.7439240431387,290.159054152736,1.01154697966996,6.77751631033907,0.0449880197271094,0.79451538603624,5.28366324635497,6.21136775102261,6.76734158629385,7.32491406478622,8.35491908174364,311.896764757888,1.0098442034943,1.8086971938321,0.0012366920489831,0.0253661420236924,1.75664429614613,1.79201628801233,1.80897736452191,1.82589849506747,1.85729941313107,420.712777513697,1.00795195047499,TRUE,"",""
