Site Name ,VAUL
Site Number ,125
Logger ,Integrating Light Sensor
Logger Serial Number ,11616


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,06/06/2022 , 13:15:00,46368,46368
2,06/06/2022 , 13:30:00,43904,43904
3,06/06/2022 , 13:45:00,11181,11181
4,06/06/2022 , 14:00:00,9522,9522
5,06/06/2022 , 14:15:00,41935,41935
6,06/06/2022 , 14:30:00,45846,45846
7,06/06/2022 , 14:45:00,45284,45284
8,06/06/2022 , 15:00:00,44542,44542
9,06/06/2022 , 15:15:00,43753,43753
10,06/06/2022 , 15:30:00,43012,43012
11,06/06/2022 , 15:45:00,33715,33715
12,06/06/2022 , 16:00:00,24004,24004
13,06/06/2022 , 16:15:00,16110,16110
14,06/06/2022 , 16:30:00,13290,13290
15,06/06/2022 , 16:45:00,3328,3328
16,06/06/2022 , 17:00:00,3451,3451
17,06/06/2022 , 17:15:00,12051,12051
18,06/06/2022 , 17:30:00,17139,17139
19,06/06/2022 , 17:45:00,11191,11191
20,06/06/2022 , 18:00:00,6515,6515
21,06/06/2022 , 18:15:00,12474,12474
22,06/06/2022 , 18:30:00,7173,7173
23,06/06/2022 , 18:45:00,2772,2772
24,06/06/2022 , 19:00:00,2354,2354
25,06/06/2022 , 19:15:00,2258,2258
26,06/06/2022 , 19:30:00,2173,2173
27,06/06/2022 , 19:45:00,2114,2114
28,06/06/2022 , 20:00:00,2067,2067
29,06/06/2022 , 20:15:00,2007,2007
30,06/06/2022 , 20:30:00,1923,1923
31,06/06/2022 , 20:45:00,1825,1825
32,06/06/2022 , 21:00:00,1737,1737
33,06/06/2022 , 21:15:00,1653,1653
34,06/06/2022 , 21:30:00,1563,1563
35,06/06/2022 , 21:45:00,1457,1457
36,06/06/2022 , 22:00:00,1352,1352
37,06/06/2022 , 22:15:00,1231,1231
38,06/06/2022 , 22:30:00,1046,1046
39,06/06/2022 , 22:45:00,899,899
40,06/06/2022 , 23:00:00,784,784
41,06/06/2022 , 23:15:00,665,665
42,06/06/2022 , 23:30:00,544,544
43,06/06/2022 , 23:45:00,429,429
44,06/06/2022 , 24:00:00,334,334
45,07/06/2022 , 00:15:00,255,255
46,07/06/2022 , 00:30:00,193,193
47,07/06/2022 , 00:45:00,147,147
48,07/06/2022 , 01:00:00,113,113
49,07/06/2022 , 01:15:00,91,91
50,07/06/2022 , 01:30:00,77,77
51,07/06/2022 , 01:45:00,71,71
52,07/06/2022 , 02:00:00,71,71
53,07/06/2022 , 02:15:00,77,77
54,07/06/2022 , 02:30:00,90,90
55,07/06/2022 , 02:45:00,103,103
56,07/06/2022 , 03:00:00,127,127
57,07/06/2022 , 03:15:00,166,166
58,07/06/2022 , 03:30:00,216,216
59,07/06/2022 , 03:45:00,282,282
60,07/06/2022 , 04:00:00,367,367
61,07/06/2022 , 04:15:00,471,471
62,07/06/2022 , 04:30:00,586,586
63,07/06/2022 , 04:45:00,722,722
64,07/06/2022 , 05:00:00,892,892
65,07/06/2022 , 05:15:00,1034,1034
66,07/06/2022 , 05:30:00,1194,1194
67,07/06/2022 , 05:45:00,1339,1339
68,07/06/2022 , 06:00:00,1449,1449
69,07/06/2022 , 06:15:00,1636,1636
70,07/06/2022 , 06:30:00,1734,1734
71,07/06/2022 , 06:45:00,1845,1845
72,07/06/2022 , 07:00:00,2210,2210
73,07/06/2022 , 07:15:00,2080,2080
74,07/06/2022 , 07:30:00,2235,2235
75,07/06/2022 , 07:45:00,2418,2418
76,07/06/2022 , 08:00:00,4030,4030
77,07/06/2022 , 08:15:00,22389,22389
78,07/06/2022 , 08:30:00,8221,8221
79,07/06/2022 , 08:45:00,5469,5469
80,07/06/2022 , 09:00:00,7576,7576
81,07/06/2022 , 09:15:00,7248,7248
82,07/06/2022 , 09:30:00,20724,20724
83,07/06/2022 , 09:45:00,33572,33572
84,07/06/2022 , 10:00:00,34938,34938
85,07/06/2022 , 10:15:00,36302,36302
86,07/06/2022 , 10:30:00,37647,37647
87,07/06/2022 , 10:45:00,38991,38991
88,07/06/2022 , 11:00:00,40441,40441
89,07/06/2022 , 11:15:00,41521,41521
90,07/06/2022 , 11:30:00,42541,42541
91,07/06/2022 , 11:45:00,43579,43579
92,07/06/2022 , 12:00:00,44368,44368
93,07/06/2022 , 12:15:00,45079,45079
94,07/06/2022 , 12:30:00,45748,45748
95,07/06/2022 , 12:45:00,46222,46222
96,07/06/2022 , 13:00:00,46741,46741
97,07/06/2022 , 13:15:00,46932,46932
98,07/06/2022 , 13:30:00,44386,44386
99,07/06/2022 , 13:45:00,10703,10703
100,07/06/2022 , 14:00:00,9755,9755
101,07/06/2022 , 14:15:00,42907,42907
102,07/06/2022 , 14:30:00,46497,46497
103,07/06/2022 , 14:45:00,45804,45804
104,07/06/2022 , 15:00:00,45125,45125
105,07/06/2022 , 15:15:00,44185,44185
