Site Name ,MOOS
Site Number ,125
Logger ,Integrating Light Sensor
Logger Serial Number ,11617


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

142,04/08/2022 , 03:45:00,0,0
143,04/08/2022 , 04:00:00,0,0
144,04/08/2022 , 04:15:00,2,2
145,04/08/2022 , 04:30:00,8,8
146,04/08/2022 , 04:45:00,23,23
147,04/08/2022 , 05:00:00,48,48
148,04/08/2022 , 05:15:00,88,88
149,04/08/2022 , 05:30:00,135,135
150,04/08/2022 , 05:45:00,205,205
151,04/08/2022 , 06:00:00,254,254
152,04/08/2022 , 06:15:00,314,314
153,04/08/2022 , 06:30:00,392,392
154,04/08/2022 , 06:45:00,454,454
155,04/08/2022 , 07:00:00,505,505
156,04/08/2022 , 07:15:00,573,573
157,04/08/2022 , 07:30:00,634,634
158,04/08/2022 , 07:45:00,703,703
159,04/08/2022 , 08:00:00,773,773
160,04/08/2022 , 08:15:00,841,841
161,04/08/2022 , 08:30:00,911,911
162,04/08/2022 , 08:45:00,1028,1028
163,04/08/2022 , 09:00:00,1074,1074
164,04/08/2022 , 09:15:00,1168,1168
165,04/08/2022 , 09:30:00,1276,1276
166,04/08/2022 , 09:45:00,1442,1442
167,04/08/2022 , 10:00:00,1605,1605
168,04/08/2022 , 10:15:00,2454,2454
169,04/08/2022 , 10:30:00,4838,4838
170,04/08/2022 , 10:45:00,7878,7878
171,04/08/2022 , 11:00:00,20742,20742
172,04/08/2022 , 11:15:00,21908,21908
173,04/08/2022 , 11:30:00,12340,12340
174,04/08/2022 , 11:45:00,8773,8773
175,04/08/2022 , 12:00:00,24595,24595
176,04/08/2022 , 12:15:00,32499,32499
177,04/08/2022 , 12:30:00,32600,32600
178,04/08/2022 , 12:45:00,32646,32646
179,04/08/2022 , 13:00:00,32605,32605
180,04/08/2022 , 13:15:00,32072,32072
181,04/08/2022 , 13:30:00,16318,16318
182,04/08/2022 , 13:45:00,4167,4167
183,04/08/2022 , 14:00:00,3208,3208
184,04/08/2022 , 14:15:00,7839,7839
185,04/08/2022 , 14:30:00,2943,2943
186,04/08/2022 , 14:45:00,4442,4442
187,04/08/2022 , 15:00:00,2596,2596
188,04/08/2022 , 15:15:00,6276,6276
189,04/08/2022 , 15:30:00,3366,3366
190,04/08/2022 , 15:45:00,2384,2384
191,04/08/2022 , 16:00:00,2683,2683
192,04/08/2022 , 16:15:00,3404,3404
193,04/08/2022 , 16:30:00,3175,3175
194,04/08/2022 , 16:45:00,2651,2651
195,04/08/2022 , 17:00:00,3276,3276
196,04/08/2022 , 17:15:00,3126,3126
197,04/08/2022 , 17:30:00,3445,3445
198,04/08/2022 , 17:45:00,3748,3748
199,04/08/2022 , 18:00:00,2707,2707
200,04/08/2022 , 18:15:00,2609,2609
201,04/08/2022 , 18:30:00,3062,3062
202,04/08/2022 , 18:45:00,2775,2775
203,04/08/2022 , 19:00:00,2263,2263
204,04/08/2022 , 19:15:00,1681,1681
205,04/08/2022 , 19:30:00,1491,1491
206,04/08/2022 , 19:45:00,1317,1317
207,04/08/2022 , 20:00:00,1080,1080
208,04/08/2022 , 20:15:00,1146,1146
209,04/08/2022 , 20:30:00,900,900
210,04/08/2022 , 20:45:00,918,918
211,04/08/2022 , 21:00:00,809,809
212,04/08/2022 , 21:15:00,875,875
213,04/08/2022 , 21:30:00,261,261
214,04/08/2022 , 21:45:00,60,60
215,04/08/2022 , 22:00:00,38,38
216,04/08/2022 , 22:15:00,59,59
217,04/08/2022 , 22:30:00,23,23
218,04/08/2022 , 22:45:00,16,16
219,04/08/2022 , 23:00:00,14,14
220,04/08/2022 , 23:15:00,8,8
221,04/08/2022 , 23:30:00,2,2
222,04/08/2022 , 23:45:00,0,0
223,04/08/2022 , 24:00:00,0,0
224,05/08/2022 , 00:15:00,0,0
225,05/08/2022 , 00:30:00,0,0
226,05/08/2022 , 00:45:00,0,0
227,05/08/2022 , 01:00:00,0,0
228,05/08/2022 , 01:15:00,0,0
229,05/08/2022 , 01:30:00,0,0
230,05/08/2022 , 01:45:00,0,0
231,05/08/2022 , 02:00:00,0,0
232,05/08/2022 , 02:15:00,0,0
233,05/08/2022 , 02:30:00,0,0
234,05/08/2022 , 02:45:00,0,0
235,05/08/2022 , 03:00:00,0,0
236,05/08/2022 , 03:15:00,0,0
237,05/08/2022 , 03:30:00,0,0
238,05/08/2022 , 03:45:00,0,0
239,05/08/2022 , 04:00:00,0,0
240,05/08/2022 , 04:15:00,0,0
241,05/08/2022 , 04:30:00,0,0
242,05/08/2022 , 04:45:00,3,3
243,05/08/2022 , 05:00:00,8,8
244,05/08/2022 , 05:15:00,23,23
245,05/08/2022 , 05:30:00,55,55
246,05/08/2022 , 05:45:00,80,80
247,05/08/2022 , 06:00:00,82,82
248,05/08/2022 , 06:15:00,129,129
249,05/08/2022 , 06:30:00,123,123
250,05/08/2022 , 06:45:00,180,180
251,05/08/2022 , 07:00:00,344,344
252,05/08/2022 , 07:15:00,520,520
253,05/08/2022 , 07:30:00,728,728
254,05/08/2022 , 07:45:00,572,572
255,05/08/2022 , 08:00:00,453,453
256,05/08/2022 , 08:15:00,429,429
257,05/08/2022 , 08:30:00,439,439
258,05/08/2022 , 08:45:00,600,600
259,05/08/2022 , 09:00:00,491,491
260,05/08/2022 , 09:15:00,599,599
261,05/08/2022 , 09:30:00,804,804
262,05/08/2022 , 09:45:00,908,908
263,05/08/2022 , 10:00:00,925,925
264,05/08/2022 , 10:15:00,969,969
265,05/08/2022 , 10:30:00,1114,1114
266,05/08/2022 , 10:45:00,777,777
267,05/08/2022 , 11:00:00,708,708
268,05/08/2022 , 11:15:00,1033,1033
269,05/08/2022 , 11:30:00,1143,1143
270,05/08/2022 , 11:45:00,1278,1278
271,05/08/2022 , 12:00:00,1193,1193
272,05/08/2022 , 12:15:00,1045,1045
273,05/08/2022 , 12:30:00,867,867
274,05/08/2022 , 12:45:00,939,939
275,05/08/2022 , 13:00:00,1112,1112
276,05/08/2022 , 13:15:00,1357,1357
277,05/08/2022 , 13:30:00,1503,1503
278,05/08/2022 , 13:45:00,1591,1591
279,05/08/2022 , 14:00:00,1626,1626
280,05/08/2022 , 14:15:00,1302,1302
281,05/08/2022 , 14:30:00,1491,1491
282,05/08/2022 , 14:45:00,1304,1304
283,05/08/2022 , 15:00:00,1264,1264
284,05/08/2022 , 15:15:00,1392,1392
285,05/08/2022 , 15:30:00,1339,1339
286,05/08/2022 , 15:45:00,1729,1729
287,05/08/2022 , 16:00:00,2126,2126
288,05/08/2022 , 16:15:00,3317,3317
289,05/08/2022 , 16:30:00,4547,4547
290,05/08/2022 , 16:45:00,2959,2959
291,05/08/2022 , 17:00:00,1571,1571
292,05/08/2022 , 17:15:00,2622,2622
293,05/08/2022 , 17:30:00,3151,3151
294,05/08/2022 , 17:45:00,3353,3353
295,05/08/2022 , 18:00:00,2774,2774
296,05/08/2022 , 18:15:00,2321,2321
297,05/08/2022 , 18:30:00,2090,2090
298,05/08/2022 , 18:45:00,2397,2397
299,05/08/2022 , 19:00:00,1468,1468
300,05/08/2022 , 19:15:00,1140,1140
301,05/08/2022 , 19:30:00,1590,1590
302,05/08/2022 , 19:45:00,1373,1373
303,05/08/2022 , 20:00:00,1135,1135
304,05/08/2022 , 20:15:00,1001,1001
305,05/08/2022 , 20:30:00,682,682
306,05/08/2022 , 20:45:00,569,569
307,05/08/2022 , 21:00:00,569,569
308,05/08/2022 , 21:15:00,437,437
309,05/08/2022 , 21:30:00,380,380
310,05/08/2022 , 21:45:00,150,150
311,05/08/2022 , 22:00:00,215,215
312,05/08/2022 , 22:15:00,199,199
313,05/08/2022 , 22:30:00,98,98
314,05/08/2022 , 22:45:00,28,28
315,05/08/2022 , 23:00:00,17,17
316,05/08/2022 , 23:15:00,7,7
317,05/08/2022 , 23:30:00,2,2
318,05/08/2022 , 23:45:00,0,0
319,05/08/2022 , 24:00:00,0,0
320,06/08/2022 , 00:15:00,0,0
321,06/08/2022 , 00:30:00,0,0
322,06/08/2022 , 00:45:00,0,0
323,06/08/2022 , 01:00:00,0,0
324,06/08/2022 , 01:15:00,0,0
325,06/08/2022 , 01:30:00,0,0
326,06/08/2022 , 01:45:00,0,0
327,06/08/2022 , 02:00:00,0,0
328,06/08/2022 , 02:15:00,0,0
329,06/08/2022 , 02:30:00,0,0
330,06/08/2022 , 02:45:00,0,0
331,06/08/2022 , 03:00:00,0,0
332,06/08/2022 , 03:15:00,0,0
333,06/08/2022 , 03:30:00,0,0
334,06/08/2022 , 03:45:00,0,0
335,06/08/2022 , 04:00:00,0,0
336,06/08/2022 , 04:15:00,0,0
337,06/08/2022 , 04:30:00,0,0
338,06/08/2022 , 04:45:00,2,2
339,06/08/2022 , 05:00:00,9,9
340,06/08/2022 , 05:15:00,31,31
341,06/08/2022 , 05:30:00,44,44
342,06/08/2022 , 05:45:00,70,70
343,06/08/2022 , 06:00:00,94,94
344,06/08/2022 , 06:15:00,140,140
345,06/08/2022 , 06:30:00,194,194
346,06/08/2022 , 06:45:00,192,192
347,06/08/2022 , 07:00:00,380,380
348,06/08/2022 , 07:15:00,476,476
349,06/08/2022 , 07:30:00,503,503
350,06/08/2022 , 07:45:00,535,535
351,06/08/2022 , 08:00:00,440,440
352,06/08/2022 , 08:15:00,791,791
353,06/08/2022 , 08:30:00,852,852
354,06/08/2022 , 08:45:00,1019,1019
355,06/08/2022 , 09:00:00,1103,1103
356,06/08/2022 , 09:15:00,1307,1307
357,06/08/2022 , 09:30:00,1467,1467
358,06/08/2022 , 09:45:00,1104,1104
359,06/08/2022 , 10:00:00,1141,1141
360,06/08/2022 , 10:15:00,1867,1867
361,06/08/2022 , 10:30:00,2024,2024
362,06/08/2022 , 10:45:00,1712,1712
363,06/08/2022 , 11:00:00,2327,2327
364,06/08/2022 , 11:15:00,2508,2508
365,06/08/2022 , 11:30:00,3274,3274
366,06/08/2022 , 11:45:00,3954,3954
367,06/08/2022 , 12:00:00,4229,4229
368,06/08/2022 , 12:15:00,3431,3431
369,06/08/2022 , 12:30:00,3929,3929
370,06/08/2022 , 12:45:00,5036,5036
371,06/08/2022 , 13:00:00,5492,5492
372,06/08/2022 , 13:15:00,2861,2861
373,06/08/2022 , 13:30:00,4146,4146
374,06/08/2022 , 13:45:00,6288,6288
375,06/08/2022 , 14:00:00,5271,5271
376,06/08/2022 , 14:15:00,6160,6160
377,06/08/2022 , 14:30:00,5667,5667
378,06/08/2022 , 14:45:00,3799,3799
379,06/08/2022 , 15:00:00,4030,4030
380,06/08/2022 , 15:15:00,2695,2695
381,06/08/2022 , 15:30:00,3494,3494
382,06/08/2022 , 15:45:00,3869,3869
383,06/08/2022 , 16:00:00,4972,4972
384,06/08/2022 , 16:15:00,3449,3449
385,06/08/2022 , 16:30:00,2993,2993
386,06/08/2022 , 16:45:00,3005,3005
387,06/08/2022 , 17:00:00,2710,2710
388,06/08/2022 , 17:15:00,1997,1997
389,06/08/2022 , 17:30:00,1568,1568
390,06/08/2022 , 17:45:00,1355,1355
391,06/08/2022 , 18:00:00,2692,2692
392,06/08/2022 , 18:15:00,2574,2574
393,06/08/2022 , 18:30:00,1307,1307
394,06/08/2022 , 18:45:00,1234,1234
395,06/08/2022 , 19:00:00,1029,1029
