"Plot Title: 20005933_FRCH_atmo"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 20005933, SEN S/N: 20005933, LBL: P)","Temp, °C (LGR S/N: 20005933, SEN S/N: 20005933, LBL: T)"
124,06/12/20 07:30:00 PM,99.013,24.835
125,06/12/20 07:45:00 PM,99.008,25.222
126,06/12/20 08:00:00 PM,98.979,25.222
127,06/12/20 08:15:00 PM,98.970,25.222
128,06/12/20 08:30:00 PM,98.971,25.513
129,06/12/20 08:45:00 PM,98.973,25.319
130,06/12/20 09:00:00 PM,98.963,25.805
131,06/12/20 09:15:00 PM,98.969,24.931
132,06/12/20 09:30:00 PM,98.991,24.255
133,06/12/20 09:45:00 PM,98.996,23.100
134,06/12/20 10:00:00 PM,99.022,21.473
135,06/12/20 10:15:00 PM,99.052,19.948
136,06/12/20 10:30:00 PM,99.053,19.472
137,06/12/20 10:45:00 PM,99.052,19.187
138,06/12/20 11:00:00 PM,99.050,18.616
139,06/12/20 11:15:00 PM,99.043,17.665
140,06/12/20 11:30:00 PM,99.049,16.523
141,06/12/20 11:45:00 PM,99.047,15.187
142,06/13/20 12:00:00 AM,99.055,13.846
143,06/13/20 12:15:00 AM,99.063,12.787
144,06/13/20 12:30:00 AM,99.066,11.819
145,06/13/20 12:45:00 AM,99.058,10.846
146,06/13/20 01:00:00 AM,99.052,10.161
147,06/13/20 01:15:00 AM,99.061,9.373
148,06/13/20 01:30:00 AM,99.073,8.680
149,06/13/20 01:45:00 AM,99.070,8.082
150,06/13/20 02:00:00 AM,99.077,7.481
151,06/13/20 02:15:00 AM,99.077,6.978
152,06/13/20 02:30:00 AM,99.087,6.471
153,06/13/20 02:45:00 AM,99.087,5.962
154,06/13/20 03:00:00 AM,99.112,5.347
155,06/13/20 03:15:00 AM,99.122,4.831
156,06/13/20 03:30:00 AM,99.126,4.415
157,06/13/20 03:45:00 AM,99.120,3.998
158,06/13/20 04:00:00 AM,99.118,3.683
159,06/13/20 04:15:00 AM,99.123,3.578
160,06/13/20 04:30:00 AM,99.085,3.578
161,06/13/20 04:45:00 AM,99.070,3.683
162,06/13/20 05:00:00 AM,99.074,3.788
163,06/13/20 05:15:00 AM,99.049,3.893
164,06/13/20 05:30:00 AM,99.009,4.623
165,06/13/20 05:45:00 AM,98.980,6.166
166,06/13/20 06:00:00 AM,98.986,7.882
167,06/13/20 06:15:00 AM,98.984,9.373
168,06/13/20 06:30:00 AM,98.979,11.041
169,06/13/20 06:45:00 AM,98.977,12.013
170,06/13/20 07:00:00 AM,98.967,12.787
171,06/13/20 07:15:00 AM,98.958,13.558
172,06/13/20 07:30:00 AM,98.948,14.325
173,06/13/20 07:45:00 AM,98.933,15.473
174,06/13/20 08:00:00 AM,98.914,16.523
175,06/13/20 08:15:00 AM,98.894,16.999
176,06/13/20 08:30:00 AM,98.881,19.758
177,06/13/20 08:45:00 AM,98.835,21.091
178,06/13/20 09:00:00 AM,98.836,20.615
179,06/13/20 09:15:00 AM,98.815,20.805
180,06/13/20 09:30:00 AM,98.810,21.187
181,06/13/20 09:45:00 AM,98.826,22.142
182,06/13/20 10:00:00 AM,98.804,22.333
183,06/13/20 10:15:00 AM,98.800,26.097
184,06/13/20 10:30:00 AM,98.763,24.062
185,06/13/20 10:45:00 AM,98.735,23.581
186,06/13/20 11:00:00 AM,98.720,24.448
187,06/13/20 11:15:00 AM,98.687,23.581
188,06/13/20 11:30:00 AM,98.694,23.773
189,06/13/20 11:45:00 AM,98.695,23.004
190,06/13/20 12:00:00 PM,98.692,23.196
191,06/13/20 12:15:00 PM,98.680,23.388
192,06/13/20 12:30:00 PM,98.651,23.388
193,06/13/20 12:45:00 PM,98.628,23.292
194,06/13/20 01:00:00 PM,98.619,26.390
195,06/13/20 01:15:00 PM,98.574,26.488
196,06/13/20 01:30:00 PM,98.534,26.195
197,06/13/20 01:45:00 PM,98.509,27.075
198,06/13/20 02:00:00 PM,98.496,26.977
199,06/13/20 02:15:00 PM,98.469,27.272
200,06/13/20 02:30:00 PM,98.439,27.764
201,06/13/20 02:45:00 PM,98.398,27.173
202,06/13/20 03:00:00 PM,98.379,26.683
203,06/13/20 03:15:00 PM,98.358,26.879
204,06/13/20 03:30:00 PM,98.324,27.272
205,06/13/20 03:45:00 PM,98.298,27.862
206,06/13/20 04:00:00 PM,98.289,28.655
207,06/13/20 04:15:00 PM,98.295,27.272
208,06/13/20 04:30:00 PM,98.453,20.901
209,06/13/20 04:45:00 PM,98.487,15.855
210,06/13/20 05:00:00 PM,98.484,14.230
211,06/13/20 05:15:00 PM,98.473,13.942
212,06/13/20 05:30:00 PM,98.452,14.134
213,06/13/20 05:45:00 PM,98.430,14.325
214,06/13/20 06:00:00 PM,98.406,14.709
215,06/13/20 06:15:00 PM,98.387,15.760
216,06/13/20 06:30:00 PM,98.369,17.094
217,06/13/20 06:45:00 PM,98.367,18.331
218,06/13/20 07:00:00 PM,98.348,19.377
219,06/13/20 07:15:00 PM,98.329,19.377
220,06/13/20 07:30:00 PM,98.329,20.424
221,06/13/20 07:45:00 PM,98.332,20.234
222,06/13/20 08:00:00 PM,98.344,20.043
223,06/13/20 08:15:00 PM,98.328,20.901
224,06/13/20 08:30:00 PM,98.313,21.282
225,06/13/20 08:45:00 PM,98.300,21.187
226,06/13/20 09:00:00 PM,98.304,22.333
227,06/13/20 09:15:00 PM,98.325,21.855
228,06/13/20 09:30:00 PM,98.328,20.138
229,06/13/20 09:45:00 PM,98.324,18.711
230,06/13/20 10:00:00 PM,98.336,17.760
231,06/13/20 10:15:00 PM,98.349,16.808
232,06/13/20 10:30:00 PM,98.359,16.046
233,06/13/20 10:45:00 PM,98.363,15.378
234,06/13/20 11:00:00 PM,98.366,15.187
235,06/13/20 11:15:00 PM,98.370,14.517
236,06/13/20 11:30:00 PM,98.351,13.750
237,06/13/20 11:45:00 PM,98.342,12.980
238,06/14/20 12:00:00 AM,98.365,12.304
239,06/14/20 12:15:00 AM,98.356,11.819
240,06/14/20 12:30:00 AM,98.361,11.431
241,06/14/20 12:45:00 AM,98.364,11.236
242,06/14/20 01:00:00 AM,98.359,10.846
243,06/14/20 01:15:00 AM,98.360,10.357
244,06/14/20 01:30:00 AM,98.351,9.866
245,06/14/20 01:45:00 AM,98.368,9.275
246,06/14/20 02:00:00 AM,98.390,8.581
247,06/14/20 02:15:00 AM,98.416,7.983
248,06/14/20 02:30:00 AM,98.432,7.381
249,06/14/20 02:45:00 AM,98.446,6.978
250,06/14/20 03:00:00 AM,98.469,6.573
251,06/14/20 03:15:00 AM,98.465,6.471
252,06/14/20 03:30:00 AM,98.468,6.268
253,06/14/20 03:45:00 AM,98.458,6.268
254,06/14/20 04:00:00 AM,98.447,5.962
255,06/14/20 04:15:00 AM,98.454,5.655
256,06/14/20 04:30:00 AM,98.460,5.552
257,06/14/20 04:45:00 AM,98.447,5.450
258,06/14/20 05:00:00 AM,98.458,5.757
259,06/14/20 05:15:00 AM,98.450,6.064
260,06/14/20 05:30:00 AM,98.462,6.370
261,06/14/20 05:45:00 AM,98.496,6.775
262,06/14/20 06:00:00 AM,98.511,7.179
263,06/14/20 06:15:00 AM,98.509,8.182
264,06/14/20 06:30:00 AM,98.544,9.373
265,06/14/20 06:45:00 AM,98.554,10.161
266,06/14/20 07:00:00 AM,98.562,10.651
267,06/14/20 07:15:00 AM,98.574,11.236
268,06/14/20 07:30:00 AM,98.582,12.207
269,06/14/20 07:45:00 AM,98.581,12.980
270,06/14/20 08:00:00 AM,98.568,13.654
271,06/14/20 08:15:00 AM,98.573,15.091
272,06/14/20 08:30:00 AM,98.590,16.046
273,06/14/20 08:45:00 AM,98.602,15.855
274,06/14/20 09:00:00 AM,98.594,15.378
275,06/14/20 09:15:00 AM,98.608,14.996
276,06/14/20 09:30:00 AM,98.603,14.325
277,06/14/20 09:45:00 AM,98.635,13.654
278,06/14/20 10:00:00 AM,98.633,13.076
279,06/14/20 10:15:00 AM,98.628,12.690
280,06/14/20 10:30:00 AM,98.646,12.401
281,06/14/20 10:45:00 AM,98.649,12.207
282,06/14/20 11:00:00 AM,98.655,12.110
283,06/14/20 11:15:00 AM,98.655,12.110
284,06/14/20 11:30:00 AM,98.658,12.207
285,06/14/20 11:45:00 AM,98.652,12.304
286,06/14/20 12:00:00 PM,98.679,12.497
287,06/14/20 12:15:00 PM,98.705,12.690
288,06/14/20 12:30:00 PM,98.704,13.173
289,06/14/20 12:45:00 PM,98.696,13.750
290,06/14/20 01:00:00 PM,98.715,14.517
291,06/14/20 01:15:00 PM,98.721,15.187
292,06/14/20 01:30:00 PM,98.707,15.855
293,06/14/20 01:45:00 PM,98.699,16.141
294,06/14/20 02:00:00 PM,98.687,16.332
295,06/14/20 02:15:00 PM,98.678,16.618
296,06/14/20 02:30:00 PM,98.681,17.475
297,06/14/20 02:45:00 PM,98.646,17.570
298,06/14/20 03:00:00 PM,98.651,17.950
299,06/14/20 03:15:00 PM,98.645,18.045
300,06/14/20 03:30:00 PM,98.624,18.521
301,06/14/20 03:45:00 PM,98.611,18.426
302,06/14/20 04:00:00 PM,98.601,18.426
303,06/14/20 04:15:00 PM,98.599,18.616
304,06/14/20 04:30:00 PM,98.578,19.092
305,06/14/20 04:45:00 PM,98.567,19.567
306,06/14/20 05:00:00 PM,98.548,19.853
307,06/14/20 05:15:00 PM,98.540,20.138
308,06/14/20 05:30:00 PM,98.537,20.329
309,06/14/20 05:45:00 PM,98.538,20.615
310,06/14/20 06:00:00 PM,98.533,20.996
311,06/14/20 06:15:00 PM,98.531,21.187
312,06/14/20 06:30:00 PM,98.534,21.282
313,06/14/20 06:45:00 PM,98.522,21.473
314,06/14/20 07:00:00 PM,98.539,21.664
315,06/14/20 07:15:00 PM,98.536,21.855
316,06/14/20 07:30:00 PM,98.537,22.142
317,06/14/20 07:45:00 PM,98.518,22.142
318,06/14/20 08:00:00 PM,98.505,22.046
319,06/14/20 08:15:00 PM,98.496,22.333
320,06/14/20 08:30:00 PM,98.502,23.004
321,06/14/20 08:45:00 PM,98.515,23.100
322,06/14/20 09:00:00 PM,98.540,24.545
323,06/14/20 09:15:00 PM,98.549,25.805
324,06/14/20 09:30:00 PM,98.551,24.835
325,06/14/20 09:45:00 PM,98.534,22.812
326,06/14/20 10:00:00 PM,98.543,20.996
327,06/14/20 10:15:00 PM,98.545,18.996
328,06/14/20 10:30:00 PM,98.556,17.475
329,06/14/20 10:45:00 PM,98.543,16.332
330,06/14/20 11:00:00 PM,98.546,15.378
331,06/14/20 11:15:00 PM,98.540,14.709
332,06/14/20 11:30:00 PM,98.540,13.942
