Sample_ID,Order,TDP_uM,Abs,,,Recovery,DateTime,Site,Year
804H_Dup,30,0.38,0.0073,,,-7.72,11/16/2022 16:59,MAST,2022
518H,31,0.278,0.0055,,,0,11/16/2022 17:00,MAST,2022
518H_Dup,31,0.312,0.0061,,,-11.49,11/16/2022 17:00,MAST,2022
1311H,32,0.363,0.007,,,0,11/16/2022 17:01,MAST,2022
1311H_Dup,32,0.368,0.0071,,,-1.55,11/16/2022 17:02,MAST,2022
771H,33,0.25,0.005,,,0,11/16/2022 17:02,MAST,2022
771H_Dup,33,0.278,0.0055,,,-10.7,11/16/2022 17:03,MAST,2022
BLANK 2,34,0.097,0.0023,,,0,11/16/2022 17:03,MAST,2022
BLANK 2_Dup,34,0.058,0.0016,,,51,11/16/2022 17:04,MAST,2022
1880H,35,0.092,0.0022,,,0,11/16/2022 17:04,SHOV,2022
1880H_Dup,35,0.103,0.0024,,,-11.61,11/16/2022 17:05,SHOV,2022
1316H,36,0.126,0.0028,,,0,11/16/2022 17:06,SHOV,2022
1316H_Dup,36,0.046,0.0014,,,91.95,11/16/2022 17:06,SHOV,2022
BLNK,R 4,0.007,0.0007,0.002,,345.99,11/16/2022 17:07,SHOV,2022
CP2,ST 3,***,0.0372,0.323,"><,LH",***,11/16/2022 17:08,SHOV,2022
CSRP,ST 2,0.391,0.0075,0.323,H,121.06,11/16/2022 17:08,SHOV,2022
1317H,37,0.086,0.0021,,,0,11/16/2022 17:09,SHOV,2022
1317H_Dup,37,0.126,0.0028,,,-37.38,11/16/2022 17:09,SHOV,2022
10755,38,0.103,0.0024,,,0,11/16/2022 17:10,SHOV,2022
10755_Dup,38,0.188,0.0039,,,-58.31,11/16/2022 17:10,SHOV,2022
1746H,39,0.08,0.002,,,0,11/16/2022 17:11,SHOV,2022
1746H_Dup,39,0.075,0.0019,,,7.29,11/16/2022 17:12,SHOV,2022
9466,40,0.114,0.0026,,,0,11/16/2022 17:12,SHOV,2022
9466_Dup,40,0.097,0.0023,,,16.02,11/16/2022 17:13,SHOV,2022
1540H,41,0.126,0.0028,,,0,11/16/2022 17:14,SHOV,2022
1540H_Dup,41,0.182,0.0038,,,-36.73,11/16/2022 17:14,SHOV,2022
7552,42,0.08,0.002,,,0,11/16/2022 17:15,SHOV,2022
7552_Dup,42,0.069,0.0018,,,15.12,11/16/2022 17:15,SHOV,2022
1515H,43,0.131,0.0029,,,0,11/16/2022 17:16,SHOV,2022
1515H_Dup,43,0.114,0.0026,,,13.81,11/16/2022 17:16,SHOV,2022
1522H,44,0.12,0.0027,,,0,11/16/2022 17:17,SHOV,2022
1522H_Dup,44,0.12,0.0027,,,0,11/16/2022 17:18,SHOV,2022
1852H,45,0.114,0.0026,,,0,11/16/2022 17:18,SHOV,2022
1852H_Dup,45,0.109,0.0025,,,5.07,11/16/2022 17:19,SHOV,2022
1315H,46,0.092,0.0022,,,0,11/16/2022 17:20,SHOV,2022
1315H_Dup,46,0.063,0.0017,,,36.43,11/16/2022 17:20,SHOV,2022
EX QC 0.323 uM 2,47,0.351,0.0068,,,0,11/16/2022 17:21,,
EX QC 0.323 uM 2_Dup,47,0.329,0.0064,,,6.64,11/16/2022 17:21,,
B-P 0.324 uM P 2,48,0.397,0.0076,,,0,11/16/2022 17:22,,
B-P 0.324 uM P 2_Dup,48,0.318,0.0062,,,22.14,11/16/2022 17:22,,
BLNK,R 4,0.013,0.0008,0.002,,628.43,11/16/2022 17:23,,
CP2,ST 3,***,0.0383,0.323,"><,LH",***,11/16/2022 17:24,,
CSRP,ST 2,0.368,0.0071,0.323,H,114.07,11/16/2022 17:24,,
