Site Name ,MOOS,,,
Site Number ,4,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,11617,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
1,10/6/2020, 13:15:00,27110,27110
2,10/6/2020, 13:30:00,8553,8553
3,10/6/2020, 13:45:00,5670,5670
4,10/6/2020, 14:00:00,22338,22338
5,10/6/2020, 14:15:00,44752,44752
6,10/6/2020, 14:30:00,14554,14554
7,10/6/2020, 14:45:00,29960,29960
8,10/6/2020, 15:00:00,43584,43584
9,10/6/2020, 15:15:00,18151,18151
10,10/6/2020, 15:30:00,15698,15698
11,10/6/2020, 15:45:00,8517,8517
12,10/6/2020, 16:00:00,3925,3925
13,10/6/2020, 16:15:00,2801,2801
14,10/6/2020, 16:30:00,2451,2451
15,10/6/2020, 16:45:00,3391,3391
16,10/6/2020, 17:00:00,3530,3530
17,10/6/2020, 17:15:00,2995,2995
18,10/6/2020, 17:30:00,4159,4159
19,10/6/2020, 17:45:00,3382,3382
20,10/6/2020, 18:00:00,3234,3234
21,10/6/2020, 18:15:00,3154,3154
22,10/6/2020, 18:30:00,2596,2596
23,10/6/2020, 18:45:00,2324,2324
24,10/6/2020, 19:00:00,2343,2343
25,10/6/2020, 19:15:00,1946,1946
26,10/6/2020, 19:30:00,2116,2116
27,10/6/2020, 19:45:00,1935,1935
28,10/6/2020, 20:00:00,1876,1876
29,10/6/2020, 20:15:00,2027,2027
30,10/6/2020, 20:30:00,2011,2011
31,10/6/2020, 20:45:00,2948,2948
32,10/6/2020, 21:00:00,3282,3282
33,10/6/2020, 21:15:00,2439,2439
34,10/6/2020, 21:30:00,2455,2455
35,10/6/2020, 21:45:00,1933,1933
36,10/6/2020, 22:00:00,1934,1934
37,10/6/2020, 22:15:00,1368,1368
38,10/6/2020, 22:30:00,925,925
39,10/6/2020, 22:45:00,520,520
40,10/6/2020, 23:00:00,322,322
41,10/6/2020, 23:15:00,265,265
42,10/6/2020, 23:30:00,207,207
43,10/6/2020, 23:45:00,186,186
44,10/6/2020, 24:00:00,130,130
45,11/6/2020, 00:15:00,90,90
46,11/6/2020, 00:30:00,64,64
47,11/6/2020, 00:45:00,53,53
48,11/6/2020, 01:00:00,39,39
49,11/6/2020, 01:15:00,36,36
50,11/6/2020, 01:30:00,36,36
51,11/6/2020, 01:45:00,35,35
52,11/6/2020, 02:00:00,36,36
53,11/6/2020, 02:15:00,43,43
54,11/6/2020, 02:30:00,54,54
55,11/6/2020, 02:45:00,61,61
56,11/6/2020, 03:00:00,70,70
57,11/6/2020, 03:15:00,95,95
58,11/6/2020, 03:30:00,124,124
59,11/6/2020, 03:45:00,169,169
60,11/6/2020, 04:00:00,237,237
61,11/6/2020, 04:15:00,342,342
62,11/6/2020, 04:30:00,463,463
63,11/6/2020, 04:45:00,518,518
64,11/6/2020, 05:00:00,620,620
65,11/6/2020, 05:15:00,684,684
66,11/6/2020, 05:30:00,995,995
67,11/6/2020, 05:45:00,1451,1451
68,11/6/2020, 06:00:00,1757,1757
69,11/6/2020, 06:15:00,1762,1762
70,11/6/2020, 06:30:00,1944,1944
71,11/6/2020, 06:45:00,2311,2311
72,11/6/2020, 07:00:00,2336,2336
73,11/6/2020, 07:15:00,3800,3800
74,11/6/2020, 07:30:00,3502,3502
75,11/6/2020, 07:45:00,1967,1967
76,11/6/2020, 08:00:00,2161,2161
77,11/6/2020, 08:15:00,2736,2736
78,11/6/2020, 08:30:00,3623,3623
79,11/6/2020, 08:45:00,4653,4653
80,11/6/2020, 09:00:00,3494,3494
81,11/6/2020, 09:15:00,3635,3635
82,11/6/2020, 09:30:00,4692,4692
83,11/6/2020, 09:45:00,5179,5179
84,11/6/2020, 10:00:00,5521,5521
85,11/6/2020, 10:15:00,5550,5550
86,11/6/2020, 10:30:00,7201,7201
87,11/6/2020, 10:45:00,10013,10013
88,11/6/2020, 11:00:00,14961,14961
89,11/6/2020, 11:15:00,14019,14019
90,11/6/2020, 11:30:00,15414,15414
91,11/6/2020, 11:45:00,17514,17514
92,11/6/2020, 12:00:00,23365,23365
93,11/6/2020, 12:15:00,15825,15825
94,11/6/2020, 12:30:00,35329,35329
95,11/6/2020, 12:45:00,33108,33108
96,11/6/2020, 13:00:00,13121,13121
97,11/6/2020, 13:15:00,27334,27334
98,11/6/2020, 13:30:00,42487,42487
99,11/6/2020, 13:45:00,42346,42346
100,11/6/2020, 14:00:00,42470,42470
101,11/6/2020, 14:15:00,40045,40045
102,11/6/2020, 14:30:00,12298,12298
103,11/6/2020, 14:45:00,27527,27527
104,11/6/2020, 15:00:00,39508,39508
105,11/6/2020, 15:15:00,12800,12800
106,11/6/2020, 15:30:00,6495,6495
107,11/6/2020, 15:45:00,4550,4550
108,11/6/2020, 16:00:00,3249,3249
109,11/6/2020, 16:15:00,3603,3603
110,11/6/2020, 16:30:00,3686,3686
111,11/6/2020, 16:45:00,4446,4446
112,11/6/2020, 17:00:00,4314,4314
113,11/6/2020, 17:15:00,3966,3966
114,11/6/2020, 17:30:00,5279,5279
115,11/6/2020, 17:45:00,4800,4800
116,11/6/2020, 18:00:00,4754,4754
117,11/6/2020, 18:15:00,4695,4695
118,11/6/2020, 18:30:00,5468,5468
119,11/6/2020, 18:45:00,5910,5910
120,11/6/2020, 19:00:00,5349,5349
121,11/6/2020, 19:15:00,4260,4260
122,11/6/2020, 19:30:00,3740,3740
123,11/6/2020, 19:45:00,3085,3085
124,11/6/2020, 20:00:00,2751,2751
125,11/6/2020, 20:15:00,2384,2384
126,11/6/2020, 20:30:00,1808,1808
127,11/6/2020, 20:45:00,1429,1429
128,11/6/2020, 21:00:00,1334,1334
129,11/6/2020, 21:15:00,1150,1150
130,11/6/2020, 21:30:00,1251,1251
131,11/6/2020, 21:45:00,1261,1261
132,11/6/2020, 22:00:00,1071,1071
133,11/6/2020, 22:15:00,901,901
134,11/6/2020, 22:30:00,696,696
135,11/6/2020, 22:45:00,568,568
136,11/6/2020, 23:00:00,507,507
137,11/6/2020, 23:15:00,423,423
138,11/6/2020, 23:30:00,341,341
139,11/6/2020, 23:45:00,268,268
140,11/6/2020, 24:00:00,206,206
141,12/6/2020, 00:15:00,159,159
142,12/6/2020, 00:30:00,115,115
143,12/6/2020, 00:45:00,87,87
144,12/6/2020, 01:00:00,64,64
145,12/6/2020, 01:15:00,50,50
146,12/6/2020, 01:30:00,44,44
147,12/6/2020, 01:45:00,43,43
148,12/6/2020, 02:00:00,45,45
149,12/6/2020, 02:15:00,46,46
150,12/6/2020, 02:30:00,53,53
151,12/6/2020, 02:45:00,61,61
152,12/6/2020, 03:00:00,79,79
153,12/6/2020, 03:15:00,108,108
154,12/6/2020, 03:30:00,149,149
155,12/6/2020, 03:45:00,206,206
156,12/6/2020, 04:00:00,266,266
157,12/6/2020, 04:15:00,383,383
158,12/6/2020, 04:30:00,517,517
159,12/6/2020, 04:45:00,626,626
160,12/6/2020, 05:00:00,745,745
161,12/6/2020, 05:15:00,931,931
162,12/6/2020, 05:30:00,1182,1182
163,12/6/2020, 05:45:00,1369,1369
164,12/6/2020, 06:00:00,1494,1494
165,12/6/2020, 06:15:00,1594,1594
166,12/6/2020, 06:30:00,1780,1780
167,12/6/2020, 06:45:00,1654,1654
168,12/6/2020, 07:00:00,1426,1426
169,12/6/2020, 07:15:00,1869,1869
170,12/6/2020, 07:30:00,2504,2504
171,12/6/2020, 07:45:00,2644,2644
172,12/6/2020, 08:00:00,3779,3779
173,12/6/2020, 08:15:00,4940,4940
174,12/6/2020, 08:30:00,5667,5667
175,12/6/2020, 08:45:00,5723,5723
176,12/6/2020, 09:00:00,6032,6032
177,12/6/2020, 09:15:00,7206,7206
178,12/6/2020, 09:30:00,9765,9765
179,12/6/2020, 09:45:00,10904,10904
180,12/6/2020, 10:00:00,8762,8762
181,12/6/2020, 10:15:00,5908,5908
182,12/6/2020, 10:30:00,5713,5713
183,12/6/2020, 10:45:00,6968,6968
184,12/6/2020, 11:00:00,18614,18614
185,12/6/2020, 11:15:00,21516,21516
186,12/6/2020, 11:30:00,10878,10878
187,12/6/2020, 11:45:00,11441,11441
188,12/6/2020, 12:00:00,17983,17983
189,12/6/2020, 12:15:00,15934,15934
190,12/6/2020, 12:30:00,17175,17175
191,12/6/2020, 12:45:00,26084,26084
192,12/6/2020, 13:00:00,14440,14440
193,12/6/2020, 13:15:00,20805,20805
194,12/6/2020, 13:30:00,33172,33172
195,12/6/2020, 13:45:00,26666,26666
196,12/6/2020, 14:00:00,32504,32504
197,12/6/2020, 14:15:00,33760,33760
198,12/6/2020, 14:30:00,16867,16867
199,12/6/2020, 14:45:00,13145,13145
200,12/6/2020, 15:00:00,14955,14955
201,12/6/2020, 15:15:00,10487,10487
202,12/6/2020, 15:30:00,9596,9596
203,12/6/2020, 15:45:00,9251,9251
204,12/6/2020, 16:00:00,9315,9315
205,12/6/2020, 16:15:00,9647,9647
206,12/6/2020, 16:30:00,9034,9034
207,12/6/2020, 16:45:00,8264,8264
208,12/6/2020, 17:00:00,7083,7083
209,12/6/2020, 17:15:00,6752,6752
210,12/6/2020, 17:30:00,7180,7180
211,12/6/2020, 17:45:00,6963,6963
212,12/6/2020, 18:00:00,6290,6290
213,12/6/2020, 18:15:00,5495,5495
214,12/6/2020, 18:30:00,4464,4464
215,12/6/2020, 18:45:00,3705,3705
216,12/6/2020, 19:00:00,3428,3428
217,12/6/2020, 19:15:00,3249,3249
218,12/6/2020, 19:30:00,2774,2774
219,12/6/2020, 19:45:00,2601,2601
220,12/6/2020, 20:00:00,2152,2152
221,12/6/2020, 20:15:00,1688,1688
222,12/6/2020, 20:30:00,1478,1478
223,12/6/2020, 20:45:00,1373,1373
224,12/6/2020, 21:00:00,1284,1284
225,12/6/2020, 21:15:00,1199,1199
226,12/6/2020, 21:30:00,1049,1049
227,12/6/2020, 21:45:00,986,986
228,12/6/2020, 22:00:00,928,928
229,12/6/2020, 22:15:00,886,886
230,12/6/2020, 22:30:00,890,890
231,12/6/2020, 22:45:00,916,916
232,12/6/2020, 23:00:00,1045,1045
233,12/6/2020, 23:15:00,943,943
234,12/6/2020, 23:30:00,591,591
235,12/6/2020, 23:45:00,358,358
236,12/6/2020, 24:00:00,240,240
237,13/06/2020 , 00:15:00,164,164
238,13/06/2020 , 00:30:00,154,154
239,13/06/2020 , 00:45:00,133,133
240,13/06/2020 , 01:00:00,127,127
241,13/06/2020 , 01:15:00,100,100
242,13/06/2020 , 01:30:00,75,75
243,13/06/2020 , 01:45:00,50,50
244,13/06/2020 , 02:00:00,48,48
245,13/06/2020 , 02:15:00,50,50
246,13/06/2020 , 02:30:00,43,43
247,13/06/2020 , 02:45:00,49,49
248,13/06/2020 , 03:00:00,81,81
249,13/06/2020 , 03:15:00,124,124
250,13/06/2020 , 03:30:00,152,152
251,13/06/2020 , 03:45:00,215,215
252,13/06/2020 , 04:00:00,312,312
253,13/06/2020 , 04:15:00,433,433
254,13/06/2020 , 04:30:00,552,552
255,13/06/2020 , 04:45:00,682,682
256,13/06/2020 , 05:00:00,794,794
257,13/06/2020 , 05:15:00,855,855
258,13/06/2020 , 05:30:00,1069,1069
259,13/06/2020 , 05:45:00,1407,1407
260,13/06/2020 , 06:00:00,1528,1528
261,13/06/2020 , 06:15:00,1971,1971
262,13/06/2020 , 06:30:00,2022,2022
263,13/06/2020 , 06:45:00,2026,2026
264,13/06/2020 , 07:00:00,2599,2599
265,13/06/2020 , 07:15:00,2739,2739
266,13/06/2020 , 07:30:00,1925,1925
267,13/06/2020 , 07:45:00,1728,1728
268,13/06/2020 , 08:00:00,1847,1847
269,13/06/2020 , 08:15:00,1979,1979
270,13/06/2020 , 08:30:00,2122,2122
271,13/06/2020 , 08:45:00,2861,2861
272,13/06/2020 , 09:00:00,3398,3398
273,13/06/2020 , 09:15:00,5121,5121
274,13/06/2020 , 09:30:00,6904,6904
275,13/06/2020 , 09:45:00,6635,6635
276,13/06/2020 , 10:00:00,6910,6910
277,13/06/2020 , 10:15:00,6036,6036
278,13/06/2020 , 10:30:00,5237,5237
279,13/06/2020 , 10:45:00,6709,6709
280,13/06/2020 , 11:00:00,16143,16143
281,13/06/2020 , 11:15:00,22456,22456
282,13/06/2020 , 11:30:00,8956,8956
283,13/06/2020 , 11:45:00,8868,8868
284,13/06/2020 , 12:00:00,9453,9453
285,13/06/2020 , 12:15:00,9624,9624
286,13/06/2020 , 12:30:00,12419,12419
287,13/06/2020 , 12:45:00,13302,13302
288,13/06/2020 , 13:00:00,9829,9829
289,13/06/2020 , 13:15:00,14231,14231
290,13/06/2020 , 13:30:00,37205,37205
291,13/06/2020 , 13:45:00,41759,41759
292,13/06/2020 , 14:00:00,42310,42310
293,13/06/2020 , 14:15:00,41605,41605
294,13/06/2020 , 14:30:00,15146,15146
295,13/06/2020 , 14:45:00,25004,25004
296,13/06/2020 , 15:00:00,39565,39565
297,13/06/2020 , 15:15:00,13749,13749
298,13/06/2020 , 15:30:00,9588,9588
299,13/06/2020 , 15:45:00,5549,5549
300,13/06/2020 , 16:00:00,9377,9377
301,13/06/2020 , 16:15:00,5658,5658
302,13/06/2020 , 16:30:00,1260,1260
303,13/06/2020 , 16:45:00,180,180
304,13/06/2020 , 17:00:00,125,125
305,13/06/2020 , 17:15:00,159,159
306,13/06/2020 , 17:30:00,259,259
307,13/06/2020 , 17:45:00,789,789
308,13/06/2020 , 18:00:00,1853,1853
309,13/06/2020 , 18:15:00,3700,3700
310,13/06/2020 , 18:30:00,3859,3859
311,13/06/2020 , 18:45:00,3779,3779
312,13/06/2020 , 19:00:00,3605,3605
313,13/06/2020 , 19:15:00,3529,3529
314,13/06/2020 , 19:30:00,3191,3191
315,13/06/2020 , 19:45:00,3018,3018
316,13/06/2020 , 20:00:00,2614,2614
317,13/06/2020 , 20:15:00,3420,3420
318,13/06/2020 , 20:30:00,3244,3244
319,13/06/2020 , 20:45:00,3071,3071
320,13/06/2020 , 21:00:00,2843,2843
321,13/06/2020 , 21:15:00,1901,1901
322,13/06/2020 , 21:30:00,1151,1151
323,13/06/2020 , 21:45:00,1343,1343
324,13/06/2020 , 22:00:00,955,955
325,13/06/2020 , 22:15:00,577,577
326,13/06/2020 , 22:30:00,710,710
327,13/06/2020 , 22:45:00,535,535
328,13/06/2020 , 23:00:00,470,470
329,13/06/2020 , 23:15:00,324,324
330,13/06/2020 , 23:30:00,271,271
331,13/06/2020 , 23:45:00,214,214
332,13/06/2020 , 24:00:00,145,145
333,14/06/2020 , 00:15:00,101,101
334,14/06/2020 , 00:30:00,69,69
335,14/06/2020 , 00:45:00,52,52
336,14/06/2020 , 01:00:00,43,43
337,14/06/2020 , 01:15:00,39,39
338,14/06/2020 , 01:30:00,38,38
339,14/06/2020 , 01:45:00,34,34
340,14/06/2020 , 02:00:00,33,33
341,14/06/2020 , 02:15:00,33,33
342,14/06/2020 , 02:30:00,38,38
343,14/06/2020 , 02:45:00,48,48
344,14/06/2020 , 03:00:00,60,60
345,14/06/2020 , 03:15:00,80,80
346,14/06/2020 , 03:30:00,110,110
347,14/06/2020 , 03:45:00,135,135
348,14/06/2020 , 04:00:00,209,209
349,14/06/2020 , 04:15:00,296,296
350,14/06/2020 , 04:30:00,402,402
351,14/06/2020 , 04:45:00,487,487
352,14/06/2020 , 05:00:00,725,725
353,14/06/2020 , 05:15:00,1072,1072
354,14/06/2020 , 05:30:00,1033,1033
355,14/06/2020 , 05:45:00,1247,1247
356,14/06/2020 , 06:00:00,1093,1093
357,14/06/2020 , 06:15:00,968,968
358,14/06/2020 , 06:30:00,1954,1954
359,14/06/2020 , 06:45:00,1538,1538
360,14/06/2020 , 07:00:00,1726,1726
361,14/06/2020 , 07:15:00,1515,1515
362,14/06/2020 , 07:30:00,2809,2809
363,14/06/2020 , 07:45:00,3649,3649
364,14/06/2020 , 08:00:00,3482,3482
365,14/06/2020 , 08:15:00,3394,3394
366,14/06/2020 , 08:30:00,5121,5121
367,14/06/2020 , 08:45:00,4535,4535
368,14/06/2020 , 09:00:00,2406,2406
369,14/06/2020 , 09:15:00,1336,1336
370,14/06/2020 , 09:30:00,1426,1426
371,14/06/2020 , 09:45:00,1538,1538
372,14/06/2020 , 10:00:00,1402,1402
373,14/06/2020 , 10:15:00,601,601
374,14/06/2020 , 10:30:00,409,409
375,14/06/2020 , 10:45:00,643,643
376,14/06/2020 , 11:00:00,874,874
377,14/06/2020 , 11:15:00,649,649
378,14/06/2020 , 11:30:00,528,528
379,14/06/2020 , 11:45:00,521,521
380,14/06/2020 , 12:00:00,585,585
381,14/06/2020 , 12:15:00,863,863
382,14/06/2020 , 12:30:00,1485,1485
383,14/06/2020 , 12:45:00,2381,2381
384,14/06/2020 , 13:00:00,3617,3617
385,14/06/2020 , 13:15:00,5491,5491
386,14/06/2020 , 13:30:00,8945,8945
387,14/06/2020 , 13:45:00,12833,12833
388,14/06/2020 , 14:00:00,9294,9294
389,14/06/2020 , 14:15:00,9962,9962
390,14/06/2020 , 14:30:00,7545,7545
391,14/06/2020 , 14:45:00,8488,8488
392,14/06/2020 , 15:00:00,27862,27862
393,14/06/2020 , 15:15:00,14207,14207
394,14/06/2020 , 15:30:00,6467,6467
395,14/06/2020 , 15:45:00,3338,3338
396,14/06/2020 , 16:00:00,2626,2626
397,14/06/2020 , 16:15:00,2580,2580
398,14/06/2020 , 16:30:00,2068,2068
399,14/06/2020 , 16:45:00,2423,2423
400,14/06/2020 , 17:00:00,2185,2185
401,14/06/2020 , 17:15:00,2351,2351
402,14/06/2020 , 17:30:00,4507,4507
403,14/06/2020 , 17:45:00,2267,2267
404,14/06/2020 , 18:00:00,2017,2017
405,14/06/2020 , 18:15:00,1962,1962
406,14/06/2020 , 18:30:00,1759,1759
407,14/06/2020 , 18:45:00,1698,1698
408,14/06/2020 , 19:00:00,1747,1747
409,14/06/2020 , 19:15:00,1571,1571
410,14/06/2020 , 19:30:00,2053,2053
411,14/06/2020 , 19:45:00,1430,1430
412,14/06/2020 , 20:00:00,1388,1388
413,14/06/2020 , 20:15:00,1336,1336
414,14/06/2020 , 20:30:00,1234,1234
415,14/06/2020 , 20:45:00,1170,1170
416,14/06/2020 , 21:00:00,1103,1103
417,14/06/2020 , 21:15:00,1038,1038
418,14/06/2020 , 21:30:00,966,966
419,14/06/2020 , 21:45:00,883,883
420,14/06/2020 , 22:00:00,830,830
421,14/06/2020 , 22:15:00,784,784
422,14/06/2020 , 22:30:00,761,761
423,14/06/2020 , 22:45:00,673,673
424,14/06/2020 , 23:00:00,635,635
425,14/06/2020 , 23:15:00,775,775
426,14/06/2020 , 23:30:00,614,614
427,14/06/2020 , 23:45:00,384,384
428,14/06/2020 , 24:00:00,240,240
429,15/06/2020 , 00:15:00,168,168
430,15/06/2020 , 00:30:00,113,113
431,15/06/2020 , 00:45:00,91,91
432,15/06/2020 , 01:00:00,93,93
433,15/06/2020 , 01:15:00,72,72
434,15/06/2020 , 01:30:00,50,50
435,15/06/2020 , 01:45:00,40,40
436,15/06/2020 , 02:00:00,42,42
437,15/06/2020 , 02:15:00,55,55
438,15/06/2020 , 02:30:00,68,68
439,15/06/2020 , 02:45:00,80,80
440,15/06/2020 , 03:00:00,97,97
441,15/06/2020 , 03:15:00,129,129
442,15/06/2020 , 03:30:00,153,153
443,15/06/2020 , 03:45:00,133,133
444,15/06/2020 , 04:00:00,157,157
445,15/06/2020 , 04:15:00,198,198
446,15/06/2020 , 04:30:00,216,216
447,15/06/2020 , 04:45:00,281,281
448,15/06/2020 , 05:00:00,393,393
449,15/06/2020 , 05:15:00,441,441
450,15/06/2020 , 05:30:00,528,528
451,15/06/2020 , 05:45:00,681,681
452,15/06/2020 , 06:00:00,777,777
453,15/06/2020 , 06:15:00,833,833
454,15/06/2020 , 06:30:00,1077,1077
455,15/06/2020 , 06:45:00,2287,2287
456,15/06/2020 , 07:00:00,2653,2653
457,15/06/2020 , 07:15:00,2246,2246
458,15/06/2020 , 07:30:00,2876,2876
459,15/06/2020 , 07:45:00,3724,3724
460,15/06/2020 , 08:00:00,4195,4195
461,15/06/2020 , 08:15:00,3724,3724
462,15/06/2020 , 08:30:00,4968,4968
463,15/06/2020 , 08:45:00,4730,4730
464,15/06/2020 , 09:00:00,5204,5204
465,15/06/2020 , 09:15:00,7246,7246
466,15/06/2020 , 09:30:00,5749,5749
467,15/06/2020 , 09:45:00,8922,8922
468,15/06/2020 , 10:00:00,5356,5356
469,15/06/2020 , 10:15:00,5501,5501
470,15/06/2020 , 10:30:00,5582,5582
471,15/06/2020 , 10:45:00,8241,8241
472,15/06/2020 , 11:00:00,9248,9248
473,15/06/2020 , 11:15:00,9063,9063
474,15/06/2020 , 11:30:00,12069,12069
475,15/06/2020 , 11:45:00,14044,14044
476,15/06/2020 , 12:00:00,24334,24334
477,15/06/2020 , 12:15:00,23629,23629
478,15/06/2020 , 12:30:00,12495,12495
479,15/06/2020 , 12:45:00,26502,26502
480,15/06/2020 , 13:00:00,17195,17195
481,15/06/2020 , 13:15:00,15111,15111
482,15/06/2020 , 13:30:00,8982,8982
483,15/06/2020 , 13:45:00,8172,8172
484,15/06/2020 , 14:00:00,15665,15665
485,15/06/2020 , 14:15:00,29278,29278
486,15/06/2020 , 14:30:00,17345,17345
487,15/06/2020 , 14:45:00,25449,25449
488,15/06/2020 , 15:00:00,39815,39815
489,15/06/2020 , 15:15:00,12412,12412
490,15/06/2020 , 15:30:00,9367,9367
491,15/06/2020 , 15:45:00,4254,4254
492,15/06/2020 , 16:00:00,3780,3780
493,15/06/2020 , 16:15:00,6055,6055
494,15/06/2020 , 16:30:00,9658,9658
495,15/06/2020 , 16:45:00,2925,2925
496,15/06/2020 , 17:00:00,2693,2693
497,15/06/2020 , 17:15:00,2675,2675
498,15/06/2020 , 17:30:00,1303,1303
499,15/06/2020 , 17:45:00,1003,1003
500,15/06/2020 , 18:00:00,1095,1095
501,15/06/2020 , 18:15:00,1308,1308
502,15/06/2020 , 18:30:00,1297,1297
503,15/06/2020 , 18:45:00,1441,1441
504,15/06/2020 , 19:00:00,1739,1739
505,15/06/2020 , 19:15:00,2344,2344
506,15/06/2020 , 19:30:00,2431,2431
507,15/06/2020 , 19:45:00,2523,2523
508,15/06/2020 , 20:00:00,2136,2136
509,15/06/2020 , 20:15:00,2282,2282
510,15/06/2020 , 20:30:00,2175,2175
511,15/06/2020 , 20:45:00,1959,1959
512,15/06/2020 , 21:00:00,1586,1586
513,15/06/2020 , 21:15:00,1712,1712
514,15/06/2020 , 21:30:00,1566,1566
515,15/06/2020 , 21:45:00,1246,1246
516,15/06/2020 , 22:00:00,1213,1213
517,15/06/2020 , 22:15:00,899,899
518,15/06/2020 , 22:30:00,614,614
519,15/06/2020 , 22:45:00,637,637
520,15/06/2020 , 23:00:00,340,340
521,15/06/2020 , 23:15:00,343,343
522,15/06/2020 , 23:30:00,317,317
523,15/06/2020 , 23:45:00,196,196
524,15/06/2020 , 24:00:00,139,139
525,16/06/2020 , 00:15:00,99,99
526,16/06/2020 , 00:30:00,62,62
527,16/06/2020 , 00:45:00,56,56
528,16/06/2020 , 01:00:00,48,48
529,16/06/2020 , 01:15:00,38,38
530,16/06/2020 , 01:30:00,31,31
531,16/06/2020 , 01:45:00,27,27
532,16/06/2020 , 02:00:00,27,27
533,16/06/2020 , 02:15:00,30,30
534,16/06/2020 , 02:30:00,34,34
535,16/06/2020 , 02:45:00,36,36
536,16/06/2020 , 03:00:00,40,40
537,16/06/2020 , 03:15:00,55,55
538,16/06/2020 , 03:30:00,68,68
539,16/06/2020 , 03:45:00,85,85
540,16/06/2020 , 04:00:00,111,111
541,16/06/2020 , 04:15:00,147,147
542,16/06/2020 , 04:30:00,185,185
543,16/06/2020 , 04:45:00,198,198
544,16/06/2020 , 05:00:00,276,276
545,16/06/2020 , 05:15:00,422,422
546,16/06/2020 , 05:30:00,589,589
547,16/06/2020 , 05:45:00,878,878
548,16/06/2020 , 06:00:00,1200,1200
549,16/06/2020 , 06:15:00,1480,1480
550,16/06/2020 , 06:30:00,1766,1766
551,16/06/2020 , 06:45:00,2277,2277
552,16/06/2020 , 07:00:00,2020,2020
553,16/06/2020 , 07:15:00,2250,2250
554,16/06/2020 , 07:30:00,2379,2379
555,16/06/2020 , 07:45:00,2081,2081
556,16/06/2020 , 08:00:00,1214,1214
557,16/06/2020 , 08:15:00,1567,1567
558,16/06/2020 , 08:30:00,1749,1749
559,16/06/2020 , 08:45:00,1983,1983
560,16/06/2020 , 09:00:00,1963,1963
561,16/06/2020 , 09:15:00,2054,2054
562,16/06/2020 , 09:30:00,2458,2458
563,16/06/2020 , 09:45:00,2703,2703
564,16/06/2020 , 10:00:00,2987,2987
565,16/06/2020 , 10:15:00,2924,2924
566,16/06/2020 , 10:30:00,2742,2742
567,16/06/2020 , 10:45:00,2847,2847
568,16/06/2020 , 11:00:00,15780,15780
569,16/06/2020 , 11:15:00,15026,15026
570,16/06/2020 , 11:30:00,4667,4667
571,16/06/2020 , 11:45:00,5345,5345
572,16/06/2020 , 12:00:00,14767,14767
573,16/06/2020 , 12:15:00,19232,19232
574,16/06/2020 , 12:30:00,20074,20074
575,16/06/2020 , 12:45:00,36712,36712
576,16/06/2020 , 13:00:00,14672,14672
577,16/06/2020 , 13:15:00,22890,22890
578,16/06/2020 , 13:30:00,42154,42154
579,16/06/2020 , 13:45:00,44109,44109
580,16/06/2020 , 14:00:00,31373,31373
581,16/06/2020 , 14:15:00,41739,41739
582,16/06/2020 , 14:30:00,9816,9816
583,16/06/2020 , 14:45:00,23625,23625
584,16/06/2020 , 15:00:00,39638,39638
585,16/06/2020 , 15:15:00,12387,12387
586,16/06/2020 , 15:30:00,8233,8233
587,16/06/2020 , 15:45:00,5153,5153
588,16/06/2020 , 16:00:00,4066,4066
589,16/06/2020 , 16:15:00,4744,4744
590,16/06/2020 , 16:30:00,6840,6840
591,16/06/2020 , 16:45:00,7427,7427
592,16/06/2020 , 17:00:00,5026,5026
593,16/06/2020 , 17:15:00,4681,4681
594,16/06/2020 , 17:30:00,6518,6518
595,16/06/2020 , 17:45:00,3850,3850
596,16/06/2020 , 18:00:00,4384,4384
597,16/06/2020 , 18:15:00,5388,5388
598,16/06/2020 , 18:30:00,3425,3425
599,16/06/2020 , 18:45:00,2626,2626
600,16/06/2020 , 19:00:00,4344,4344
601,16/06/2020 , 19:15:00,4900,4900
602,16/06/2020 , 19:30:00,2836,2836
603,16/06/2020 , 19:45:00,1942,1942
604,16/06/2020 , 20:00:00,1928,1928
605,16/06/2020 , 20:15:00,2615,2615
606,16/06/2020 , 20:30:00,2209,2209
607,16/06/2020 , 20:45:00,1773,1773
608,16/06/2020 , 21:00:00,1253,1253
609,16/06/2020 , 21:15:00,1119,1119
610,16/06/2020 , 21:30:00,1029,1029
611,16/06/2020 , 21:45:00,946,946
612,16/06/2020 , 22:00:00,867,867
613,16/06/2020 , 22:15:00,782,782
614,16/06/2020 , 22:30:00,695,695
615,16/06/2020 , 22:45:00,614,614
616,16/06/2020 , 23:00:00,530,530
617,16/06/2020 , 23:15:00,455,455
618,16/06/2020 , 23:30:00,400,400
619,16/06/2020 , 23:45:00,305,305
620,16/06/2020 , 24:00:00,239,239
621,17/06/2020 , 00:15:00,177,177
622,17/06/2020 , 00:30:00,128,128
623,17/06/2020 , 00:45:00,100,100
624,17/06/2020 , 01:00:00,80,80
625,17/06/2020 , 01:15:00,67,67
626,17/06/2020 , 01:30:00,59,59
627,17/06/2020 , 01:45:00,54,54
628,17/06/2020 , 02:00:00,54,54
629,17/06/2020 , 02:15:00,54,54
630,17/06/2020 , 02:30:00,61,61
631,17/06/2020 , 02:45:00,71,71
632,17/06/2020 , 03:00:00,89,89
