Date,Total width (cm):,Time,Distance (cm),Depth (cm),Velocity (m/s),Velocity 1/2 depth,Velocity 2X depth,Mean Vel (m/s)
220606,187,10:15,150,10,0.04,,,0.04
220606,,,160,13,0.06,,,0.06
220606,,,170,18,0.04,,,0.04
220606,,,180,19,0.07,,,0.07
220606,,,190,22,0.14,,,0.14
220606,,,200,22,0.16,,,0.16
220606,,,210,22,0.14,,,0.14
220606,,,220,22,0.16,,,0.16
220606,,,230,20,0.14,,,0.14
220606,,,240,23,0.13,,,0.13
220606,,,250,24,0.13,,,0.13
220606,,,260,23,0.09,,,0.09
220606,,,270,23,0.09,,,0.09
220606,,,280,21,0.14,,,0.14
220606,,,290,22,0.08,,,0.08
220606,,,300,23,0.11,,,0.11
220606,,,310,24,0.12,,,0.12
220606,,,320,24,0.12,,,0.12
220606,,,330,27,0.11,,,0.11
220620,220,9:30,95,70,0.1,,,0.1
220620,,,110,70,0.13,,,0.13
220620,,,125,72,0.25,,,0.25
220620,,,140,74,0.39,,,0.39
220620,,,155,76,,0.44,0.31,0.375
220620,,,170,76,,0.31,0.34,0.325
220620,,,185,74,0.47,,,0.47
220620,,,200,76,,0.13,0.38,0.255
220620,,,215,76,,1.03,0.4,0.715
220620,,,230,76,,0.81,1.01,0.91
220620,,,245,76,,1.04,0.77,0.905
220620,,,260,74,0.97,,,0.97
220620,,,275,76,,0.92,0.82,0.87
220620,,,290,76,,0.87,0.42,0.645
220624,180,10:15,125,24,0.05,,,0.05
220624,,,140,28,0.27,,,0.27
220624,,,155,28,0.3,,,0.3
220624,,,170,28,0.26,,,0.26
220624,,,185,28,0.26,,,0.26
220624,,,200,28,0.25,,,0.25
220624,,,215,32,0.22,,,0.22
220624,,,230,32,0.21,,,0.21
220624,,,245,23,0.21,,,0.21
220624,,,260,28,0.2,,,0.2
220624,,,275,30,0.22,,,0.22
220624,,,290,30,0.23,,,0.23
220627,190,9:00,120,16,0.09,,,0.09
220627,,,130,13,0.09,,,0.09
220627,,,140,18,0.03,,,0.03
220627,,,150,18,0.04,,,0.04
220627,,,160,20,0.08,,,0.08
220627,,,170,25,0.15,,,0.15
220627,,,180,24,0.23,,,0.23
220627,,,190,22,0.21,,,0.21
220627,,,200,20,0.17,,,0.17
220627,,,210,28,0.13,,,0.13
220627,,,220,32,0.17,,,0.17
220627,,,230,25,0.18,,,0.18
220627,,,240,24,0.18,,,0.18
220627,,,250,22,0.16,,,0.16
220627,,,260,20,0.16,,,0.16
220627,,,270,18,0.15,,,0.15
220627,,,280,20,0.18,,,0.18
220627,,,290,21,0.18,,,0.18
220627,,,300,20,0.18,,,0.18
220627,,,310,17,0.2,,,0.2
220711,190,9:30,90,17,0.03,,,0.03
220711,,,105,19,0.03,,,0.03
220711,,,120,22,0.03,,,0.03
220711,,,135,22,0.19,,,0.19
220711,,,150,20,0.17,,,0.17
220711,,,165,21,0.14,,,0.14
220711,,,180,25,0.12,,,0.12
220711,,,195,27,0.11,,,0.11
220711,,,210,25,0.1,,,0.1
220711,,,225,26,0.09,,,0.09
220711,,,240,26,0.09,,,0.09
220711,,,255,25,0.08,,,0.08
220711,,,270,23,0.1,,,0.1
220719,190,9:30,130,19,0.01,,,0.01
220719,,,140,20,0.08,,,0.08
220719,,,150,23,0.05,,,0.05
220719,,,160,23,0.16,,,0.16
220719,,,170,21,0.17,,,0.17
220719,,,180,20,0.15,,,0.15
220719,,,190,22,0.12,,,0.12
220719,,,200,26,0.1,,,0.1
220719,,,210,26,0.1,,,0.1
220719,,,220,32,0.05,,,0.05
220719,,,230,35,0.04,,,0.04
220719,,,240,32,0.08,,,0.08
220719,,,250,34,0.09,,,0.09
220719,,,260,34,0.09,,,0.09
220719,,,270,34,0.08,,,0.08
220719,,,280,33,0.06,,,0.06
220719,,,290,35,0.05,,,0.05
220719,,,300,30,0.06,,,0.06
220719,,,310,31,0.03,,,0.03
220719,,,320,30,0.05,,,0.05
220801,190,9:30,130,16,0.05,,,0.05
220801,,,140,20,0.03,,,0.03
220801,,,150,19,0.13,,,0.13
220801,,,160,22,0.17,,,0.17
220801,,,170,22,0.18,,,0.18
220801,,,180,22,0.18,,,0.18
220801,,,190,22,0.16,,,0.16
220801,,,200,14,0.14,,,0.14
220801,,,210,26,0.11,,,0.11
220801,,,220,27,0.11,,,0.11
220801,,,230,26,0.11,,,0.11
220801,,,240,27,0.1,,,0.1
220801,,,250,27,0.09,,,0.09
220801,,,260,27,0.09,,,0.09
220801,,,270,28,0.09,,,0.09
220801,,,280,26,0.08,,,0.08
220801,,,290,26,0.08,,,0.08
220801,,,300,24,0.07,,,0.07
220801,,,310,25,0.06,,,0.06
220803,200,10:30,130,16,0.35,,,0.35
220803,,,140,15,0.19,,,0.19
220803,,,150,16,0.16,,,0.16
220803,,,160,19,0.26,,,0.26
220803,,,170,19,0.3,,,0.3
220803,,,180,19,0.34,,,0.34
220803,,,190,18,0.37,,,0.37
220803,,,200,16,0.36,,,0.36
220803,,,210,17,0.33,,,0.33
220803,,,220,18,0.33,,,0.33
220803,,,230,20,0.31,,,0.31
220803,,,240,21,0.29,,,0.29
220803,,,250,20,0.3,,,0.3
220803,,,260,19,0.27,,,0.27
220803,,,270,20,0.27,,,0.27
220803,,,280,21,0.25,,,0.25
220803,,,290,21,0.24,,,0.24
220803,,,300,20,0.23,,,0.23
220803,,,310,30,0.13,,,0.13
220817,210,9:15,130,21,0.06,,,0.06
220817,,,145,23,0.14,,,0.14
220817,,,160,26,0.25,,,0.25
220817,,,175,24,0.26,,,0.26
220817,,,190,24,0.22,,,0.22
220817,,,205,24,0.23,,,0.23
220817,,,220,32,0.16,,,0.16
220817,,,235,32,0.17,,,0.17
220817,,,250,34,0.14,,,0.14
220817,,,265,34,0.14,,,0.14
220817,,,280,33,0.11,,,0.11
220817,,,295,30,0.11,,,0.11
220817,,,310,31,0.08,,,0.08
220817,,,325,30,0.04,,,0.04
220817,,,335,30,0.05,,,0.05
220829,210,9:30,130,19,0.05,,,0.05
220829,,,140,21,0.01,,,0.01
220829,,,150,21,0.13,,,0.13
220829,,,160,22,0.14,,,0.14
220829,,,170,21,0.19,,,0.19
220829,,,180,21,0.18,,,0.18
220829,,,190,22,0.2,,,0.2
220829,,,200,23,0.15,,,0.15
220829,,,210,24,0.16,,,0.16
220829,,,220,26,0.12,,,0.12
220829,,,230,27,0.11,,,0.11
220829,,,240,35,0.11,,,0.11
220829,,,250,34,0.1,,,0.1
220829,,,260,35,0.1,,,0.1
220829,,,270,36,0.09,,,0.09
220829,,,280,36,0.09,,,0.09
220829,,,290,36,0.06,,,0.06
220829,,,300,36,0.06,,,0.06
220829,,,310,36,0.06,,,0.06
220829,,,320,30,0.04,,,0.04
220829,,,330,30,0.06,,,0.06
220914,220,9:15,105,32,0.09,,,0.09
220914,,,120,34,0.17,,,0.17
220914,,,135,36,0.14,,,0.14
220914,,,150,36,0.14,,,0.14
220914,,,165,37,0.14,,,0.14
220914,,,180,38,0.13,,,0.13
220914,,,195,36,0.14,,,0.14
220914,,,205,36,0.14,,,0.14
220914,,,210,36,0.11,,,0.11
220914,,,225,31,0.17,,,0.17
220914,,,240,26,0.16,,,0.16
220914,,,255,24,0.19,,,0.19
220914,,,270,23,0.04,,,0.04
220914,,,285,27,0.23,,,0.23
220914,,,300,25,0.08,,,0.08
220926,215,10:00,150,21,0.04,,,0.04
220926,,,160,22,0.08,,,0.08
220926,,,170,24,0.1,,,0.1
220926,,,180,24,0.13,,,0.13
220926,,,190,27,0.25,,,0.25
220926,,,200,26,0.24,,,0.24
220926,,,210,24,0.2,,,0.2
220926,,,220,23,0.17,,,0.17
220926,,,230,23,0.18,,,0.18
220926,,,240,25,0.16,,,0.16
220926,,,250,29,0.14,,,0.14
220926,,,260,30,0.14,,,0.14
220926,,,270,34,0.13,,,0.13
220926,,,280,35,0.13,,,0.13
220926,,,290,35,0.14,,,0.14
220926,,,300,34,0.14,,,0.14
220926,,,310,33,0.15,,,0.15
220926,,,320,31,0.18,,,0.18
220926,,,330,31,0.15,,,0.15
220926,,,340,33,0.16,,,0.16
220926,,,350,40,0.2,,,0.2
220926,,,360,31,0.21,,,0.21
