Site Name ,POKE11619
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,11619


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

138,15/05/2019 , 22:00:00,1611,1611
139,15/05/2019 , 22:15:00,1254,1254
140,15/05/2019 , 22:30:00,996,996
141,15/05/2019 , 22:45:00,785,785
142,15/05/2019 , 23:00:00,542,542
143,15/05/2019 , 23:15:00,328,328
144,15/05/2019 , 23:30:00,189,189
145,15/05/2019 , 23:45:00,100,100
146,15/05/2019 , 24:00:00,50,50
147,16/05/2019 , 00:15:00,24,24
148,16/05/2019 , 00:30:00,12,12
149,16/05/2019 , 00:45:00,7,7
150,16/05/2019 , 01:00:00,4,4
151,16/05/2019 , 01:15:00,3,3
152,16/05/2019 , 01:30:00,2,2
153,16/05/2019 , 01:45:00,2,2
154,16/05/2019 , 02:00:00,2,2
155,16/05/2019 , 02:15:00,2,2
156,16/05/2019 , 02:30:00,2,2
157,16/05/2019 , 02:45:00,4,4
158,16/05/2019 , 03:00:00,7,7
159,16/05/2019 , 03:15:00,12,12
160,16/05/2019 , 03:30:00,24,24
161,16/05/2019 , 03:45:00,51,51
162,16/05/2019 , 04:00:00,102,102
163,16/05/2019 , 04:15:00,187,187
164,16/05/2019 , 04:30:00,327,327
165,16/05/2019 , 04:45:00,528,528
166,16/05/2019 , 05:00:00,771,771
167,16/05/2019 , 05:15:00,1043,1043
168,16/05/2019 , 05:30:00,1326,1326
169,16/05/2019 , 05:45:00,1605,1605
170,16/05/2019 , 06:00:00,1940,1940
171,16/05/2019 , 06:15:00,2936,2936
172,16/05/2019 , 06:30:00,4490,4490
173,16/05/2019 , 06:45:00,6002,6002
174,16/05/2019 , 07:00:00,7496,7496
175,16/05/2019 , 07:15:00,9194,9194
176,16/05/2019 , 07:30:00,11278,11278
177,16/05/2019 , 07:45:00,13486,13486
178,16/05/2019 , 08:00:00,15645,15645
179,16/05/2019 , 08:15:00,17489,17489
180,16/05/2019 , 08:30:00,19093,19093
181,16/05/2019 , 08:45:00,20673,20673
182,16/05/2019 , 09:00:00,22237,22237
183,16/05/2019 , 09:15:00,23771,23771
184,16/05/2019 , 09:30:00,25306,25306
185,16/05/2019 , 09:45:00,26762,26762
186,16/05/2019 , 10:00:00,28135,28135
187,16/05/2019 , 10:15:00,29474,29474
188,16/05/2019 , 10:30:00,30757,30757
189,16/05/2019 , 10:45:00,32074,32074
190,16/05/2019 , 11:00:00,33294,33294
191,16/05/2019 , 11:15:00,34384,34384
192,16/05/2019 , 11:30:00,35382,35382
193,16/05/2019 , 11:45:00,36170,36170
194,16/05/2019 , 12:00:00,36966,36966
195,16/05/2019 , 12:15:00,37869,37869
196,16/05/2019 , 12:30:00,38688,38688
197,16/05/2019 , 12:45:00,39321,39321
198,16/05/2019 , 13:00:00,39776,39776
199,16/05/2019 , 13:15:00,40116,40116
200,16/05/2019 , 13:30:00,40441,40441
201,16/05/2019 , 13:45:00,40593,40593
202,16/05/2019 , 14:00:00,40680,40680
203,16/05/2019 , 14:15:00,40736,40736
204,16/05/2019 , 14:30:00,40620,40620
205,16/05/2019 , 14:45:00,40391,40391
206,16/05/2019 , 15:00:00,40088,40088
207,16/05/2019 , 15:15:00,39621,39621
208,16/05/2019 , 15:30:00,38986,38986
209,16/05/2019 , 15:45:00,38486,38486
210,16/05/2019 , 16:00:00,37449,37449
211,16/05/2019 , 16:15:00,18316,18316
212,16/05/2019 , 16:30:00,24278,24278
213,16/05/2019 , 16:45:00,35080,35080
214,16/05/2019 , 17:00:00,33928,33928
215,16/05/2019 , 17:15:00,32769,32769
216,16/05/2019 , 17:30:00,31612,31612
217,16/05/2019 , 17:45:00,30914,30914
218,16/05/2019 , 18:00:00,31087,31087
219,16/05/2019 , 18:15:00,30243,30243
220,16/05/2019 , 18:30:00,27143,27143
221,16/05/2019 , 18:45:00,27155,27155
222,16/05/2019 , 19:00:00,26252,26252
223,16/05/2019 , 19:15:00,7467,7467
224,16/05/2019 , 19:30:00,11872,11872
225,16/05/2019 , 19:45:00,12599,12599
226,16/05/2019 , 20:00:00,10140,10140
227,16/05/2019 , 20:15:00,13703,13703
228,16/05/2019 , 20:30:00,7832,7832
229,16/05/2019 , 20:45:00,7316,7316
230,16/05/2019 , 21:00:00,2726,2726
231,16/05/2019 , 21:15:00,3566,3566
232,16/05/2019 , 21:30:00,4052,4052
233,16/05/2019 , 21:45:00,2774,2774
234,16/05/2019 , 22:00:00,2011,2011
235,16/05/2019 , 22:15:00,1406,1406
236,16/05/2019 , 22:30:00,1118,1118
237,16/05/2019 , 22:45:00,852,852
238,16/05/2019 , 23:00:00,530,530
239,16/05/2019 , 23:15:00,342,342
240,16/05/2019 , 23:30:00,230,230
241,16/05/2019 , 23:45:00,115,115
242,16/05/2019 , 24:00:00,54,54
243,17/05/2019 , 00:15:00,28,28
244,17/05/2019 , 00:30:00,15,15
245,17/05/2019 , 00:45:00,9,9
246,17/05/2019 , 01:00:00,3,3
247,17/05/2019 , 01:15:00,1,1
248,17/05/2019 , 01:30:00,0,0
249,17/05/2019 , 01:45:00,1,1
250,17/05/2019 , 02:00:00,0,0
251,17/05/2019 , 02:15:00,0,0
252,17/05/2019 , 02:30:00,1,1
253,17/05/2019 , 02:45:00,3,3
254,17/05/2019 , 03:00:00,5,5
255,17/05/2019 , 03:15:00,8,8
256,17/05/2019 , 03:30:00,14,14
257,17/05/2019 , 03:45:00,37,37
258,17/05/2019 , 04:00:00,71,71
259,17/05/2019 , 04:15:00,118,118
260,17/05/2019 , 04:30:00,149,149
261,17/05/2019 , 04:45:00,454,454
262,17/05/2019 , 05:00:00,767,767
263,17/05/2019 , 05:15:00,996,996
264,17/05/2019 , 05:30:00,1088,1088
265,17/05/2019 , 05:45:00,1434,1434
266,17/05/2019 , 06:00:00,1865,1865
267,17/05/2019 , 06:15:00,2512,2512
268,17/05/2019 , 06:30:00,2690,2690
269,17/05/2019 , 06:45:00,2658,2658
270,17/05/2019 , 07:00:00,2760,2760
271,17/05/2019 , 07:15:00,3361,3361
272,17/05/2019 , 07:30:00,4283,4283
273,17/05/2019 , 07:45:00,4682,4682
274,17/05/2019 , 08:00:00,7032,7032
275,17/05/2019 , 08:15:00,8699,8699
276,17/05/2019 , 08:30:00,9305,9305
277,17/05/2019 , 08:45:00,12820,12820
278,17/05/2019 , 09:00:00,14910,14910
279,17/05/2019 , 09:15:00,19307,19307
280,17/05/2019 , 09:30:00,21156,21156
281,17/05/2019 , 09:45:00,20158,20158
282,17/05/2019 , 10:00:00,24132,24132
283,17/05/2019 , 10:15:00,26779,26779
284,17/05/2019 , 10:30:00,24899,24899
285,17/05/2019 , 10:45:00,30363,30363
286,17/05/2019 , 11:00:00,32406,32406
287,17/05/2019 , 11:15:00,26387,26387
288,17/05/2019 , 11:30:00,30621,30621
289,17/05/2019 , 11:45:00,19932,19932
290,17/05/2019 , 12:00:00,43722,43722
291,17/05/2019 , 12:15:00,30586,30586
292,17/05/2019 , 12:30:00,22440,22440
293,17/05/2019 , 12:45:00,33320,33320
294,17/05/2019 , 13:00:00,36188,36188
295,17/05/2019 , 13:15:00,13692,13692
296,17/05/2019 , 13:30:00,14985,14985
297,17/05/2019 , 13:45:00,24356,24356
298,17/05/2019 , 14:00:00,22864,22864
299,17/05/2019 , 14:15:00,16543,16543
300,17/05/2019 , 14:30:00,14579,14579
301,17/05/2019 , 14:45:00,22348,22348
302,17/05/2019 , 15:00:00,23323,23323
303,17/05/2019 , 15:15:00,24179,24179
304,17/05/2019 , 15:30:00,11881,11881
305,17/05/2019 , 15:45:00,14010,14010
306,17/05/2019 , 16:00:00,23520,23520
307,17/05/2019 , 16:15:00,22020,22020
308,17/05/2019 , 16:30:00,27258,27258
309,17/05/2019 , 16:45:00,41328,41328
310,17/05/2019 , 17:00:00,29514,29514
311,17/05/2019 , 17:15:00,17301,17301
312,17/05/2019 , 17:30:00,19567,19567
313,17/05/2019 , 17:45:00,17142,17142
314,17/05/2019 , 18:00:00,19795,19795
315,17/05/2019 , 18:15:00,21132,21132
316,17/05/2019 , 18:30:00,14515,14515
317,17/05/2019 , 18:45:00,13528,13528
318,17/05/2019 , 19:00:00,14903,14903
319,17/05/2019 , 19:15:00,18564,18564
320,17/05/2019 , 19:30:00,11956,11956
321,17/05/2019 , 19:45:00,8630,8630
322,17/05/2019 , 20:00:00,6838,6838
323,17/05/2019 , 20:15:00,6774,6774
324,17/05/2019 , 20:30:00,6317,6317
325,17/05/2019 , 20:45:00,5429,5429
326,17/05/2019 , 21:00:00,6247,6247
327,17/05/2019 , 21:15:00,4853,4853
328,17/05/2019 , 21:30:00,3767,3767
329,17/05/2019 , 21:45:00,2227,2227
330,17/05/2019 , 22:00:00,1782,1782
331,17/05/2019 , 22:15:00,1472,1472
332,17/05/2019 , 22:30:00,1173,1173
333,17/05/2019 , 22:45:00,882,882
334,17/05/2019 , 23:00:00,603,603
335,17/05/2019 , 23:15:00,378,378
336,17/05/2019 , 23:30:00,221,221
337,17/05/2019 , 23:45:00,124,124
338,17/05/2019 , 24:00:00,66,66
339,18/05/2019 , 00:15:00,35,35
340,18/05/2019 , 00:30:00,19,19
341,18/05/2019 , 00:45:00,10,10
342,18/05/2019 , 01:00:00,6,6
343,18/05/2019 , 01:15:00,5,5
344,18/05/2019 , 01:30:00,4,4
345,18/05/2019 , 01:45:00,3,3
346,18/05/2019 , 02:00:00,3,3
347,18/05/2019 , 02:15:00,4,4
348,18/05/2019 , 02:30:00,5,5
349,18/05/2019 , 02:45:00,8,8
350,18/05/2019 , 03:00:00,11,11
351,18/05/2019 , 03:15:00,21,21
352,18/05/2019 , 03:30:00,36,36
353,18/05/2019 , 03:45:00,68,68
354,18/05/2019 , 04:00:00,134,134
355,18/05/2019 , 04:15:00,244,244
356,18/05/2019 , 04:30:00,430,430
357,18/05/2019 , 04:45:00,669,669
358,18/05/2019 , 05:00:00,909,909
359,18/05/2019 , 05:15:00,1242,1242
360,18/05/2019 , 05:30:00,1910,1910
361,18/05/2019 , 05:45:00,2054,2054
362,18/05/2019 , 06:00:00,2770,2770
363,18/05/2019 , 06:15:00,3563,3563
364,18/05/2019 , 06:30:00,5797,5797
365,18/05/2019 , 06:45:00,7806,7806
366,18/05/2019 , 07:00:00,8602,8602
367,18/05/2019 , 07:15:00,10007,10007
368,18/05/2019 , 07:30:00,11846,11846
369,18/05/2019 , 07:45:00,13624,13624
370,18/05/2019 , 08:00:00,9526,9526
371,18/05/2019 , 08:15:00,12470,12470
372,18/05/2019 , 08:30:00,15369,15369
373,18/05/2019 , 08:45:00,23972,23972
374,18/05/2019 , 09:00:00,23990,23990
375,18/05/2019 , 09:15:00,21233,21233
376,18/05/2019 , 09:30:00,24905,24905
377,18/05/2019 , 09:45:00,26101,26101
378,18/05/2019 , 10:00:00,19899,19899
379,18/05/2019 , 10:15:00,12262,12262
380,18/05/2019 , 10:30:00,19962,19962
381,18/05/2019 , 10:45:00,26584,26584
382,18/05/2019 , 11:00:00,36403,36403
383,18/05/2019 , 11:15:00,30210,30210
384,18/05/2019 , 11:30:00,28827,28827
385,18/05/2019 , 11:45:00,25156,25156
386,18/05/2019 , 12:00:00,25623,25623
387,18/05/2019 , 12:15:00,34660,34660
388,18/05/2019 , 12:30:00,37802,37802
389,18/05/2019 , 12:45:00,37703,37703
390,18/05/2019 , 13:00:00,33912,33912
391,18/05/2019 , 13:15:00,29074,29074
392,18/05/2019 , 13:30:00,40395,40395
393,18/05/2019 , 13:45:00,36339,36339
394,18/05/2019 , 14:00:00,36816,36816
395,18/05/2019 , 14:15:00,20678,20678
396,18/05/2019 , 14:30:00,18201,18201
397,18/05/2019 , 14:45:00,37886,37886
398,18/05/2019 , 15:00:00,17095,17095
399,18/05/2019 , 15:15:00,16806,16806
400,18/05/2019 , 15:30:00,11101,11101
401,18/05/2019 , 15:45:00,6960,6960
402,18/05/2019 , 16:00:00,4420,4420
403,18/05/2019 , 16:15:00,5921,5921
404,18/05/2019 , 16:30:00,6366,6366
