Site Name ,POKE
Site Number ,125
Logger ,Integrating Light Sensor
Logger Serial Number ,11619


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

138,08/06/2022 , 03:15:00,332,332
139,08/06/2022 , 03:30:00,431,431
140,08/06/2022 , 03:45:00,560,560
141,08/06/2022 , 04:00:00,717,717
142,08/06/2022 , 04:15:00,902,902
143,08/06/2022 , 04:30:00,1148,1148
144,08/06/2022 , 04:45:00,1571,1571
145,08/06/2022 , 05:00:00,2005,2005
146,08/06/2022 , 05:15:00,2592,2592
147,08/06/2022 , 05:30:00,3789,3789
148,08/06/2022 , 05:45:00,4266,4266
149,08/06/2022 , 06:00:00,5941,5941
150,08/06/2022 , 06:15:00,7082,7082
151,08/06/2022 , 06:30:00,8654,8654
152,08/06/2022 , 06:45:00,10536,10536
153,08/06/2022 , 07:00:00,12625,12625
154,08/06/2022 , 07:15:00,14811,14811
155,08/06/2022 , 07:30:00,16790,16790
156,08/06/2022 , 07:45:00,18366,18366
157,08/06/2022 , 08:00:00,19869,19869
158,08/06/2022 , 08:15:00,21357,21357
159,08/06/2022 , 08:30:00,22867,22867
160,08/06/2022 , 08:45:00,24351,24351
161,08/06/2022 , 09:00:00,25823,25823
162,08/06/2022 , 09:15:00,27237,27237
163,08/06/2022 , 09:30:00,28594,28594
164,08/06/2022 , 09:45:00,29913,29913
165,08/06/2022 , 10:00:00,31172,31172
166,08/06/2022 , 10:15:00,32387,32387
167,08/06/2022 , 10:30:00,33552,33552
168,08/06/2022 , 10:45:00,34644,34644
169,08/06/2022 , 11:00:00,35689,35689
170,08/06/2022 , 11:15:00,36646,36646
171,08/06/2022 , 11:30:00,37536,37536
172,08/06/2022 , 11:45:00,38373,38373
173,08/06/2022 , 12:00:00,39102,39102
174,08/06/2022 , 12:15:00,39739,39739
175,08/06/2022 , 12:30:00,40294,40294
176,08/06/2022 , 12:45:00,40726,40726
177,08/06/2022 , 13:00:00,41154,41154
178,08/06/2022 , 13:15:00,41470,41470
179,08/06/2022 , 13:30:00,41673,41673
180,08/06/2022 , 13:45:00,41788,41788
181,08/06/2022 , 14:00:00,41792,41792
182,08/06/2022 , 14:15:00,41759,41759
183,08/06/2022 , 14:30:00,41630,41630
184,08/06/2022 , 14:45:00,41414,41414
185,08/06/2022 , 15:00:00,41165,41165
186,08/06/2022 , 15:15:00,40779,40779
187,08/06/2022 , 15:30:00,40311,40311
188,08/06/2022 , 15:45:00,39703,39703
189,08/06/2022 , 16:00:00,39110,39110
190,08/06/2022 , 16:15:00,38461,38461
191,08/06/2022 , 16:30:00,37682,37682
192,08/06/2022 , 16:45:00,36786,36786
193,08/06/2022 , 17:00:00,35822,35822
194,08/06/2022 , 17:15:00,34789,34789
195,08/06/2022 , 17:30:00,33742,33742
196,08/06/2022 , 17:45:00,32627,32627
197,08/06/2022 , 18:00:00,31416,31416
198,08/06/2022 , 18:15:00,30185,30185
199,08/06/2022 , 18:30:00,28879,28879
200,08/06/2022 , 18:45:00,27574,27574
201,08/06/2022 , 19:00:00,26208,26208
202,08/06/2022 , 19:15:00,24793,24793
203,08/06/2022 , 19:30:00,23330,23330
204,08/06/2022 , 19:45:00,21860,21860
205,08/06/2022 , 20:00:00,20316,20316
206,08/06/2022 , 20:15:00,18790,18790
207,08/06/2022 , 20:30:00,17222,17222
208,08/06/2022 , 20:45:00,14718,14718
209,08/06/2022 , 21:00:00,11925,11925
210,08/06/2022 , 21:15:00,11629,11629
211,08/06/2022 , 21:30:00,8260,8260
212,08/06/2022 , 21:45:00,7351,7351
213,08/06/2022 , 22:00:00,4222,4222
214,08/06/2022 , 22:15:00,2441,2441
215,08/06/2022 , 22:30:00,1938,1938
216,08/06/2022 , 22:45:00,1541,1541
217,08/06/2022 , 23:00:00,1349,1349
218,08/06/2022 , 23:15:00,1111,1111
219,08/06/2022 , 23:30:00,927,927
220,08/06/2022 , 23:45:00,742,742
221,08/06/2022 , 24:00:00,590,590
222,09/06/2022 , 00:15:00,468,468
223,09/06/2022 , 00:30:00,361,361
224,09/06/2022 , 00:45:00,278,278
225,09/06/2022 , 01:00:00,215,215
226,09/06/2022 , 01:15:00,180,180
227,09/06/2022 , 01:30:00,158,158
